,SHIFT_ID,LA_Tree_ID,lat,lon,20220224,20220228,20220308,20220316,20220322,20220405,20220412,20220420,20220429,20220503,20220511,20220517
0,SRC-027,2027,34.69055685,-120.0469638,0.052074317,0.06949983,0.06916724,0.051118694,0.07198504,0.02301916,0.000272247,0.017576056,0.06300855,0.012873273,0.036512267,0.013989979
1,SRL-031,2031,34.68468939,-120.0521937,0.038573038,0.067295454,0.044855773,0.03198342,0.043534,0.034520637,3.79E-11,0.017290894,0.035401266,0.016693318,0.00970153,5.46E-11
2,SRL-031,2031,34.68468741,-120.0521366,0.059737902,0.067295454,0.04699585,0.049378563,0.050477087,0.023998672,2.21E-14,0.025756245,0.028671911,0.005588551,0.012073827,0.001992302
3,SRL-030,2030,34.68512582,-120.0516877,0.03504029,0.055691883,0.04881649,0.053535804,0.031094957,0.0690284,0.012647331,0.025485527,0.03685004,0.028284358,0.032882974,0.0242745
4,SRL-029,2029,34.68525345,-120.0513531,0.05826636,0.087250054,0.069465496,0.045543443,0.083587185,0.06429893,0.015936878,0.03977627,0.06270553,0.03502748,0.031750627,0.049998857
5,SRL-028,2028,34.68538823,-120.0514013,1.65E-09,0.059774213,0.024397628,0.056761123,0.06192179,0.076320745,0.027224675,0.031490702,0.06301258,7.30E-11,0.033949874,0.01716468
6,SRL-026,2026,34.68547359,-120.0511304,0.012562741,0.026185319,0.07311774,0.011797014,0.039103363,0.02465416,0.000193899,0.003744782,0.012460887,0.000818175,0.018448869,1.23E-10
7,SRL-027,2027,34.68542236,-120.0509127,0.026369179,0.046321914,0.019893648,1.10E-12,0.012093487,0.026417362,3.61E-10,0.0195667,0.035768863,4.48E-13,0.01596744,3.32E-10
8,SRL-020,2020,34.68627607,-120.0508274,0.0372759,0.015926093,0.016094416,0.015424959,0.030818142,0.023579946,1.43E-13,4.25E-09,0.009899799,0.007411572,6.77E-09,3.37E-10
9,SRL-025,2025,34.68637229,-120.0509857,0.046580445,0.05246429,0.064451054,0.07584837,0.08525965,0.07561128,0.020741317,0.04407008,0.048017386,0.05390214,0.022603309,0.034249388
10,SRL-021,2021,34.68663937,-120.0508627,0.04117614,0.06786662,0.088121004,0.05570414,0.05467135,0.0621053,0.008468915,0.02343769,0.022745041,0.036076974,0.014701068,0.020929439
11,SRL-022,2022,34.68695965,-120.0509703,0.09624995,0.078597926,0.07711334,0.06397954,0.04283368,0.06528337,0.015299224,0.002533888,0.02609832,0.001605119,0.011075755,1.07E-09
12,SRL-023,2023,34.6871401,-120.0510167,0.021220732,0.05838941,0.07306184,0.014161199,0.035164896,0.050744835,0.041657243,0.004733271,0.06859262,0.015470716,2.05E-11,0.031192007
13,SRL-024,2024,34.68727688,-120.050952,0.01384769,0.029997913,0.06462953,0.03780355,0.04281201,0.035529554,1.62E-07,0.02502891,0.047202334,0.029071376,0.007937827,4.64E-08
14,SRC-019,2011,34.6898484,-120.0474782,0.038261794,0.03276423,0.08065191,0.06483332,0.056810196,0.08676051,0.03484768,0.016699007,0.019963002,0.0573556,0.03881161,0.02793241
15,SRC-018,2015,34.68989815,-120.0476933,0.004355116,0.05059194,0.06311787,0.047218587,0.058411554,0.041691955,0.004291633,0.025925698,0.015526103,1.23E-08,0.012850528,9.17E-08
16,SRC-015,1478,34.68985451,-120.0478084,5.50E-10,5.00E-07,0.03238035,0.020656085,5.04E-05,0.028227312,7.01E-11,8.40E-10,3.71E-08,0.01212186,8.00E-07,1.14E-09
17,SRC-020,2383,34.68944363,-120.04755,0.048726227,0.06640732,0.08777117,0.053361665,0.06265607,0.0641992,0.016920827,0.043201853,0.023069644,0.04844714,0.0301329,0.024968129
18,SRC-016,2382,34.6899526,-120.048024,0.041132603,0.071092516,0.101394646,0.08186332,0.06875223,0.07290215,0.012579686,0.02324757,0.023166751,0.017002514,3.55E-08,0.00691257
19,SRC-017,2010,34.69004474,-120.0480724,0.024284804,0.05040872,0.062920965,0.009491466,0.03687316,0.04577428,9.44E-11,1.83E-10,0.005991481,5.39E-11,3.64E-10,6.18E-13
20,SRL-048,2369,34.69042853,-120.0473504,0.05220009,0.06634813,0.052336354,0.05104615,0.064339325,0.06498153,0.006628073,0.012218451,0.02549515,0.02151065,5.43E-09,1.02E-09
21,SRL-047,2366,34.69047637,-120.0473498,0.061375473,0.06634813,0.08083557,0.09452201,0.06855715,0.06121248,0.007589274,0.032793988,0.02180105,0.02809372,1.82E-13,0.002085229
22,SRL-046,2365,34.69052037,-120.0473471,0.074909896,0.116213,0.101034,0.098362036,0.0987574,0.07677047,0.019286918,0.03779799,0.018773291,0.023464056,3.23E-07,7.47E-10
23,SRL-043,2360,34.69061177,-120.0473456,0.07664681,0.081761084,0.057199955,0.071449324,0.057985958,0.056734852,0.027040191,0.02533199,0.026678829,0.03589266,0.006164342,0.006953612
24,SRC-025,2354,34.6906587,-120.0475616,0.08775997,0.10136312,0.093990155,0.11130854,0.090109766,0.07125786,0.03389383,0.04721976,0.04617281,0.048134435,0.002366708,0.022295918
25,SRC-025,2354,34.69061371,-120.0475623,0.08389078,0.1033512,0.07108394,0.09597822,0.094755925,0.074756265,0.024111599,0.037622448,0.04621383,0.043457497,0.028558163,0.020775631
26,SRC-026,2352,34.69057234,-120.0476733,0.12588094,0.15077549,0.16644555,0.1377656,0.1488248,0.08908891,0.02289866,0.032310106,0.04319951,0.021631205,1.04E-16,1.75E-15
27,SRC-024,2377,34.6907996,-120.0477743,0.07427096,0.08820834,0.06541638,0.0974379,0.060926706,0.060862537,0.002590167,0.021470865,0.002859984,0.011674147,0.027816525,2.25E-06
28,SRC-021,2378,34.6906715,-120.0479429,0.08153205,0.09702583,0.089128554,0.10679849,0.07986759,0.08158616,0.005772125,0.020008737,0.023382813,6.23E-14,2.17E-11,0.007766557
29,SRC-022,2379,34.69080624,-120.0480482,0.08982723,0.074199,0.04236016,0.072625995,0.032369312,0.12752125,0.015510977,0.048637517,0.035771944,3.36E-12,5.53E-11,1.69E-14
30,SRC-023,2380,34.69099024,-120.0480944,0.06284884,0.10515063,0.079098664,0.08258097,0.061791528,0.04801865,0.017373638,0.05675748,0.035603777,0.02744766,0.05756422,0.054314464
31,SRL-035,2331,34.69103296,-120.0461828,0.068779245,0.08488466,0.029944673,0.05936227,0.057109267,0.06236181,0.004967603,0.02629222,0.03949678,0.033258416,1.20E-06,0.008388518
32,SRC-031,2301,34.69107971,-120.0462351,0.03669814,0.040101223,0.01612559,0.051046662,0.047008537,0.057781998,1.13E-10,0.027996609,0.0471131,0.027023323,0.015612401,0.025601871
33,SRL-061,2373,34.69112904,-120.0464524,0.082544565,0.13869613,0.14594002,0.09489697,0.0896696,0.11588789,0.047017913,0.057313293,0.06308784,1.06E-09,8.04E-15,6.44E-10
34,SRL-049,2370,34.69166444,-120.0462138,0.013987816,0.020418502,0.082626835,0.013672661,0.014118391,0.05371307,0.009193189,0.021601118,1.46E-09,8.43E-11,0.000127277,2.91E-13
35,SRLX050,2371,34.6915672,-120.0461118,0.06147324,0.056225903,0.027128523,0.05938478,0.039953746,0.09081714,0.014443182,0.044805877,0.040440917,0.016334265,0.031058013,0.033375505
