Site,Plot,plot.number,Species,Tag,Date,pd_md,water_potential_mpa,Notes
LL,Weathertop,ExtraBlueHilltop,blue oak,2381,2022-03-04,md,1.74,
LL,Weathertop,ExtraBlueHilltop,blue oak,2381,2022-03-04,md,1.53,
LL,Weathertop,ExtraBlueHilltop,blue oak,2381,2022-03-04,md,1.69,
LL,Weathertop,ExtraBlueHilltop,blue oak,2381,2022-03-04,md,2.91,
LL,Weathertop,ExtraBlueHilltop,blue oak,2381,2022-03-04,md,1.2,
LL,Weathertop,ExtraBlueHilltop,blue oak,2382,2022-03-04,md,1.44,
LL,Weathertop,ExtraBlueHilltop,blue oak,2382,2022-03-04,md,1.3,
LL,Weathertop,ExtraBlueHilltop,blue oak,2382,2022-03-04,md,1.35,
LL,Weathertop,ExtraBlueHilltop,blue oak,2382,2022-03-04,md,1.55,
LL,Weathertop,ExtraBlueHilltop,blue oak,2382,2022-03-04,md,1.6,
LL,Weathertop,ExtraBlueHilltop,blue oak,2384,2022-03-04,md,1.55,
LL,Weathertop,ExtraBlueHilltop,blue oak,2384,2022-03-04,md,1.35,
LL,Weathertop,ExtraBlueHilltop,blue oak,2384,2022-03-04,md,1.35,
LL,Hobbiton,AT002,live oak,2345,2022-04-04,pd,1.708,
LL,Hobbiton,AT004,live oak,2301,2022-04-04,pd,3.043,
LL,Hobbiton,AT004,live oak,2301,2022-04-04,pd,1.746,
LL,Hobbiton,AT004,live oak,2301,2022-04-04,pd,1.963,
Cucu Mesa,High,Cucu Mesa,blue oak,2004,2022-04-04,pd,0.405,
Cucu Mesa,High,Cucu Mesa,blue oak,2004,2022-04-04,pd,0.284,
Cucu Mesa,High,Cucu Mesa,blue oak,2004,2022-04-04,pd,0.393,
Cucu Mesa,High,Cucu Mesa,blue oak,2004,2022-04-04,pd,0.475,
Cucu Mesa,High,Cucu Mesa,blue oak,2004,2022-04-04,md,2.4,
Cucu Mesa,High,Cucu Mesa,blue oak,2004,2022-04-04,md,2.35,
Cucu Mesa,High,Cucu Mesa,blue oak,2004,2022-04-04,md,2.4,
Cucu Mesa,High,Cucu Mesa,blue oak,2005,2022-04-04,pd,0.428,
Cucu Mesa,High,Cucu Mesa,blue oak,2005,2022-04-04,pd,0.431,
Cucu Mesa,High,Cucu Mesa,blue oak,2005,2022-04-04,md,2.1,
Cucu Mesa,High,Cucu Mesa,blue oak,2005,2022-04-04,md,2.15,
Cucu Mesa,High,Cucu Mesa,blue oak,2005,2022-04-04,md,2.15,
Cucu Mesa,High,Cucu Mesa,blue oak,2006,2022-04-04,pd,0.509,
Cucu Mesa,High,Cucu Mesa,blue oak,2006,2022-04-04,pd,0.592,
Cucu Mesa,High,Cucu Mesa,blue oak,2006,2022-04-04,pd,0.521,
Cucu Mesa,High,Cucu Mesa,blue oak,2006,2022-04-04,md,2.1,
Cucu Mesa,High,Cucu Mesa,blue oak,2006,2022-04-04,md,2.1,
Cucu Mesa,High,Cucu Mesa,blue oak,2006,2022-04-04,md,2.2,
Cucu Mesa,High,Cucu Mesa,blue oak,2007,2022-04-04,pd,0.4,
Cucu Mesa,High,Cucu Mesa,blue oak,2007,2022-04-04,pd,0.271,
Cucu Mesa,High,Cucu Mesa,blue oak,2007,2022-04-04,pd,0.376,
Cucu Mesa,High,Cucu Mesa,blue oak,2007,2022-04-04,pd,0.42,
Cucu Mesa,High,Cucu Mesa,blue oak,2007,2022-04-04,md,2.1,
Cucu Mesa,High,Cucu Mesa,blue oak,2007,2022-04-04,md,2.1,
LL,Rohan,near 2380,LEU,LL-LEU,2022-04-04,pd,0.088,
LL,Rohan,near 2380,LEU,LL-LEU,2022-04-04,pd,0.09,
LL,Rohan,near 2380,LEU,LL-LEU,2022-04-04,pd,0.091,
LL,Rohan,near 2380,LEU,LL-LEU,2022-04-04,pd,0.18,
LL,Rohan,near 2380,LEU,LL-LEU,2022-04-04,pd,0.6,
Chamise,Chamise,Chamise,LEU,Chamise-LEU,2022-04-04,pd,0.904,
Chamise,Chamise,Chamise,LEU,Chamise-LEU,2022-04-04,pd,0.8,
Chamise,Chamise,Chamise,LEU,Chamise-LEU,2022-04-04,pd,0.944,
Chamise,Chamise,Chamise,LEU,Chamise-LEU,2022-04-04,pd,0.82,
Chamise,Chamise,Chamise,LEU,Chamise-LEU,2022-04-04,pd,0.826,
Chamise,Chamise,Chamise,LEU,Chamise-LEU,2022-04-04,pd,0.831,
Chamise,Chamise,Chamise,LEU,Chamise-LEU,2022-04-04,pd,0.862,
Cucu Mesa,High,Cucu Mesa,LEU,Cucu-LEU,2022-04-04,md,1.45,
Cucu Mesa,High,Cucu Mesa,LEU,Cucu-LEU,2022-04-04,md,1.45,
LL,Rohan,near 2380,ARCA,LL-ARCA,2022-04-04,pd,0.584,
LL,Rohan,near 2380,ARCA,LL-ARCA,2022-04-04,pd,0.443,
LL,Rohan,near 2380,ARCA,LL-ARCA,2022-04-04,pd,0.716,
LL,Rohan,near 2380,ARCA,LL-ARCA,2022-04-04,pd,0.992,
LL,Rohan,near 2380,ARCA,LL-ARCA,2022-04-04,pd,0.445,
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,2022-04-04,pd,0.383,
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,2022-04-04,pd,0.592,
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,2022-04-04,pd,0.571,
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,2022-04-04,pd,0.65,
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,2022-04-04,pd,0.62,
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,2022-04-04,pd,0.718,
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,2022-04-04,pd,0.428,
Chamise,Chamise,Chamise,ARCA,Chamise-ARCA,2022-04-04,pd,0.608,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-04-04,pd,0.108,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-04-04,pd,0.325,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-04-04,pd,0.448,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-04-04,pd,0.582,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-04-04,pd,0.742,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-04-04,pd,0.568,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-04-04,pd,0.248,
Cucu Mesa,High,Cucu Mesa,ARCA,Cucu-ARCA,2022-04-04,pd,0.343,
PineNeedle,Low,low Pine Needle,live oak,2093,2022-04-04,pd,0.196,
PineNeedle,Low,low Pine Needle,live oak,2093,2022-04-04,pd,0.111,
PineNeedle,Low,low Pine Needle,live oak,2093,2022-04-04,pd,0.15,
PineNeedle,Low,low Pine Needle,live oak,2093,2022-04-04,pd,0.16,
PineNeedle,Low,low Pine Needle,live oak,2092,2022-04-04,pd,0.108,
PineNeedle,Low,low Pine Needle,live oak,2092,2022-04-04,pd,0.114,
PineNeedle,Low,low Pine Needle,live oak,2092,2022-04-04,pd,0.106,
PineNeedle,Low,low Pine Needle,live oak,2091,2022-04-04,pd,0.105,
PineNeedle,Low,low Pine Needle,live oak,2091,2022-04-04,pd,0.15,
PineNeedle,Low,low Pine Needle,live oak,2091,2022-04-04,pd,0.128,
PineNeedle,Low,low Pine Needle,live oak,2091,2022-04-04,pd,0.133,
PineNeedle,Low,low Pine Needle,blue oak,2090,2022-04-04,pd,0.956,
PineNeedle,Low,low Pine Needle,blue oak,2090,2022-04-04,pd,0.816,
PineNeedle,Low,low Pine Needle,blue oak,2090,2022-04-04,pd,0.852,
PineNeedle,Low,low Pine Needle,live oak,2089,2022-04-04,pd,0.271,
PineNeedle,Low,low Pine Needle,live oak,2089,2022-04-04,pd,0.25,
PineNeedle,Low,low Pine Needle,live oak,2089,2022-04-04,pd,0.15,
PineNeedle,Low,low Pine Needle,live oak,2089,2022-04-04,pd,0.27,
