tree ID,date ,pd or md,lwc_bulk,lwc_leaf,leaf_number,dry scan area,bulk or individual leaf,notes
2301,2/28/22,md,NA,0.68786127,1,,,
2301,2/28/22,md,NA,0.76756757,2,,,
2301,2/28/22,md,NA,0.67400881,3,,,
2301,2/28/22,md,NA,0.76219512,4,,,
2301,2/28/22,md,NA,0.75,5,,,
2331,2/28/22,md,NA,0.70731707,1,,,
2331,2/28/22,md,NA,0.67105263,2,,,
2331,2/28/22,md,NA,0.68,3,,,
2331,2/28/22,md,NA,0.72916667,4,,,
2331,2/28/22,md,NA,0.765625,5,,,
2345,2/28/22,md,NA,0.74528302,1,,,
2345,2/28/22,md,NA,0.7295082,2,,,
2345,2/28/22,md,NA,0.76068376,3,,,
2345,2/28/22,md,NA,0.70338983,4,,,
2352,2/28/22,md,NA,0.50561798,1,,,
2352,2/28/22,md,NA,0.63888889,2,,,
2352,2/28/22,md,NA,0.63076923,3,,,
2352,2/28/22,md,NA,0.61445783,4,,,
2352,2/28/22,md,NA,0.58333333,5,,,
2354,2/28/22,md,NA,0.69677419,1,,,
2354,2/28/22,md,NA,0.7,2,,,
2354,2/28/22,md,NA,0.65384615,3,,,
2354,2/28/22,md,NA,0.64347826,4,,,
2354,2/28/22,md,NA,0.63636364,5,,,
2376,2/28/22,md,NA,0.68548387,1,,,
2376,2/28/22,md,NA,0.69298246,2,,,
2376,2/28/22,md,NA,0.68367347,3,,,
2376,2/28/22,md,NA,0.71428571,4,,,
2376,2/28/22,md,NA,0.69565217,5,,,
2377,2/28/22,md,NA,0.68947368,1,,,
2377,2/28/22,md,NA,0.65248227,2,,,
2377,2/28/22,md,NA,0.61783439,3,,,
2377,2/28/22,md,NA,0.75,4,,,
2377,2/28/22,md,NA,0.67619048,5,,,
2380,2/28/22,md,NA,0.65648855,1,,,
2380,2/28/22,md,NA,0.64948454,2,,,
2380,2/28/22,md,NA,0.65714286,3,,,
2380,2/28/22,md,NA,0.6870229,4,,,
2313,2/28/22,pd,NA,0.86666667,1,,,
2313,2/28/22,pd,NA,0.73493976,2,,,
2313,2/28/22,pd,NA,0.62711864,3,,,
2313,2/28/22,pd,NA,0.81428571,4,,,
2343,2/28/22,pd,NA,0.87179487,1,,,
2343,2/28/22,pd,NA,0.76744186,2,,,
2343,2/28/22,pd,NA,0.82978723,3,,,
10,3/8/22,md,NA,1.52119205,1,,,
10,3/8/22,md,NA,1.63773585,2,,,
10,3/8/22,md,NA,1.90472441,3,,,
10,3/8/22,md,NA,1.37906977,4,,,
10,3/8/22,md,NA,1.55042017,5,,,
12,3/8/22,md,NA,1.93694779,1,,,
12,3/8/22,md,NA,1.68757225,2,,,
12,3/8/22,md,NA,2.22139918,3,,,
12,3/8/22,md,NA,1.85657371,4,,,
12,3/8/22,md,NA,1.69711191,5,,,
12,3/8/22,md,NA,1.78726415,6,,,
20,3/8/22,md,NA,1.40983607,1,,,
20,3/8/22,md,NA,1.0835443,2,,,
20,3/8/22,md,NA,1.46666667,3,,,
20,3/8/22,md,NA,1.04875,4,,,
20,3/8/22,md,NA,0.90277778,5,,,
20,3/8/22,md,NA,0.99206349,6,,,
20,3/8/22,md,NA,0.32019231,7,,,
2004,3/8/22,md,1.76186869,1.82105263,1,,,
2004,3/8/22,md,1.76186869,1.77777778,2,,,
2004,3/8/22,md,1.76186869,1.81578947,3,,,
2005,3/8/22,md,1.60197368,1.50810811,1,,,
2005,3/8/22,md,1.60197368,1.73768116,2,,,
2005,3/8/22,md,1.60197368,1.6877193,3,,,
2006,3/8/22,md,1.69872611,1.54782609,1,,,
2006,3/8/22,md,1.69872611,1.74107143,2,,,
2006,3/8/22,md,1.69872611,1.7537037,3,,,
2007,3/8/22,md,1.46893204,1.27142857,1,,,
2007,3/8/22,md,1.46893204,22.475,2,,,
2007,3/8/22,md,1.46893204,1.34736842,3,,,
2020,3/8/22,md,1.2326087,0.57619048,1,,,
2020,3/8/22,md,1.2326087,1.4125,2,,,
2020,3/8/22,md,1.2326087,1.08571429,3,,,
2021,3/8/22,md,1.08082192,1.32727273,1,,,
2021,3/8/22,md,1.08082192,1.0675,2,,,
2021,3/8/22,md,1.08082192,1.08157895,3,,,
2022,3/8/22,md,1.15777538,0.79577465,1,,,
2022,3/8/22,md,1.15777538,1.35973154,2,,,
2022,3/8/22,md,1.15777538,0.26791667,3,,,
2022,3/8/22,md,1.15777538,1.97407407,4,,,
2022,3/8/22,md,1.15777538,0.53662791,5,,,
2023,3/8/22,md,2.96379691,1.11503759,1,,,
2023,3/8/22,md,2.96379691,1.16185567,2,,,
2023,3/8/22,md,2.96379691,1.28988764,3,,,
2023,3/8/22,md,2.96379691,NA,4,,,
2023,3/8/22,md,2.96379691,NA,5,,,
2024,3/8/22,md,1.63142857,1.63555556,1,,,
2024,3/8/22,md,1.63142857,1.55208333,2,,,
2025,3/8/22,md,2.88490566,1.1119403,1,,,
2025,3/8/22,md,2.88490566,1.16621622,2,,,
2025,3/8/22,md,2.88490566,1.12142857,3,,,
2025,3/8/22,md,2.88490566,1.04807692,4,,,
2026,3/8/22,md,1.22307692,1.15373134,1,,,
2026,3/8/22,md,1.22307692,1.33513514,2,,,
2089,3/8/22,md,NA,0.70347222,1,,,
2089,3/8/22,md,NA,0.5822695,2,,,
2089,3/8/22,md,NA,0.65185185,3,,,
2089,3/8/22,md,NA,0.65352941,4,,,
2089,3/8/22,md,NA,0.62619048,5,,,
2091,3/8/22,md,NA,0.68627451,1,,,
2091,3/8/22,md,NA,0.68030303,2,,,
2091,3/8/22,md,NA,0.66979866,3,,,
2091,3/8/22,md,NA,0.68888889,4,,,
2092,3/8/22,md,NA,0.6344,1,,,
2092,3/8/22,md,NA,0.62457627,2,,,
2092,3/8/22,md,NA,0.62673267,3,,,
2092,3/8/22,md,NA,0.61626016,4,,,
2092,3/8/22,md,NA,0.59255319,5,,,
2092,3/8/22,md,NA,0.58561151,6,,,
2093,3/8/22,md,NA,0.57201365,1,,,
2093,3/8/22,md,NA,0.56644068,2,,,
2093,3/8/22,md,NA,0.60740741,3,,,
2093,3/8/22,md,NA,0.58047337,4,,,
2093,3/8/22,md,NA,0.60962963,5,,,
21,3/8/22,md,NA,2.30862069,1,,,
21,3/8/22,md,NA,3.26129032,2,,,
21,3/8/22,md,NA,2.015,3,,,
21,3/8/22,md,NA,2.76615385,4,,,
21,3/8/22,md,NA,2.92678571,5,,,
21,3/8/22,md,NA,3.56363636,6,,,
21,3/8/22,md,NA,5.67358491,7,,,
2301,3/8/22,md,0.72311459,0.73737374,1,98.5,bulk,
2301,3/8/22,md,0.72311459,0.74666667,2,98.5,bulk,
2301,3/8/22,md,0.72311459,0.75495495,3,98.5,bulk,
2301,3/8/22,md,0.72311459,0.768,4,98.5,bulk,
2331,3/8/22,md,0.69684814,0.70734463,1,33.054,bulk,
2331,3/8/22,md,0.69684814,0.67266667,2,33.054,bulk,
2331,3/8/22,md,0.69684814,0.69734513,3,33.054,bulk,
2345,3/8/22,md,0.7540201,0.74713376,1,65.41,bulk,
2345,3/8/22,md,0.7540201,8.74698795,2,65.41,bulk,
2345,3/8/22,md,0.7540201,0.75423729,3,65.41,bulk,
2345,3/8/22,md,0.7540201,0.6942029,4,65.41,bulk,
2345,3/8/22,md,0.7540201,0.71034483,5,65.41,bulk,
2345,3/8/22,md,0.7540201,0.72,6,65.41,bulk,
2346,3/8/22,md,0.83392405,0.8225,1,35.857,bulk,
2346,3/8/22,md,0.83392405,0.82025316,2,35.857,bulk,
2346,3/8/22,md,0.83392405,0.85952381,3,35.857,bulk,
2347,3/8/22,md,0.9,0.79533333,1,51.989,bulk,
2347,3/8/22,md,0.9,0.88,2,51.989,bulk,
2347,3/8/22,md,0.9,0.83,3,51.989,bulk,
2347,3/8/22,md,0.9,0.8745098,4,51.989,bulk,
2352,3/8/22,md,0.58552632,0.64066667,1,55.439,bulk,
2352,3/8/22,md,0.58552632,0.66363636,2,55.439,bulk,
2352,3/8/22,md,0.58552632,0.721,3,55.439,bulk,
2352,3/8/22,md,0.58552632,0.60305344,4,55.439,bulk,
2352,3/8/22,md,0.58552632,0.65138889,5,55.439,bulk,
2352,3/8/22,md,0.58552632,0.61779661,6,55.439,bulk,
2354,3/8/22,md,0.67467742,0.64628571,1,71.207,bulk,
2354,3/8/22,md,0.67467742,0.71084337,2,71.207,bulk,
2354,3/8/22,md,0.67467742,0.65634921,3,71.207,bulk,
2354,3/8/22,md,0.67467742,0.62876106,4,71.207,bulk,
2365,3/8/22,md,NA,1.70434783,1,8.976,bulk,
2365,3/8/22,md,NA,0.83134328,2,8.976,bulk,
2365,3/8/22,md,NA,1.76862745,3,8.976,bulk,
2366,3/8/22,md,3.13793103,1.8625,1,53.033,bulk,leaflet area added to bulk
2366,3/8/22,md,3.13793103,0.88536585,2,53.033,bulk,leaflet area added to bulk
2366,3/8/22,md,3.13793103,0.04242424,3,53.033,bulk,leaflet area added to bulk
2367,3/8/22,md,1.15922747,NA,1,63.243,bulk,
2367,3/8/22,md,1.15922747,NA,2,63.243,bulk,
2367,3/8/22,md,1.15922747,NA,3,63.243,bulk,
2369,3/8/22,md,0.89815157,NA,1,57.016,bulk,
2369,3/8/22,md,0.89815157,0.86153846,2,57.016,bulk,
2369,3/8/22,md,0.89815157,0.89489796,3,57.016,bulk,
2369,3/8/22,md,0.89815157,0.76018957,4,57.016,bulk,
2369,3/8/22,md,0.89815157,0.77313433,5,57.016,bulk,
2369,3/8/22,md,0.89815157,0.88918919,6,57.016,bulk,
2376,3/8/22,md,0.6768595,0.6858156,1,56.063,bulk,
2376,3/8/22,md,0.6768595,0.67239583,2,56.063,bulk,
2376,3/8/22,md,0.6768595,0.69829787,3,56.063,bulk,
2376,3/8/22,md,0.6768595,0.55700483,4,56.063,bulk,
2376,3/8/22,md,0.6768595,0.70396341,5,56.063,bulk,
2376,3/8/22,md,0.6768595,0.69097744,6,56.063,bulk,
2377,3/8/22,md,1.23463035,1.86036036,1,52.907,bulk,
2377,3/8/22,md,1.23463035,2.09655172,2,52.907,bulk,
2377,3/8/22,md,1.23463035,0.67076923,3,52.907,bulk,
2377,3/8/22,md,1.23463035,0.63958333,4,52.907,bulk,
2377,3/8/22,md,1.23463035,2.11190476,5,52.907,bulk,
2377,3/8/22,md,1.23463035,0.54852941,6,52.907,bulk,
2378,3/8/22,md,1.39304348,1.47258065,1,51.556,bulk,
2378,3/8/22,md,1.39304348,1.38,2,51.556,bulk,
2378,3/8/22,md,1.39304348,1.38714286,3,51.556,bulk,
2378,3/8/22,md,1.39304348,1.34722222,4,51.556,bulk,
2380,3/8/22,md,0.63770053,0.62406015,1,67.499,bulk,
2380,3/8/22,md,0.63770053,0.64784946,2,67.499,bulk,
2380,3/8/22,md,0.63770053,0.64302326,3,67.499,bulk,
2380,3/8/22,md,0.63770053,0.50070922,4,67.499,bulk,
2381,3/8/22,md,1.80352113,1.74146341,1,23.137,bulk,
2381,3/8/22,md,1.80352113,1.85652174,2,23.137,bulk,
2381,3/8/22,md,1.80352113,1.77254902,3,23.137,bulk,
2382,3/8/22,md,1.57671642,1.42857143,1,45.085,bulk,
2382,3/8/22,md,1.57671642,1.45510204,2,45.085,bulk,
2382,3/8/22,md,1.57671642,1.44266667,3,45.085,bulk,
2382,3/8/22,md,1.57671642,1.35492958,4,45.085,bulk,
2383,3/8/22,md,1.32689076,1.32708333,1,25.907,bulk,
2383,3/8/22,md,1.32689076,1.24444444,2,25.907,bulk,
2383,3/8/22,md,1.32689076,1.28205128,3,25.907,bulk,
2384,3/8/22,md,0.82777778,NA,1,10.284,bulk,
2384,3/8/22,md,0.82777778,NA,2,10.284,bulk,
2384,3/8/22,md,0.82777778,NA,3,10.284,bulk,
10,3/8/22,pd,NA,2.24931973,1,,,
10,3/8/22,pd,NA,2.13488372,2,,,
10,3/8/22,pd,NA,1.87263844,3,,,
10,3/8/22,pd,NA,1.79343629,4,,,
10,3/8/22,pd,NA,2.08993289,5,,,
10,3/8/22,pd,NA,2.11432039,6,,,
10,3/8/22,pd,NA,1.8316,7,,,
12,3/8/22,pd,NA,2.13833992,1,,,
12,3/8/22,pd,NA,1.69403974,2,,,
12,3/8/22,pd,NA,2.30482456,3,,,
12,3/8/22,pd,NA,2.06456311,4,,,
12,3/8/22,pd,NA,2.09858156,5,,,
12,3/8/22,pd,NA,2.05725191,6,,,
