MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20220104,6083,Santa Barbara County,CA,0,100,100,0.33,0,0,1/4/22,1/10/22,1
20211228,6083,Santa Barbara County,CA,0,100,100,99.96,0.33,0,12/28/21,1/3/22,1
20211221,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,12/21/21,12/27/21,1
20211214,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,12/14/21,12/20/21,1
20211207,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,12/7/21,12/13/21,1
20211130,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,11/30/21,12/6/21,1
20211123,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,11/23/21,11/29/21,1
20211116,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,11/16/21,11/22/21,1
20211109,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,11/9/21,11/15/21,1
20211102,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,11/2/21,11/8/21,1
20211026,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,10/26/21,11/1/21,1
20211019,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,10/19/21,10/25/21,1
20211012,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,10/12/21,10/18/21,1
20211005,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,10/5/21,10/11/21,1
20210928,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,9/28/21,10/4/21,1
20210921,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,9/21/21,9/27/21,1
20210914,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,9/14/21,9/20/21,1
20210907,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,9/7/21,9/13/21,1
20210831,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,8/31/21,9/6/21,1
20210824,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,8/24/21,8/30/21,1
20210817,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,8/17/21,8/23/21,1
20210810,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,8/10/21,8/16/21,1
20210803,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,8/3/21,8/9/21,1
20210727,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,7/27/21,8/2/21,1
20210720,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,7/20/21,7/26/21,1
20210713,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,7/13/21,7/19/21,1
20210706,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,7/6/21,7/12/21,1
20210629,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,6/29/21,7/5/21,1
20210622,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,6/22/21,6/28/21,1
20210615,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,6/15/21,6/21/21,1
20210608,6083,Santa Barbara County,CA,0,100,100,99.96,99.96,0.39,6/8/21,6/14/21,1
20210601,6083,Santa Barbara County,CA,0,100,100,96.37,0.37,0,6/1/21,6/7/21,1
20210525,6083,Santa Barbara County,CA,0,100,100,96.37,0.37,0,5/25/21,5/31/21,1
20210518,6083,Santa Barbara County,CA,0,100,100,96.37,0.47,0,5/18/21,5/24/21,1
20210511,6083,Santa Barbara County,CA,0,100,100,96.37,0.47,0,5/11/21,5/17/21,1
20210504,6083,Santa Barbara County,CA,0,100,100,96.37,0.47,0,5/4/21,5/10/21,1
20210427,6083,Santa Barbara County,CA,0,100,100,52.47,0,0,4/27/21,5/3/21,1
20210420,6083,Santa Barbara County,CA,0,100,100,52.47,0,0,4/20/21,4/26/21,1
20210413,6083,Santa Barbara County,CA,0,100,100,30.7,0,0,4/13/21,4/19/21,1
20210406,6083,Santa Barbara County,CA,0,100,100,30.7,0,0,4/6/21,4/12/21,1
20210330,6083,Santa Barbara County,CA,0,100,100,0,0,0,3/30/21,4/5/21,1
20210323,6083,Santa Barbara County,CA,0,100,100,0,0,0,3/23/21,3/29/21,1
20210316,6083,Santa Barbara County,CA,0,100,100,0,0,0,3/16/21,3/22/21,1
20210309,6083,Santa Barbara County,CA,0,100,100,0,0,0,3/9/21,3/15/21,1
20210302,6083,Santa Barbara County,CA,0,100,100,0,0,0,3/2/21,3/8/21,1
20210223,6083,Santa Barbara County,CA,0,100,0,0,0,0,2/23/21,3/1/21,1
20210216,6083,Santa Barbara County,CA,0,100,0,0,0,0,2/16/21,2/22/21,1
20210209,6083,Santa Barbara County,CA,0,100,0,0,0,0,2/9/21,2/15/21,1
20210202,6083,Santa Barbara County,CA,0,100,0,0,0,0,2/2/21,2/8/21,1
20210126,6083,Santa Barbara County,CA,0,100,99.44,0,0,0,1/26/21,2/1/21,1
20210119,6083,Santa Barbara County,CA,0,100,99.44,0,0,0,1/19/21,1/25/21,1
20210112,6083,Santa Barbara County,CA,0,100,99.44,0,0,0,1/12/21,1/18/21,1
20210105,6083,Santa Barbara County,CA,0,100,99.44,0,0,0,1/5/21,1/11/21,1
20201229,6083,Santa Barbara County,CA,0,100,99.44,0,0,0,12/29/20,1/4/21,1
20201222,6083,Santa Barbara County,CA,0,100,99.44,0,0,0,12/22/20,12/28/20,1
20201215,6083,Santa Barbara County,CA,0,100,99.44,0,0,0,12/15/20,12/21/20,1
20201208,6083,Santa Barbara County,CA,0,100,99.44,0,0,0,12/8/20,12/14/20,1
20201201,6083,Santa Barbara County,CA,0,100,0,0,0,0,12/1/20,12/7/20,1
20201124,6083,Santa Barbara County,CA,0,100,0,0,0,0,11/24/20,11/30/20,1
