"sp","numbr","Ptreat.MPa","d.mm","l.mm","stemID","nomID","t.s","t.day","dt.s","bal.g","Q.g.s","rmQ.g.s","p.cm","p.MPa","Tsoln.C","ver","keep","usefork","measure"
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",0,66.4296963761333,NA,37.2414,NA,NA,0,0,25,"v18",FALSE,FALSE,1
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",15.107085943222,66.429871226665,15.107085943222,37.2409,-3.30970514021819e-05,NA,0,0,25,"v18",FALSE,FALSE,1
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",30.211776971817,66.4300460494779,15.104691028595,37.2405,-2.64818392672983e-05,NA,0,0,25,"v18",FALSE,FALSE,1
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",45.3185830116272,66.43022089677,15.1068060398102,37.2407,1.32390658534994e-05,NA,0,0,25,"v18",FALSE,FALSE,1
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",60.4274690151215,66.4303957681358,15.1088860034943,37.2397,-6.61862164933092e-05,NA,0,0,25,"v18",FALSE,FALSE,1
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",75.5336301326752,66.4305706079635,15.1061611175537,37.2393,-2.64792621289713e-05,NA,0,0,25,"v18",FALSE,FALSE,1
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",90.6398169994354,66.4307454480893,15.1061868667603,37.2389,-2.64792169943043e-05,NA,0,0,25,"v18",FALSE,FALSE,1
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",105.74698805809,66.4309202996062,15.1071710586548,37.2385,-2.64774919439532e-05,NA,0,0,25,"v18",FALSE,FALSE,1
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",120.852476119995,66.4310951316439,15.1054880619049,37.2381,-2.64804419661854e-05,NA,0,0,25,"v18",FALSE,FALSE,1
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",135.960320949554,66.4312699909591,15.1078448295593,37.2377,-2.64763111166001e-05,NA,0,0,25,"v18",FALSE,FALSE,1
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",151.066627025604,66.4314448324646,15.1063060760498,37.2373,-2.6479008037288e-05,-2.71397773496592e-05,0,0,25,"v18",FALSE,FALSE,1
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",166.174942016602,66.4316196972214,15.1083149909973,37.2369,-2.64754871891756e-05,-2.64776209283586e-05,0,0,25,"v18",FALSE,FALSE,1
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",181.283227920532,66.4317945616416,15.1082859039307,37.2365,-2.64755381613072e-05,-2.64769908177595e-05,0,0,25,"v18",FALSE,FALSE,1
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",196.390016078949,66.4319694087268,15.1067881584167,37.236,-3.30977038108147e-05,-3.11106677841909e-05,0,0,25,"v18",FALSE,FALSE,1
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",211.497673988342,66.4321442658785,15.1076579093933,37.2356,-2.64766386954494e-05,-2.71397100044049e-05,0,0,25,"v18",FALSE,FALSE,1
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",226.60555100441,66.4323191255662,15.1078770160675,37.2352,-2.64762547097814e-05,-2.71394092624859e-05,0,0,25,"v18",FALSE,FALSE,1
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",241.71209692955,66.4324939698478,15.1065459251404,37.2347,-3.30982345320844e-05,-2.78013110162639e-05,0,0,25,"v18",FALSE,FALSE,1
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",256.818546056747,66.4326688130089,15.1064491271973,37.2342,-3.30984466159249e-05,-2.84634064834611e-05,0,0,25,"v18",FALSE,FALSE,1
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",271.925905942917,66.4328436667113,15.1073598861694,37.2338,-2.64771610006888e-05,-2.84630783869114e-05,0,0,25,"v18",FALSE,FALSE,1
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",287.052195072174,66.4330187395022,15.1262891292572,37.2334,-2.64440271228042e-05,-2.84598499875318e-05,0,0,25,"v18",FALSE,FALSE,1
"qudo",2381.1,0,4,6,"qudo 2381.1","qudo 2381.1 0 MPa",302.159384965897,66.4331935912371,15.1071898937225,37.2329,-3.30968236659132e-05,-2.91216315503944e-05,0,0,25,"v18",FALSE,FALSE,1
