Plot Title: Chamise2_2023,,,,,,,,
#,"Date Time, GMT-07:00","Temp, ¡F (LGR S/N: 21308627, SEN S/N: 21308627)","RH, % (LGR S/N: 21308627, SEN S/N: 21308627)",Coupler Detached (LGR S/N: 21308627),Coupler Attached (LGR S/N: 21308627),Host Connected (LGR S/N: 21308627),Stopped (LGR S/N: 21308627),End Of File (LGR S/N: 21308627)
1,9/29/23 14:00,80.296,48.571,Logged,,,,
2,9/29/23 14:15,75.817,52.772,,,,,
3,9/29/23 14:30,76.282,48.034,,,,,
4,9/29/23 14:45,76.977,49.695,,,,,
5,9/29/23 15:00,75.277,50.672,,,,,
6,9/29/23 15:15,73.423,55.824,,,,,
7,9/29/23 15:30,72.496,58.755,,,,,
8,9/29/23 15:45,71.956,58.681,,,,,
9,9/29/23 16:00,71.107,61.392,,,,,
10,9/29/23 16:15,70.489,62.589,,,,,
11,9/29/23 16:30,70.335,62.564,,,,,
12,9/29/23 16:45,69.255,64.737,,,,,
13,9/29/23 17:00,69.022,65.299,,,,,
14,9/29/23 17:15,67.401,67.57,,,,,
15,9/29/23 17:30,66.396,69.377,,,,,
16,9/29/23 17:45,65.856,70.94,,,,,
17,9/29/23 18:00,64.774,73.284,,,,,
18,9/29/23 18:15,62.69,76.801,,,,,
19,9/29/23 18:30,61.3,79.243,,,,,
20,9/29/23 18:45,59.679,83.199,,,,,
21,9/29/23 19:00,58.752,86.496,,,,,
22,9/29/23 19:15,58.752,87.521,,,,,
23,9/29/23 19:30,58.521,87.912,,,,,
24,9/29/23 19:45,58.289,88.449,,,,,
25,9/29/23 20:00,58.057,88.571,,,,,
26,9/29/23 20:15,58.134,89.988,,,,,
27,9/29/23 20:30,58.057,89.915,,,,,
28,9/29/23 20:45,57.825,89.621,,,,,
29,9/29/23 21:00,57.362,89.866,,,,,
30,9/29/23 21:15,57.517,91.038,,,,,
31,9/29/23 21:30,57.517,90.696,,,,,
32,9/29/23 21:45,57.825,90.94,,,,,
33,9/29/23 22:00,57.902,91.038,,,,,
34,9/29/23 22:15,57.979,90.891,,,,,
35,9/29/23 22:30,57.902,90.696,,,,,
36,9/29/23 22:45,57.902,91.331,,,,,
37,9/29/23 23:00,57.672,92.063,,,,,
38,9/29/23 23:15,57.594,92.112,,,,,
39,9/29/23 23:30,57.672,92.039,,,,,
40,9/29/23 23:45,57.594,91.77,,,,,
41,9/30/23 0:00,57.594,91.673,,,,,
42,9/30/23 0:15,57.439,91.966,,,,,
43,9/30/23 0:30,57.285,92.332,,,,,
44,9/30/23 0:45,57.207,92.698,,,,,
45,9/30/23 1:00,57.285,93.114,,,,,
46,9/30/23 1:15,57.285,93.529,,,,,
47,9/30/23 1:30,57.285,93.993,,,,,
48,9/30/23 1:45,57.13,94.164,,,,,
