genus,species,p50,doi,method,souce,notes
Quercus,ilex,4.70,https://doi.org/10.1093/treephys/tpu059,benchtopdehydration,Martin St. Paul et al. 2014,
Quercus,ilex,2.38,https://doi.org/10.1093/treephys/tpu059,cavitron,Martin St. Paul et al. 2014,
Quercus,ilex,5.75,https://doi.org/10.1093/treephys/tpu059,air injection ,Martin St. Paul et al. 2014,
Quercus,gambellii,1.08,https://doi.org/10.1111/j.1365-3040.2011.02439.x,benchtopdehydration,Sperry et al. 2011,
Quercus,gambellii,0.45,https://doi.org/10.1111/j.1365-3040.2011.02439.x,cavitron,Sperry et al. 2011,
Quercus,douglasii,6.27,,cavitron,Weitz et al. 20,
Quercus,lobata,3.25,,cavitron,Weitz et al. 20,
Quercus,douglasii,4.47,,microCT,Skelton et al. 2019,average
Quercus,douglasii,3.30,,microCT,Skelton et al. 2019,garden
Quercus,douglasii,5.10,,microCT,Skelton et al. 2019,wild
Quercus,agrifolia ,1.80,,benchtopdehydration ,Skelton et al. 1955,Stem 
Quercus,agrifolia ,1.96,,Centrifuge ,Skelton et al. 1956,Stem 
Quercus,agrifolia ,1.97,,benchtopdehydration ,Skelton et al. 1957,NA 
Quercus,alba ,1.37,,centrifuge ,Skelton et al. 1958,NA 
Quercus,alba ,1.37,,centrifuge ,Skelton et al. 1959,NA 
Quercus,berberidifolia ,4.13,,benchtopdehydration ,Skelton et al. 1960,stem 
Quercus,berberidifolia ,1.52,,centrifuge ,Skelton et al. 1961,stem 
Quercus,berberidifolia ,2.60,,centrifuge ,Skelton et al. 1962,NA 
Quercus,chrysolepis ,0.49,,centrifuge ,Skelton et al. 1963,stem 
Quercus,coccifera ,6.96,,centrifuge ,Skelton et al. 1964,NA 
Quercus,douglasii ,0.82,,centrifuge ,Skelton et al. 1965,stem 
Quercus,douglasii ,0.24,,centrifuge ,Skelton et al. 1966,stem 
Quercus,falcata ,0.92,,centrifuge ,Skelton et al. 1967,NA 
Quercus,falcata ,0.92,,centrifuge ,Skelton et al. 1968,NA 
Quercus,frainetto ,5.46,,centrifuge ,Skelton et al. 1969,NA 
Quercus,fusiformis ,0.50,,centrifuge ,Skelton et al. 1970,NA 
Quercus,gambelii ,1.22,,hydraulicconductance ,Skelton et al. 1971,stem 
Quercus,gambelii ,4.50,,benchtopdehydration ,Skelton et al. 1972,stem 
Quercus,gambelii ,1.22,,hydraulicconductance ,Skelton et al. 1973,stem 
Quercus,gambelii ,0.63,,centrifuge ,Skelton et al. 1974,stem 
Quercus,gambelii ,0.24,,centrifuge ,Skelton et al. 1975,stem 
Quercus,gambelii ,0.18,,centrifuge ,Skelton et al. 1976,NA 
Quercus,garryana ,0.29,,centrifuge ,Skelton et al. 1977,stem 
Quercus,ilex ,1.50,,hydraulicconductance ,Skelton et al. 1978,stem 
Quercus,ilex ,7.13,,cavitron ,Skelton et al. 1979,stem 
Quercus,ilex ,2.02,,centrifuge ,Skelton et al. 1980,NA 
Quercus,kelloggii ,0.31,,centrifuge ,Skelton et al. 1981,stem 
Quercus,laevis ,1.89,,centrifuge ,Skelton et al. 1982,NA 
Quercus,lobata ,0.84,,centrifuge ,Skelton et al. 1983,stem 
Quercus,myrtifolia ,0.80,,benchtopdehydration ,Skelton et al. 1984,stem 
