 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	2.742	11.733	3.216	11.733	3.216	7.689	10.756	2.076	1.849	2.437	2.461	1.418	112.099	0.583	2.574	1301	256	113.469	1.573	1.735	0.576	0.899
2	5.212	4.155	3.969	4.155	3.969	9.250	3.034	2.546	2.294	3.017	3.030	2.190	82.069	0.766	3.051	457	303	98.554	2.213	1.383	0.723	0.969
3	0.293	13.696	3.196	13.696	3.196	2.583	13.403	2.790	0.622	0.824	0.717	0.520	106.291	0.552	0.826	1615	332	94.667	0.595	1.379	0.725	0.849
4	4.192	7.877	4.574	7.877	4.574	8.595	6.824	3.244	2.084	2.748	2.733	1.953	98.217	0.713	2.778	882	386	103.826	2.018	1.399	0.715	0.934
5	3.126	15.886	5.588	15.886	5.588	7.350	15.076	4.286	1.622	2.622	2.548	1.562	100.054	0.727	2.641	1884	510	96.944	1.597	1.631	0.613	0.977
6	2.129	9.915	7.939	9.915	7.939	7.208	9.126	6.908	1.555	2.126	2.043	1.327	98.784	0.515	2.156	1143	824	101.923	1.441	1.539	0.650	0.881
7	2.395	14.046	9.094	14.046	9.094	7.241	13.210	7.891	1.765	2.269	2.270	1.343	63.276	0.574	2.504	1599	1205	61.973	1.586	1.690	0.592	0.910
8	2.297	16.427	9.519	16.427	9.519	7.414	15.605	8.521	1.723	2.143	1.969	1.485	84.673	0.525	2.202	1932	1269	74.055	1.656	1.326	0.754	0.891
9	2.458	6.518	9.765	6.518	9.765	6.930	5.664	8.765	1.639	2.151	2.153	1.453	100.450	0.643	2.180	728	1299	78.214	1.493	1.482	0.675	0.922
10	4.489	3.464	10.180	3.464	10.180	9.063	2.521	8.798	1.933	2.899	2.951	1.937	82.635	0.687	2.964	367	1392	73.363	1.924	1.523	0.656	0.974
11	1.108	8.087	12.276	8.087	12.276	4.987	7.513	11.571	1.176	1.479	1.423	0.991	102.513	0.560	1.485	961	1377	95.194	1.098	1.436	0.697	0.883
12	1.363	14.420	12.960	14.420	12.960	5.284	13.773	12.202	1.387	1.613	1.757	0.988	54.439	0.614	1.831	1671	1640	58.134	1.086	1.777	0.563	0.917
13	0.831	11.252	13.147	11.252	13.147	4.253	10.756	12.412	0.950	1.429	1.441	0.734	66.929	0.577	1.509	1294	1647	66.718	0.782	1.963	0.509	0.906
