 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	8.317	14.603	3.126	14.603	3.126	16.616	12.950	0.462	3.092	5.059	4.100	2.583	101.613	0.379	5.089	1691	55	96.257	2.859	1.587	0.630	0.858
2	9.136	5.725	5.369	5.725	5.369	18.007	3.966	2.773	3.437	4.731	3.937	2.955	112.075	0.354	4.797	605	330	99.479	3.198	1.332	0.750	0.854
3	6.577	2.347	4.932	2.347	4.932	15.788	0.983	3.059	2.857	4.160	3.466	2.416	97.429	0.332	4.161	216	859	88.496	2.631	1.435	0.697	0.867
4	10.645	9.594	6.493	9.594	6.493	20.276	7.731	3.899	3.739	5.403	4.291	3.159	74.555	0.325	5.409	1074	1107	87.418	3.199	1.358	0.736	0.874
5	5.191	17.370	7.244	17.370	7.244	13.253	16.151	5.361	2.555	3.832	3.112	2.124	86.392	0.371	3.841	2046	638	94.014	2.228	1.465	0.682	0.869
6	9.002	3.942	12.349	3.942	12.349	15.843	2.261	10.479	3.345	4.588	3.794	3.021	80.265	0.451	4.611	404	1247	95.752	3.267	1.256	0.796	0.837
7	8.341	9.034	13.503	9.034	13.503	15.314	7.487	10.622	2.924	5.252	4.069	2.610	96.850	0.447	5.253	1099	1889	88.900	2.894	1.559	0.641	0.838
8	6.858	15.389	12.622	15.389	12.622	14.279	13.773	11.017	3.286	3.832	3.050	2.863	119.494	0.423	3.856	1797	1311	96.382	3.144	1.066	0.938	0.807
9	6.901	6.466	18.191	6.466	18.191	14.068	5.143	15.748	2.723	4.361	3.537	2.484	101.398	0.438	4.403	696	1874	97.898	2.673	1.424	0.702	0.846
10	2.950	12.154	19.237	12.154	19.237	9.732	11.042	17.807	2.134	2.555	2.018	1.862	82.713	0.391	2.575	1371	2404	67.956	1.994	1.084	0.922	0.800
11	8.485	8.725	22.641	8.725	22.641	14.846	7.008	20.067	3.521	4.143	3.486	3.099	49.425	0.484	4.230	928	2879	77.261	3.308	1.125	0.889	0.859
