 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	1.531	15.958	3.288	15.958	3.288	7.073	15.160	2.471	1.882	1.672	1.984	0.983	134.922	0.385	2.282	1816	310	140.978	1.205	2.019	0.495	0.794
2	2.135	3.116	5.272	3.116	5.272	8.763	2.571	3.798	1.235	3.412	2.951	0.921	99.830	0.349	3.443	344	452	97.715	1.020	3.204	0.312	0.832
3	1.615	5.651	5.230	5.651	5.230	7.569	5.084	4.185	1.151	2.546	2.050	1.003	83.137	0.354	2.559	632	801	84.346	1.127	2.045	0.489	0.803
4	2.226	11.425	5.275	11.425	5.275	8.249	10.672	4.244	1.798	2.303	2.235	1.268	121.305	0.411	2.746	1283	508	127.291	1.525	1.763	0.567	0.820
5	1.686	18.532	6.512	18.532	6.512	7.140	17.185	5.824	2.345	1.336	2.085	1.030	163.353	0.416	2.379	2045	723	156.695	1.170	2.025	0.494	0.812
6	2.189	8.818	7.296	8.818	7.296	8.514	8.109	5.983	1.244	3.261	2.785	1.001	95.615	0.380	3.268	1056	1100	86.166	1.164	2.782	0.359	0.839
7	1.637	15.296	8.074	15.296	8.074	7.538	14.328	6.731	1.874	2.496	2.655	0.785	127.477	0.362	3.007	1712	802	124.179	0.897	3.381	0.296	0.811
8	1.954	3.941	9.826	3.941	9.826	8.364	3.008	8.126	1.798	2.857	2.772	0.897	113.122	0.351	3.161	368	969	117.383	1.115	3.089	0.324	0.804
9	1.710	16.663	11.089	16.663	11.089	7.609	15.916	9.597	1.378	2.588	2.073	1.050	103.560	0.371	2.626	1973	1142	99.764	1.340	1.974	0.507	0.769
10	0.997	11.487	10.450	11.487	10.450	6.325	10.891	9.714	1.092	1.908	1.557	0.815	69.842	0.313	2.137	1298	1381	60.814	1.044	1.909	0.524	0.681
11	1.294	8.050	10.709	8.050	10.709	6.897	7.311	9.924	1.395	1.840	1.746	0.944	123.853	0.342	2.078	900	1189	121.441	1.107	1.850	0.540	0.789
12	1.202	4.768	12.969	4.768	12.969	6.141	4.311	11.681	0.840	2.370	2.021	0.757	93.218	0.401	2.374	555	1672	86.753	0.836	2.668	0.375	0.857
13	1.527	14.763	13.104	14.763	13.104	7.043	13.807	12.067	1.941	1.857	2.181	0.892	137.393	0.387	2.493	1646	1441	137.869	1.105	2.446	0.409	0.812
14	1.988	8.110	14.345	8.110	14.345	8.028	7.387	13.109	1.546	2.748	2.660	0.952	110.007	0.388	2.998	903	1561	113.979	1.126	2.795	0.358	0.819
15	1.871	11.247	14.539	11.247	14.539	7.734	10.269	13.445	2.286	2.504	2.855	0.835	131.840	0.393	3.224	1232	1607	132.465	0.885	3.421	0.292	0.855
