 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	10.006	11.499	4.929	11.499	4.929	15.601	9.904	2.114	3.057	5.154	4.422	2.881	102.406	0.517	5.215	1307	252	101.836	3.049	1.535	0.651	0.885
2	8.122	2.412	5.359	2.412	5.359	14.975	0.935	2.426	2.771	5.457	4.482	2.307	108.338	0.455	5.634	177	288	104.369	2.582	1.943	0.515	0.862
3	6.574	6.719	5.859	6.719	5.859	14.385	5.348	3.200	2.687	4.918	3.830	2.185	99.856	0.399	4.961	778	380	97.511	2.447	1.753	0.571	0.854
4	8.761	16.653	6.207	16.653	6.207	15.996	15.244	3.293	2.796	5.356	4.289	2.601	89.586	0.430	5.357	1955	391	90.631	2.760	1.649	0.606	0.844
5	9.844	3.143	12.912	3.143	12.912	20.650	1.710	9.348	2.990	6.224	4.740	2.644	106.267	0.290	6.265	305	1110	96.561	2.947	1.793	0.558	0.757
6	4.147	11.967	11.100	11.967	11.100	10.371	10.839	9.433	2.223	3.040	2.673	1.975	105.455	0.485	3.055	1412	1120	95.538	2.123	1.353	0.739	0.854
7	11.553	8.154	13.050	8.154	13.050	17.766	6.544	9.702	3.183	6.140	5.014	2.934	99.976	0.460	6.188	936	1152	97.193	3.086	1.709	0.585	0.881
8	8.875	16.474	14.298	16.474	14.298	14.384	15.050	11.614	2.855	5.062	4.315	2.619	93.518	0.539	5.062	1938	1379	90.286	2.830	1.648	0.607	0.892
9	13.982	11.898	18.316	11.898	18.316	20.499	10.376	14.402	3.108	7.049	5.743	3.100	86.839	0.418	7.066	1373	2547	86.036	3.101	1.853	0.540	0.851
10	6.956	3.636	20.512	3.636	20.512	12.622	2.291	18.318	2.535	4.497	4.350	2.036	103.398	0.549	4.674	396	2175	105.789	2.291	2.136	0.468	0.909
11	8.619	7.069	20.739	7.069	20.739	14.293	5.634	18.495	2.965	4.708	4.355	2.520	99.728	0.530	4.712	793	2755	87.542	2.624	1.728	0.579	0.886
