 	Area	Mean	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	3.172	255	255	255	8.769	3.042	8.769	3.042	9.285	7.966	1.134	1.563	3.403	2.981	1.355	77.624	0.462	3.460	988	540	79.645	1.357	2.200	0.454	0.905
2	4.891	255	255	255	15.669	3.350	15.669	3.350	10.917	14.580	1.311	2.210	4.000	3.248	1.918	82.539	0.516	4.007	1847	632	86.634	2.061	1.694	0.590	0.903
3	3.517	255	255	255	5.451	3.201	5.451	3.201	10.175	4.756	1.454	1.605	3.546	3.057	1.465	89.138	0.427	3.565	579	173	95.952	1.587	2.086	0.479	0.902
4	1.970	255	255	255	11.781	3.490	11.781	3.490	9.686	10.731	2.185	1.916	2.328	1.689	1.485	36.438	0.264	2.598	1289	533	61.611	1.850	1.137	0.880	0.637
5	1.573	255	255	255	2.731	3.756	2.731	3.756	6.688	2.193	2.387	1.143	2.361	2.118	0.945	96.767	0.442	2.384	303	284	97.902	1.082	2.241	0.446	0.829
6	2.959	255	255	255	6.461	7.549	6.461	7.549	9.321	5.672	5.966	1.622	3.076	2.551	1.477	81.421	0.428	3.076	760	1076	88.904	1.517	1.728	0.579	0.885
7	2.022	255	255	255	13.824	7.508	13.824	7.508	8.037	13.000	6.092	1.790	2.353	2.044	1.260	129.796	0.393	2.472	1649	725	107.819	1.513	1.622	0.616	0.738
8	4.239	255	255	255	10.359	7.930	10.359	7.930	11.178	9.361	6.134	2.134	3.353	2.782	1.940	102.274	0.426	3.444	1166	731	103.833	2.109	1.434	0.698	0.872
9	2.970	255	255	255	3.313	7.781	3.313	7.781	8.795	2.412	6.218	1.706	2.891	2.417	1.564	85.641	0.482	2.900	387	1084	85.347	1.661	1.545	0.647	0.890
10	1.778	255	255	255	12.994	11.116	12.994	11.116	6.612	12.328	9.807	1.437	2.244	2.087	1.085	116.735	0.511	2.406	1498	1168	111.727	1.129	1.924	0.520	0.904
11	1.700	255	255	255	6.098	11.325	6.098	11.325	6.790	5.647	9.857	0.983	2.697	2.373	0.912	85.377	0.463	2.701	704	1494	87.146	0.932	2.602	0.384	0.909
12	1.965	255	255	255	9.571	11.264	9.571	11.264	8.355	8.571	10.000	1.689	2.588	2.122	1.179	81.605	0.354	2.654	1144	1498	77.196	1.459	1.799	0.556	0.816
13	2.860	255	255	255	3.056	11.705	3.056	11.705	9.683	2.134	10.067	1.731	2.899	2.420	1.505	83.596	0.383	3.007	320	1543	74.604	1.569	1.608	0.622	0.823
