 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	4.253	6.246	4.159	6.246	4.159	10.345	5.407	2.229	1.619	4.034	3.572	1.516	90.767	0.499	4.035	755	263	91.324	1.617	2.357	0.424	0.937
2	2.459	2.755	3.951	2.755	3.951	7.870	2.042	2.568	1.424	3.068	2.828	1.107	109.343	0.499	3.274	274	303	110.452	1.181	2.555	0.391	0.934
3	1.465	9.387	4.159	9.387	4.159	6.274	8.864	3.127	1.034	2.025	1.958	0.953	83.961	0.468	2.031	1090	369	94.307	0.998	2.054	0.487	0.936
4	1.841	12.738	4.941	12.738	4.941	6.353	12.263	3.703	0.992	2.534	2.431	0.964	90.178	0.573	2.536	1492	437	92.107	0.990	2.521	0.397	0.973
5	2.184	16.655	5.613	16.655	5.613	6.568	15.966	4.407	1.322	2.424	2.255	1.233	89.460	0.636	2.426	1988	520	92.403	1.322	1.828	0.547	0.951
6	3.555	2.957	9.359	2.957	9.359	8.470	2.178	7.602	1.475	3.458	3.288	1.377	87.793	0.623	3.459	352	1305	88.596	1.444	2.388	0.419	0.968
7	3.661	6.875	10.318	6.875	10.318	9.028	6.034	8.568	1.644	3.449	3.264	1.428	103.594	0.564	3.479	812	1011	97.558	1.565	2.285	0.438	0.953
8	3.411	11.526	10.587	11.526	10.587	9.114	10.754	8.890	1.602	3.517	3.294	1.318	103.534	0.516	3.636	1306	1049	104.716	1.420	2.499	0.400	0.932
9	2.552	17.674	10.310	17.674	10.310	7.561	17.042	8.915	1.271	2.915	2.842	1.143	93.539	0.561	2.941	2038	1052	97.616	1.168	2.486	0.402	0.958
10	2.627	14.539	13.453	14.539	13.453	7.955	13.924	11.839	1.280	3.136	3.027	1.105	99.012	0.522	3.150	1715	1397	95.557	1.159	2.739	0.365	0.936
11	3.673	3.683	14.202	3.683	14.202	9.577	2.958	12.424	1.551	3.551	3.301	1.417	84.046	0.503	3.553	393	1466	92.050	1.514	2.330	0.429	0.947
12	3.121	8.358	15.154	8.358	15.154	8.429	7.593	13.432	1.534	3.322	3.317	1.198	75.410	0.552	3.450	925	1977	74.325	1.208	2.769	0.361	0.974
13	1.178	12.020	15.160	12.020	15.160	4.846	11.602	14.178	0.864	1.941	1.829	0.820	90.127	0.630	1.941	1411	1902	88.499	0.857	2.230	0.448	0.975
