 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	2.693	8.256	9.542	8.256	9.542	9.250	7.443	7.806	1.637	2.996	2.480	1.382	93.631	0.395	3.009	970	925	95.311	1.554	1.794	0.557	0.846
2	2.264	4.309	9.328	4.309	9.328	11.090	3.038	7.958	2.101	2.549	2.094	1.377	108.055	0.231	2.553	496	943	93.222	1.758	1.521	0.657	0.635
3	1.889	12.114	10.204	12.114	10.204	9.546	11.333	8.574	1.527	2.751	2.069	1.162	81.829	0.261	2.752	1431	1342	88.770	1.473	1.780	0.562	0.742
4	1.553	16.002	10.633	16.002	10.633	7.817	15.207	9.384	1.435	2.110	1.857	1.064	54.376	0.319	2.317	1821	1359	64.088	1.265	1.745	0.573	0.803
5	2.507	8.290	14.846	8.290	14.846	8.683	7.460	13.435	1.781	2.388	2.125	1.502	124.871	0.418	2.606	932	1593	114.490	1.721	1.415	0.707	0.838
6	1.312	14.296	14.998	14.296	14.998	6.915	13.781	13.595	1.004	2.473	1.973	0.847	89.206	0.345	2.481	1674	1904	85.317	1.004	2.330	0.429	0.781
7	2.058	4.115	15.338	4.115	15.338	10.555	3.485	13.662	1.384	3.122	2.698	0.971	102.499	0.232	3.226	436	1619	110.521	1.199	2.779	0.360	0.723
8	0.958	11.354	14.849	11.354	14.849	5.008	10.835	14.093	1.021	1.384	1.291	0.945	70.343	0.480	1.487	1318	1833	67.655	0.997	1.367	0.732	0.889
9	0.930	17.173	15.301	17.173	15.301	5.301	16.608	14.726	1.224	1.333	1.295	0.914	95.156	0.416	1.446	1971	1747	115.967	1.135	1.416	0.706	0.839
10	3.047	8.932	20.389	8.932	20.389	11.997	8.194	18.371	1.603	3.494	2.733	1.420	86.881	0.266	3.517	1010	2591	83.387	1.597	1.924	0.520	0.759
11	2.723	12.879	20.218	12.879	20.218	11.527	12.101	18.439	1.595	3.266	2.783	1.246	106.287	0.257	3.335	1454	2185	101.680	1.417	2.233	0.448	0.774
12	1.346	15.615	20.208	15.615	20.208	7.433	15.105	18.852	1.004	2.456	2.047	0.837	90.919	0.306	2.460	1849	2234	93.540	0.993	2.446	0.409	0.763
13	1.960	5.348	20.347	5.348	20.347	9.624	4.346	19.004	1.688	2.414	2.087	1.196	99.505	0.266	2.455	631	2252	100.499	1.580	1.745	0.573	0.766
