 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	1.616	14.021	3.932	14.021	3.932	7.156	13.479	2.664	1.202	2.269	1.933	1.064	102.606	0.396	2.309	1632	317	100.697	1.185	1.816	0.551	0.828
2	1.412	6.672	4.161	6.672	4.161	7.587	6.101	2.849	1.042	2.773	2.475	0.726	81.320	0.308	2.841	726	667	75.265	1.008	3.408	0.293	0.727
3	2.087	3.555	4.592	3.555	4.592	8.859	2.790	3.286	1.546	2.882	2.799	0.949	108.153	0.334	3.087	343	396	113.076	1.234	2.949	0.339	0.751
4	1.500	10.929	4.792	10.929	4.792	6.743	10.244	3.420	1.168	2.529	2.230	0.857	104.194	0.415	2.647	1231	407	107.170	0.956	2.603	0.384	0.824
5	1.637	10.995	8.489	10.995	8.489	7.745	10.092	7.286	1.739	2.353	2.428	0.859	121.534	0.343	2.625	1211	868	120.177	0.918	2.827	0.354	0.843
6	2.921	16.715	9.270	16.715	9.270	10.194	15.689	7.521	2.202	2.916	2.740	1.357	126.053	0.353	3.339	1898	897	122.250	1.575	2.019	0.495	0.798
7	1.003	8.105	8.841	8.105	8.841	5.397	7.706	7.992	0.891	1.933	1.594	0.801	81.904	0.433	1.963	924	1181	79.893	0.861	1.989	0.503	0.836
8	1.528	5.682	9.123	5.682	9.123	6.901	5.202	8.134	0.975	2.521	2.118	0.919	91.113	0.403	2.531	651	968	95.143	0.971	2.305	0.434	0.832
9	2.807	2.839	10.131	2.839	10.131	9.463	1.908	8.513	1.639	3.101	2.592	1.379	101.511	0.394	3.213	272	1013	105.163	1.631	1.880	0.532	0.789
10	1.460	13.413	11.462	13.413	11.462	5.950	12.630	10.714	1.613	1.672	1.691	1.100	132.092	0.518	1.977	1506	1320	143.471	1.195	1.538	0.650	0.841
11	1.865	10.376	12.959	10.376	12.959	7.554	9.370	12.067	1.966	2.076	1.814	1.309	132.131	0.411	2.368	1115	1507	146.141	1.543	1.386	0.721	0.795
12	1.444	7.729	13.253	7.729	13.253	6.528	7.092	12.261	1.202	2.202	1.910	0.963	105.951	0.426	2.305	883	1462	109.822	1.153	1.983	0.504	0.803
13	2.524	17.071	14.057	17.071	14.057	9.581	16.193	12.630	1.924	3.160	3.164	1.016	117.428	0.346	3.473	1960	1506	115.511	1.101	3.115	0.321	0.867
14	0.866	6.069	14.022	6.069	14.022	4.617	5.664	13.286	0.773	1.613	1.539	0.717	96.653	0.511	1.693	689	1581	107.625	0.763	2.148	0.466	0.896
15	2.518	3.793	15.582	3.793	15.582	8.423	3.076	14.319	1.471	2.966	2.496	1.284	93.371	0.446	2.974	456	1704	94.212	1.458	1.944	0.514	0.843
16	2.080	13.742	17.580	13.742	17.580	8.077	12.958	16.168	1.815	2.521	2.640	1.003	117.305	0.401	2.886	1552	1925	122.394	1.130	2.632	0.380	0.821
17	2.221	10.364	17.827	10.364	17.827	8.418	9.353	16.345	1.983	2.571	2.716	1.041	125.390	0.394	3.019	1121	1946	122.496	1.193	2.608	0.383	0.832
18	1.438	6.990	18.227	6.990	18.227	6.229	6.303	17.420	1.353	1.849	1.804	1.015	121.393	0.466	2.175	760	2073	122.217	1.213	1.777	0.563	0.822
