 	Area	Mean	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	9.228	255	255	255	3.639	4.550	3.639	4.550	18.431	2.335	1.272	2.519	6.134	5.131	2.290	97.225	0.341	6.230	351	152	100.057	2.515	2.241	0.446	0.855
2	7.363	255	255	255	8.263	4.858	8.263	4.858	18.213	6.929	1.925	2.653	5.188	4.035	2.323	93.386	0.279	5.188	974	850	89.446	2.619	1.737	0.576	0.810
3	10.245	255	255	255	13.163	5.473	13.163	5.473	20.664	11.632	1.950	3.096	6.151	4.874	2.676	84.450	0.302	6.152	1568	968	88.597	3.009	1.821	0.549	0.817
4	4.244	255	255	255	7.298	9.535	7.298	9.535	12.185	6.017	7.782	2.577	3.029	2.515	2.149	46.810	0.359	3.090	807	1292	78.599	2.382	1.170	0.855	0.810
5	10.814	255	255	255	3.408	12.134	3.408	12.134	19.556	1.933	8.728	2.862	6.510	5.323	2.587	90.290	0.355	6.524	376	1043	93.751	2.785	2.058	0.486	0.857
6	6.988	255	255	255	16.121	11.918	16.121	11.918	18.965	14.527	8.770	2.920	5.598	4.639	1.918	68.884	0.244	5.860	1867	1717	72.807	2.352	2.419	0.413	0.777
7	6.700	255	255	255	12.016	12.828	12.016	12.828	15.796	11.004	9.732	2.109	5.289	4.518	1.888	85.960	0.337	5.296	1408	1795	86.921	2.100	2.392	0.418	0.875
8	5.141	255	255	255	7.832	14.424	7.832	14.424	14.884	6.862	11.732	2.084	4.494	3.545	1.846	89.432	0.292	4.494	890	1402	90.960	2.080	1.920	0.521	0.831
9	12.220	255	255	255	9.998	19.445	9.998	19.445	22.509	8.628	15.197	2.728	7.565	6.286	2.475	86.851	0.303	7.583	1140	2720	86.013	2.716	2.539	0.394	0.846
10	6.854	255	255	255	4.220	18.490	4.220	18.490	17.275	2.920	15.263	2.477	5.682	4.426	1.972	101.653	0.289	5.714	504	1824	96.053	2.263	2.244	0.446	0.820
