tree_id,date,pd_ md,dm_1,dm_2,dm_3,notes
2345,2022-05-09,pd,0.577,0.5699,0.5295,
2021,2022-05-09,pd,1.193,1.1724,1.0735,
2024,2022-05-09,pd,1.018,0.9987,0.9172,
2025,2022-05-09,pd,0.431,0.425,0.3894,
2022,2022-05-09,pd,1.774,1.738,1.6052,
2020,2022-05-09,pd,0.912,0.8977,0.8236,
2023,2022-05-09,pd,1.935,1.896,1.7572,
2352,2022-05-09,pd,1.002,0.9886,0.9112,
2343,2022-05-09,pd,2.145,2.1055,1.9289,
2009,2022-05-09,pd,0.726,0.7118,0.653,
2031,2022-05-09,pd,0.97,0.9585,0.8792,
2028,2022-05-09,pd,0.941,0.9288,0.8478,
2371,2022-05-09,pd,0.838,0.8249,0.7568,
2030,2022-05-09,pd,0.897,0.8854,0.8171,
2331,2022-05-09,pd,NA,1.552,1.438,
2380,2022-05-09,pd,1.002,0.9869,0.9139,
2011,2022-05-09,pd,1.071,1.0493,0.9659,
2372,2022-05-09,pd,0.795,0.7831,0.7204,
2083,2022-05-09,pd,0.99,0.9751,0.8954,
2029,2022-05-09,pd,1.323,1.3041,1.2011,
2364,2022-05-09,pd,0.95,0.9324,0.8566,
2381,2022-05-09,pd,1.185,1.1634,1.0674,
2367,2022-05-09,pd,1.06,1.0429,0.9577,
2027,2022-05-09,pd,0.804,0.791,0.7279,
2301,2022-05-09,pd,1.715,1.6758,1.5567,
2354,2022-05-09,pd,0.987,0.9683,0.8966,
2377,2022-05-09,pd,1.189,1.176,1.0924,
2384,2022-05-09,pd,0.561,0.5517,0.5061,
2378,2022-05-09,pd,0.913,0.8978,0.8237,
2347,2022-05-09,pd,0.932,0.9133,0.8398,
2365,2022-05-09,pd,0.81,0.797,0.7316,
2026,2022-05-09,pd,0.87,0.8543,0.7846,
2379,2022-05-09,pd,1.396,1.3684,1.2564,
2369,2022-05-09,pd,1.142,1.1245,1.0355,
2010,2022-05-09,pd,1.776,1.7529,1.597,
2346,2022-05-09,pd,1.075,1.0595,0.9732,
LL LEU,2022-05-09,pd,NA,0.3222,0.301,
CH ARCA,2022-05-09,pd,NA,1.1476,1.0582,
LL ARCA,2022-05-09,pd,NA,0.9546,0.8786,
2087,2022-05-09,md,0.859,0.9114,0.837,
2379,2022-05-09,md,0.9764,1.0436,0.9597,
2376,2022-05-09,md,0.5065,0.535,0.4989,probably y0
2088,2022-05-09,md,0.5539,0.5887,0.5423,
2091,2022-05-09,md,0.5315,0.5615,0.5223,y1
2331,2022-05-09,md,1.0888,1.1503,1.0725,
