tree,plot,site,species,date,year,branch_number,length_mm,leaf_number,lma_g_cm2,sla_cm_g,alas_cm2_per_mm2
1478,Low,Cucu Mesa,blue oak,2023-04-14,0,1,28.37,7,0.0071524915698763574,139.81141959140913,29.13474232594435
1478,Low,Cucu Mesa,blue oak,2023-05-12,0,3,18.19,6,0.015226911785937726,65.67319848293299,30.10178218672577
1478,Low,Cucu Mesa,blue oak,2023-07-28,0,2,41.04,7,0.016739776770483012,59.73795312272529,15.600976881561905
1478,Low,Cucu Mesa,blue oak,2023-04-14,0,3,36.95,7,0.007644202215001921,130.8180987202925,50.7394617018015
1478,Low,Cucu Mesa,blue oak,2023-07-28,0,3,41.08,4,0.014132747375396743,70.75765054294176,12.162041270125075
1478,Low,Cucu Mesa,blue oak,2023-05-12,0,1,26.16,8,0.01420587314205873,70.39342038324573,18.894746143297148
1478,Low,Cucu Mesa,blue oak,2023-07-28,0,1,161,13,0.02041214234762622,48.99044808573425,4.457392077958701
1478,Low,Cucu Mesa,blue oak,2023-09-29,0,1,179,31,0.022126699821642587,45.19426792340171,5.741761150338591
1478,Low,Cucu Mesa,blue oak,2023-05-12,0,2,17.13,7,0.015027340849254032,66.5453728661276,19.314323624066198
1478,Low,Cucu Mesa,blue oak,2023-09-29,0,3,316,16,0.023757394074034422,42.09215863001352,2.988239972146348
1478,Low,Cucu Mesa,blue oak,2023-04-14,0,2,33.1,7,0.008153593190830834,122.64531435349942,27.4136269325632
1478,Low,Cucu Mesa,blue oak,2023-09-29,0,2,265,18,0.022753138631180395,43.94998053717399,3.6870289028034486
1478,Low,Cucu Mesa,blue oak,2023-07-28,0,1,78.24,8,0.022077949102107912,45.294062205466545,4.6499890748669905
2004,NA,NA,NA,2023-07-28,0,3,188.52,23,0.020394751932472418,49.032221784850705,7.884157982256575
2004,NA,NA,NA,2023-05-12,0,3,25.42,8,0.011869967193558007,84.2462311557789,16.643489937459563
2004,NA,NA,NA,2023-09-29,0,1,92,16,0.021344160666429888,46.85122154148703,11.445551583489951
2004,NA,NA,NA,2023-04-14,0,3,37.94,12,0.010129883678472694,98.71781668383109,15.436146737621382
2004,NA,NA,NA,2023-05-12,0,2,38.56,16,0.012684146146891454,78.83857442348008,26.703662060888536
2004,NA,NA,NA,2023-07-28,0,2,106.38,22,0.01796226290506298,55.672272769046955,12.415023510076379
2004,NA,NA,NA,2023-09-29,0,3,122,26,0.021107205179434006,47.377186676252094,9.941477596685637
2004,NA,NA,NA,2023-07-28,0,1,70.15,13,0.021849087893864014,45.7685009487666,7.105959974781834
2004,NA,NA,NA,2023-09-29,0,2,80,15,0.02249186504538448,44.460519302520375,8.470945270689374
2004,NA,NA,NA,2023-04-14,0,2,28.03,13,0.01017278467837069,98.30150068212824,31.029565994647108
2004,NA,NA,NA,2023-04-14,0,1,46.55,18,0.012417536534446764,80.53127101546738,29.309876492736553
2004,NA,NA,NA,2023-05-12,0,1,24.78,12,0.012286202964652224,81.39211136890951,28.931896881042885
2004,NA,NA,NA,2023-07-28,0,1,17.1,6,0.015736653618722413,63.54591161682985,7.663039231397243
2004,NA,NA,NA,2023-07-28,0,1,34.77,4,0.01996207550422341,50.09499136442142,2.57532440985131
2004,High,Cucu Mesa,blue oak,2023-07-28,0,3,188.52,23,0.020394751932472418,49.032221784850705,7.884157982256575
2004,High,Cucu Mesa,blue oak,2023-05-12,0,3,25.42,8,0.011869967193558007,84.2462311557789,16.643489937459563
2004,High,Cucu Mesa,blue oak,2023-09-29,0,1,92,16,0.021344160666429888,46.85122154148703,11.445551583489951
2004,High,Cucu Mesa,blue oak,2023-04-14,0,3,37.94,12,0.010129883678472694,98.71781668383109,15.436146737621382
2004,High,Cucu Mesa,blue oak,2023-05-12,0,2,38.56,16,0.012684146146891454,78.83857442348008,26.703662060888536
2004,High,Cucu Mesa,blue oak,2023-07-28,0,2,106.38,22,0.01796226290506298,55.672272769046955,12.415023510076379
2004,High,Cucu Mesa,blue oak,2023-09-29,0,3,122,26,0.021107205179434006,47.377186676252094,9.941477596685637
2004,High,Cucu Mesa,blue oak,2023-07-28,0,1,70.15,13,0.021849087893864014,45.7685009487666,7.105959974781834
2004,High,Cucu Mesa,blue oak,2023-09-29,0,2,80,15,0.02249186504538448,44.460519302520375,8.470945270689374
2004,High,Cucu Mesa,blue oak,2023-04-14,0,2,28.03,13,0.01017278467837069,98.30150068212824,31.029565994647108
2004,High,Cucu Mesa,blue oak,2023-04-14,0,1,46.55,18,0.012417536534446764,80.53127101546738,29.309876492736553
2004,High,Cucu Mesa,blue oak,2023-05-12,0,1,24.78,12,0.012286202964652224,81.39211136890951,28.931896881042885
2004,High,Cucu Mesa,blue oak,2023-07-28,0,1,17.1,6,0.015736653618722413,63.54591161682985,7.663039231397243
2004,High,Cucu Mesa,blue oak,2023-07-28,0,1,34.77,4,0.01996207550422341,50.09499136442142,2.57532440985131
2005,NA,NA,NA,2023-04-14,0,1,14.27,7,0.012165487940726924,82.19974446337308,91.59956605914479
2005,NA,NA,NA,2023-09-29,0,3,245,11,NA,NA,NA
2005,NA,NA,NA,2023-05-12,0,1,17.28,7,0.016830773270316398,59.414976599063955,40.599485821250184
2005,NA,NA,NA,2023-07-28,0,3,45.22,8,0.017867368905051518,55.96794946777401,14.115061232115528
2005,NA,NA,NA,2023-05-12,0,3,26.99,7,0.016880794390324253,59.238918316141614,27.80546713025523
2005,NA,NA,NA,2023-09-29,0,1,259,23,0.02412262687112085,41.45485503476328,15.641311992410044
2005,NA,NA,NA,2023-07-28,0,1,381,17,0.022913278813446143,43.64281551067988,6.826701993411705
2005,NA,NA,NA,2023-07-28,0,1,59,17,0.022913278813446143,43.64281551067988,6.826701993411705
2005,NA,NA,NA,2023-07-28,0,2,62.36,5,0.019233344492802142,51.99303742384682,2.4784376979895915
2005,NA,NA,NA,2023-05-12,0,2,22.19,7,0.01750193102821573,57.136552440290764,32.16566705702042
2005,NA,NA,NA,2023-04-14,0,3,26.38,8,0.01125223729325254,88.87121502491375,74.12400242670081
2005,NA,NA,NA,2023-04-14,0,2,18.01,7,0.01249644490144173,80.02275910364146,51.79646346591274
2005,NA,NA,NA,2023-09-29,0,2,24,7,0.01921761658031088,52.035589107576165,12.07453282582294
2005,NA,NA,NA,2023-07-28,0,2,35.27,8,0.01972318339100346,50.70175438596491,14.791488085410931
2005,High,Cucu Mesa,blue oak,2023-04-14,0,1,14.27,7,0.012165487940726924,82.19974446337308,91.59956605914479
2005,High,Cucu Mesa,blue oak,2023-09-29,0,3,245,11,NA,NA,NA
2005,High,Cucu Mesa,blue oak,2023-05-12,0,1,17.28,7,0.016830773270316398,59.414976599063955,40.599485821250184
2005,High,Cucu Mesa,blue oak,2023-07-28,0,3,45.22,8,0.017867368905051518,55.96794946777401,14.115061232115528
2005,High,Cucu Mesa,blue oak,2023-05-12,0,3,26.99,7,0.016880794390324253,59.238918316141614,27.80546713025523
2005,High,Cucu Mesa,blue oak,2023-09-29,0,1,259,23,0.02412262687112085,41.45485503476328,15.641311992410044
2005,High,Cucu Mesa,blue oak,2023-07-28,0,1,381,17,0.022913278813446143,43.64281551067988,6.826701993411705
2005,High,Cucu Mesa,blue oak,2023-07-28,0,1,59,17,0.022913278813446143,43.64281551067988,6.826701993411705
2005,High,Cucu Mesa,blue oak,2023-07-28,0,2,62.36,5,0.019233344492802142,51.99303742384682,2.4784376979895915
2005,High,Cucu Mesa,blue oak,2023-05-12,0,2,22.19,7,0.01750193102821573,57.136552440290764,32.16566705702042
2005,High,Cucu Mesa,blue oak,2023-04-14,0,3,26.38,8,0.01125223729325254,88.87121502491375,74.12400242670081
2005,High,Cucu Mesa,blue oak,2023-04-14,0,2,18.01,7,0.01249644490144173,80.02275910364146,51.79646346591274
2005,High,Cucu Mesa,blue oak,2023-09-29,0,2,24,7,0.01921761658031088,52.035589107576165,12.07453282582294
2005,High,Cucu Mesa,blue oak,2023-07-28,0,2,35.27,8,0.01972318339100346,50.70175438596491,14.791488085410931
2006,High,Cucu Mesa,blue oak,2023-09-29,0,1,298,12,0.024747745676552482,40.40772089182494,3.022989177737117
2006,High,Cucu Mesa,blue oak,2023-09-29,0,3,27,12,0.01850833530852493,54.029710577990265,10.596925005626595
2006,High,Cucu Mesa,blue oak,2023-07-28,0,2,208,11,0.024900016435654412,40.16061606160616,5.55043457194728
2006,High,Cucu Mesa,blue oak,2023-04-14,0,1,14.3,9,0.013175965665236053,75.89576547231269,23.21702098657267
2006,High,Cucu Mesa,blue oak,2023-05-12,0,3,15.86,9,0.014604933011409364,68.47001620745543,19.344790383895916
2006,High,Cucu Mesa,blue oak,2023-04-14,0,3,10.22,8,0.01148017859558923,87.10665880966413,30.68921943086618
2006,High,Cucu Mesa,blue oak,2023-05-12,0,1,22.97,11,0.014679875552644505,68.12046848856666,35.86141582526346
2006,High,Cucu Mesa,blue oak,2023-09-29,0,2,59,12,0.018189763411211504,54.9759761791974,7.40469098181507
2006,High,Cucu Mesa,blue oak,2023-07-28,0,3,12.47,6,0.014057165154619062,71.13809854267869,12.463072435756422
2006,High,Cucu Mesa,blue oak,2023-07-28,0,1,15.63,7,0.01478309486899286,67.64483410692796,18.12677360014795
2006,High,Cucu Mesa,blue oak,2023-04-14,0,2,14.11,10,0.01273910966995953,78.49842146803472,29.743126970067372
2006,High,Cucu Mesa,blue oak,2023-05-12,0,2,21.48,10,0.01387140334475953,72.09075932304927,22.786803050947007
2006,NA,NA,NA,2023-09-29,0,1,298,12,0.024747745676552482,40.40772089182494,3.022989177737117
2006,NA,NA,NA,2023-09-29,0,3,27,12,0.01850833530852493,54.029710577990265,10.596925005626595
2006,NA,NA,NA,2023-07-28,0,2,208,11,0.024900016435654412,40.16061606160616,5.55043457194728
2006,NA,NA,NA,2023-04-14,0,1,14.3,9,0.013175965665236053,75.89576547231269,23.21702098657267
2006,NA,NA,NA,2023-05-12,0,3,15.86,9,0.014604933011409364,68.47001620745543,19.344790383895916
2006,NA,NA,NA,2023-04-14,0,3,10.22,8,0.01148017859558923,87.10665880966413,30.68921943086618
2006,NA,NA,NA,2023-05-12,0,1,22.97,11,0.014679875552644505,68.12046848856666,35.86141582526346
2006,NA,NA,NA,2023-09-29,0,2,59,12,0.018189763411211504,54.9759761791974,7.40469098181507
2006,NA,NA,NA,2023-07-28,0,3,12.47,6,0.014057165154619062,71.13809854267869,12.463072435756422
2006,NA,NA,NA,2023-07-28,0,1,15.63,7,0.01478309486899286,67.64483410692796,18.12677360014795
2006,NA,NA,NA,2023-04-14,0,2,14.11,10,0.01273910966995953,78.49842146803472,29.743126970067372
2006,NA,NA,NA,2023-05-12,0,2,21.48,10,0.01387140334475953,72.09075932304927,22.786803050947007
2007,High,Cucu Mesa,blue oak,2023-07-28,0,2,50.99,14,0.016534357661118226,60.480123902942694,12.729067852789171
2007,High,Cucu Mesa,blue oak,2023-07-28,0,1,230.48,19,0.02334798199024022,42.83025404157044,9.549208085870154
2007,High,Cucu Mesa,blue oak,2023-09-29,0,1,217,21,0.022962179834575644,43.54987232066858,8.802443914130857
