tag,site,plot,species,date,pd_md,water_potential_mpa,year
1478,Cucu Mesa,Low,blue oak,2023-09-29,pd,0.6,2023
1478,Cucu Mesa,Low,blue oak,2023-05-12,pd,0.15,2023
1478,Cucu Mesa,Low,blue oak,2023-07-28,md,2.612,2023
1478,Cucu Mesa,Low,blue oak,2023-07-28,md,2.201,2023
1478,Cucu Mesa,Low,blue oak,2023-07-28,pd,0.591,2023
1478,Cucu Mesa,Low,blue oak,2023-04-14,pd,0.859,2023
1478,Cucu Mesa,Low,blue oak,2023-07-28,pd,0.263,2023
1478,Cucu Mesa,Low,blue oak,2023-09-29,pd,0.55,2023
1478,Cucu Mesa,Low,blue oak,2023-04-14,pd,0.798,2023
1478,Cucu Mesa,Low,blue oak,2023-04-14,pd,0.789,2023
1478,Cucu Mesa,Low,blue oak,2023-09-29,pd,0.55,2023
1478,Cucu Mesa,Low,blue oak,2023-05-12,pd,0.35,2023
1478,Cucu Mesa,Low,blue oak,2023-05-12,pd,0.375,2023
1478,Cucu Mesa,Low,blue oak,2023-07-28,pd,0.691,2023
1478,Cucu Mesa,Low,blue oak,2023-07-28,md,2.801,2023
1478,Cucu Mesa,Low,blue oak,2023-09-29,pd,0.75,2023
1478,Cucu Mesa,Low,blue oak,2023-09-29,md,3,2023
1478,Cucu Mesa,Low,blue oak,2023-09-29,md,3.05,2023
1478,Cucu Mesa,Low,blue oak,2023-04-14,md,0.74,2023
1478,Cucu Mesa,Low,blue oak,2023-05-12,pd,0.9,2023
1478,Cucu Mesa,Low,blue oak,2023-04-14,md,0.77,2023
1478,Cucu Mesa,Low,blue oak,2023-09-29,md,3.05,2023
1478,Cucu Mesa,Low,blue oak,2023-04-14,md,0.76,2023
1478,Cucu Mesa,Low,blue oak,2023-05-12,pd,0.1,2023
2004,Cucu Mesa,High,blue oak,2023-05-12,md,2.1,2023
2004,Cucu Mesa,High,blue oak,2023-07-28,md,2.492,2023
2004,Cucu Mesa,High,blue oak,2023-09-29,pd,0.5,2023
2004,Cucu Mesa,High,blue oak,2023-05-12,md,1.72,2023
2004,Cucu Mesa,High,blue oak,2023-05-12,md,1.79,2023
2004,Cucu Mesa,High,blue oak,2023-09-29,md,3.5,2023
2004,Cucu Mesa,High,blue oak,2023-07-28,md,2.5,2023
2004,Cucu Mesa,High,blue oak,2023-04-14,md,0.715,2023
2004,Cucu Mesa,High,blue oak,2023-05-12,md,1.64,2023
2004,Cucu Mesa,High,blue oak,2023-09-29,pd,0.65,2023
2004,Cucu Mesa,High,blue oak,2023-09-29,md,3.9,2023
2004,Cucu Mesa,High,blue oak,2023-09-29,pd,0.55,2023
2004,Cucu Mesa,High,blue oak,2023-07-28,pd,0.638,2023
2004,Cucu Mesa,High,blue oak,2023-07-28,pd,0.811,2023
2004,Cucu Mesa,High,blue oak,2023-04-14,md,0.85,2023
2004,Cucu Mesa,High,blue oak,2023-09-29,md,4.04,2023
2004,Cucu Mesa,High,blue oak,2023-09-29,md,3.2,2023
2004,Cucu Mesa,High,blue oak,2023-09-29,md,4.4,2023
2004,Cucu Mesa,High,blue oak,2023-04-14,pd,0.426,2023
2004,Cucu Mesa,High,blue oak,2023-07-28,md,2.554,2023
2004,Cucu Mesa,High,blue oak,2023-04-14,pd,0.358,2023
2004,Cucu Mesa,High,blue oak,2023-04-14,pd,0.43,2023
2004,Cucu Mesa,High,blue oak,2023-04-14,md,0.716,2023
2004,Cucu Mesa,High,blue oak,2023-07-28,pd,1.633,2023
2004,Cucu Mesa,High,blue oak,2023-07-28,pd,1.34,2023
2005,Cucu Mesa,High,blue oak,2023-04-14,md,0.7,2023
2005,Cucu Mesa,High,blue oak,2023-05-12,md,1.58,2023
2005,Cucu Mesa,High,blue oak,2023-09-29,pd,0.5,2023
2005,Cucu Mesa,High,blue oak,2023-09-29,pd,0.4,2023
2005,Cucu Mesa,High,blue oak,2023-07-28,md,2.534,2023
2005,Cucu Mesa,High,blue oak,2023-04-14,pd,0.512,2023
2005,Cucu Mesa,High,blue oak,2023-05-12,pd,0.35,2023
2005,Cucu Mesa,High,blue oak,2023-05-12,pd,0.325,2023
2005,Cucu Mesa,High,blue oak,2023-04-14,md,0.775,2023
2005,Cucu Mesa,High,blue oak,2023-09-29,md,5.1,2023
2005,Cucu Mesa,High,blue oak,2023-09-29,pd,0.4,2023
2005,Cucu Mesa,High,blue oak,2023-05-12,md,1.65,2023
2005,Cucu Mesa,High,blue oak,2023-07-28,md,2.572,2023
2005,Cucu Mesa,High,blue oak,2023-07-28,pd,0.76,2023
2005,Cucu Mesa,High,blue oak,2023-04-14,pd,0.282,2023
2005,Cucu Mesa,High,blue oak,2023-05-12,md,1.61,2023
2005,Cucu Mesa,High,blue oak,2023-09-29,md,4.75,2023
2005,Cucu Mesa,High,blue oak,2023-09-29,pd,0.3,2023
2005,Cucu Mesa,High,blue oak,2023-05-12,md,1.8,2023
2005,Cucu Mesa,High,blue oak,2023-07-28,md,2.536,2023
2005,Cucu Mesa,High,blue oak,2023-07-28,md,2.692,2023
2005,Cucu Mesa,High,blue oak,2023-04-14,pd,0.552,2023
2005,Cucu Mesa,High,blue oak,2023-09-29,md,5.3,2023
2005,Cucu Mesa,High,blue oak,2023-04-14,pd,0.28,2023
2005,Cucu Mesa,High,blue oak,2023-04-14,pd,0.398,2023
2005,Cucu Mesa,High,blue oak,2023-04-14,md,0.725,2023
2005,Cucu Mesa,High,blue oak,2023-07-28,md,2.613,2023
2005,Cucu Mesa,High,blue oak,2023-04-14,pd,0.565,2023
2005,Cucu Mesa,High,blue oak,2023-07-28,pd,0.7,2023
2005,Cucu Mesa,High,blue oak,2023-05-12,pd,0.4,2023
2005,Cucu Mesa,High,blue oak,2023-07-28,md,2.572,2023
2005,Cucu Mesa,High,blue oak,2023-07-28,pd,0.6,2023
2006,Cucu Mesa,High,blue oak,2023-09-29,pd,0.55,2023
2006,Cucu Mesa,High,blue oak,2023-09-29,pd,0.6,2023
2006,Cucu Mesa,High,blue oak,2023-07-28,md,3.02,2023
2006,Cucu Mesa,High,blue oak,2023-07-28,md,2.682,2023
2006,Cucu Mesa,High,blue oak,2023-09-29,md,3.55,2023
2006,Cucu Mesa,High,blue oak,2023-05-12,pd,0.275,2023
2006,Cucu Mesa,High,blue oak,2023-09-29,md,3.4,2023
2006,Cucu Mesa,High,blue oak,2023-07-28,md,2.909,2023
2006,Cucu Mesa,High,blue oak,2023-05-12,pd,0.275,2023
2006,Cucu Mesa,High,blue oak,2023-09-29,md,3.55,2023
2006,Cucu Mesa,High,blue oak,2023-09-29,pd,0.55,2023
2006,Cucu Mesa,High,blue oak,2023-05-12,pd,0.25,2023
2006,Cucu Mesa,High,blue oak,2023-09-29,pd,0.45,2023
2006,Cucu Mesa,High,blue oak,2023-04-14,md,1.35,2023
2006,Cucu Mesa,High,blue oak,2023-04-14,pd,0.2,2023
2006,Cucu Mesa,High,blue oak,2023-09-29,pd,0.45,2023
2006,Cucu Mesa,High,blue oak,2023-04-14,md,1.25,2023
2006,Cucu Mesa,High,blue oak,2023-05-12,md,1.06,2023
2006,Cucu Mesa,High,blue oak,2023-04-14,md,1,2023
2006,Cucu Mesa,High,blue oak,2023-09-29,pd,0.7,2023
2006,Cucu Mesa,High,blue oak,2023-04-14,md,1,2023
2006,Cucu Mesa,High,blue oak,2023-04-14,pd,0.274,2023
2006,Cucu Mesa,High,blue oak,2023-05-12,md,1.03,2023
2006,Cucu Mesa,High,blue oak,2023-05-12,md,1.07,2023
2006,Cucu Mesa,High,blue oak,2023-05-12,md,1.2,2023
2006,Cucu Mesa,High,blue oak,2023-04-14,pd,0.223,2023
2006,Cucu Mesa,High,blue oak,2023-05-12,md,1.39,2023
2006,Cucu Mesa,High,blue oak,2023-04-14,pd,0.176,2023
2007,Cucu Mesa,High,blue oak,2023-09-29,md,3.85,2023
2007,Cucu Mesa,High,blue oak,2023-09-29,pd,0.4,2023
2007,Cucu Mesa,High,blue oak,2023-09-29,md,4.15,2023
2007,Cucu Mesa,High,blue oak,2023-09-29,pd,0.7,2023
2007,Cucu Mesa,High,blue oak,2023-09-29,md,4.15,2023
2007,Cucu Mesa,High,blue oak,2023-05-12,pd,0.41,2023
2007,Cucu Mesa,High,blue oak,2023-04-14,md,1.15,2023
2007,Cucu Mesa,High,blue oak,2023-07-28,md,1.8,2023
2007,Cucu Mesa,High,blue oak,2023-07-28,md,2.05,2023
2007,Cucu Mesa,High,blue oak,2023-05-12,pd,0.4,2023
2007,Cucu Mesa,High,blue oak,2023-09-29,pd,0.45,2023
2007,Cucu Mesa,High,blue oak,2023-05-12,md,2,2023
2007,Cucu Mesa,High,blue oak,2023-04-14,md,1.1,2023
2007,Cucu Mesa,High,blue oak,2023-05-12,md,1.81,2023
2007,Cucu Mesa,High,blue oak,2023-05-12,pd,0.375,2023
2007,Cucu Mesa,High,blue oak,2023-05-12,md,2.001,2023
2007,Cucu Mesa,High,blue oak,2023-07-28,md,2.05,2023
2007,Cucu Mesa,High,blue oak,2023-04-14,md,1.2,2023
2007,Cucu Mesa,High,blue oak,2023-07-28,md,1.8,2023
2007,Cucu Mesa,High,blue oak,2023-09-29,pd,0.35,2023
2007,Cucu Mesa,High,blue oak,2023-09-29,pd,0.65,2023
2008,Cucu Mesa,High,blue oak,2023-04-14,md,1.55,2023
2008,Cucu Mesa,High,blue oak,2023-04-14,md,1.35,2023
2008,Cucu Mesa,High,blue oak,2023-05-12,md,1.225,2023
2008,Cucu Mesa,High,blue oak,2023-05-12,md,1.25,2023
2008,Cucu Mesa,High,blue oak,2023-09-29,md,3.925,2023
2008,Cucu Mesa,High,blue oak,2023-05-12,md,1.275,2023
2008,Cucu Mesa,High,blue oak,2023-04-14,pd,0.258,2023
2008,Cucu Mesa,High,blue oak,2023-09-29,md,2.55,2023
2008,Cucu Mesa,High,blue oak,2023-09-29,md,4.65,2023
2008,Cucu Mesa,High,blue oak,2023-09-29,md,4.55,2023
2008,Cucu Mesa,High,blue oak,2023-09-29,pd,0.35,2023
2008,Cucu Mesa,High,blue oak,2023-09-29,pd,0.35,2023
2008,Cucu Mesa,High,blue oak,2023-09-29,pd,0.3,2023
2008,Cucu Mesa,High,blue oak,2023-04-14,pd,0.178,2023
2008,Cucu Mesa,High,blue oak,2023-04-14,md,1.4,2023
2008,Cucu Mesa,High,blue oak,2023-05-12,pd,0.31,2023
