"","tree","plot","site","species","week","time","mpa_mean","date_wp","lwc_mean_combined","mean_swc_per_dry_g_y0","mean_swc_g_y0","date_rwc","swc_dw_g_y0","swc_ww_g_y0","date_lfm","type","X.x","notes.x","lfm_wet_wt_y0_g","lfm_wet_per_dry_y0_g","lfm_dry_wt_y0_g","lfm_y0_percent","X.y","notes.y","lfm_wet_wt_y1_g","lfm_wet_per_dry_y1_g","lfm_dry_wt_y1_g","lfm_y1_percent","X","notes","lfm_wet_wt_both_g","lfm_wet_per_dry_both_g","lfm_dry_wt_both_g","lfm_both_percent","date_lfm_both","rwc_percent_y0"
"1",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.5714,2022-04-04,1.74375600384246,NA,NA,NA,NA,NA,"2022-04-04","leaf",306,NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1478,"Low","Cucu Mesa","blue oak",19,"md",2.535,2022-05-09,NA,1.11212055194809,0.2477,"2022-05-09",0.3418,0.3418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1478,"Low","Cucu Mesa","blue oak",15,"md",1.6904,2022-04-13,1.04427438938878,1.3074871404077,0.6863,"2022-04-14",1.2112,1.2112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.8688076628547
"4",1478,"Low","Cucu Mesa","blue oak",17,"md",2.221,2022-04-27,1.0197904540163,NA,NA,NA,NA,NA,"2022-04-27","leaf",810,NA,7.06,0.198641765704584,5.89,19.8641765704584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1478,"Low","Cucu Mesa","blue oak",14,"md",NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-04","leaf",359,NA,4.6368,1.73412347426145,1.6959,173.412347426145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1478,"Low","Cucu Mesa","blue oak",21,"pd",1.55266666666667,2022-05-25,0.846251790545917,NA,NA,NA,NA,NA,"2022-05-25","leaf",1283,NA,1.95,0.731793960923624,1.126,73.1793960923624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1478,"Low","Cucu Mesa","blue oak",19,"md",2.535,2022-05-09,NA,1.11212055194809,0.2477,"2022-05-09",0.602,0.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1478,"Low","Cucu Mesa","blue oak",21,"md",3.9875,2022-05-25,0.667808219178082,NA,NA,NA,NA,NA,"2022-05-25","leaf",1227,NA,1.2948,0.729859719438878,0.7485,72.9859719438878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1478,"Low","Cucu Mesa","blue oak",17,"pd",0.903,2022-04-27,1.0767414403778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1478,"Low","Cucu Mesa","blue oak",33,"md",4.13333333333333,2022-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1478,"Low","Cucu Mesa","blue oak",29,"md",4.13333333333333,2022-07-19,0.585769230769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2004,"High","Cucu Mesa","blue oak",14,"md",2.38333333333333,2022-04-04,0.794647749168171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2004,"High","Cucu Mesa","blue oak",14,"pd",0.38925,2022-04-04,1.01301729162619,NA,NA,NA,NA,NA,"2022-04-04","leaf",317,NA,7.4928,1.18124654304096,3.4351,118.124654304096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2004,"High","Cucu Mesa","blue oak",10,"pd",0.3335,2022-03-08,2.02494061085973,NA,NA,NA,NA,NA,"2022-03-08","leaf",78,NA,4.3365,2.29321081409478,1.3168,229.321081409478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2004,"High","Cucu Mesa","blue oak",17,"md",2.62066666666667,2022-04-27,0.889679715302491,NA,NA,NA,NA,NA,"2022-04-27","leaf",NA,NA,NA,NA,NA,NA,741,NA,8.6991,0.808619901035386,4.8098,80.8619901035386,NA,NA,NA,NA,NA,NA,NA,NA
"16",2004,"High","Cucu Mesa","blue oak",17,"pd",0.9345,2022-04-27,0.957777777777778,NA,NA,NA,NA,NA,"2022-04-27","leaf",738,"check",4.623,0.81010180109632,2.554,81.010180109632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2004,"High","Cucu Mesa","blue oak",15,"md",2.2,2022-04-13,0.804092300232572,0.984012348858943,0.4608,"2022-04-14",1.1885,1.1885,"2022-04-12","leaf",545,NA,4.0305,0.994408431886783,2.0209,99.4408431886783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.7156716747503
"18",2004,"High","Cucu Mesa","blue oak",15,"md",2.2,2022-04-13,0.804092300232572,0.984012348858943,0.4608,"2022-04-14",0.675,0.675,"2022-04-12","leaf",545,NA,4.0305,0.994408431886783,2.0209,99.4408431886783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.7156716747503
"19",2004,"High","Cucu Mesa","blue oak",10,"md",1.65333333333333,2022-03-08,1.78337099060783,NA,NA,NA,NA,NA,"2022-03-08","leaf",81,NA,13.011,1.69468146798111,4.8284,169.468146798111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2004,"High","Cucu Mesa","blue oak",21,"pd",1.81766666666667,2022-05-25,0.795422935895815,NA,NA,NA,NA,NA,"2022-05-25","leaf",1246,NA,3.23,0.77990852482504,1.8147,77.990852482504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2004,"High","Cucu Mesa","blue oak",21,"md",2.6858,2022-05-25,0.709677419354839,NA,NA,NA,NA,NA,"2022-05-25","leaf",1208,NA,1.9078,0.788674292143259,1.0666,78.8674292143259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2004,"High","Cucu Mesa","blue oak",10,"md",1.65333333333333,2022-03-08,1.78337099060783,NA,NA,NA,NA,NA,"2022-03-08","leaf",116,NA,8.5289,1.81342569684974,3.0315,181.342569684974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
