"","tree","plot","site","species","week","time","mpa","date_wp","rep","lwc_bulk","lwc_leaf","date_wc","lwc_mean","timing","mean_swc_per_dry_g","mean_swc_g","date_rwc","date_lfm","type","notes.x","lfm_wet_wt_y0_g","lfm_wet_per_dry_y0_g","lfm_dry_wt_y0_g","lfm_y0_percent","notes.y","lfm_wet_wt_y1_g","lfm_wet_per_dry_y1_g","lfm_dry_wt_y1_g","lfm_y1_percent","notes","lfm_wet_wt_both_g","lfm_wet_per_dry_both_g","lfm_dry_wt_both_g","lfm_both_percent","date_lfm_both","rwc_percent"
"1",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.878,2022-04-04,1,1.74375600384246,NA,2022-04-04,1.74375600384246,"early",NA,NA,NA,"2022-04-04","leaf",NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.29,2022-04-04,3,1.74375600384246,NA,2022-04-04,1.74375600384246,"early",NA,NA,NA,"2022-04-04","leaf",NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.768,2022-04-04,3,1.74375600384246,NA,2022-04-04,1.74375600384246,"early",NA,NA,NA,"2022-04-04","leaf",NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.519,2022-04-04,2,1.74375600384246,NA,2022-04-04,1.74375600384246,"early",NA,NA,NA,"2022-04-04","leaf",NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.768,2022-04-04,2,1.74375600384246,NA,2022-04-04,1.74375600384246,"early",NA,NA,NA,"2022-04-04","leaf",NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1478,"Low","Cucu Mesa","blue oak",14,"md",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-04","leaf",NA,4.6368,1.73412347426145,1.6959,173.412347426145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.402,2022-04-04,2,1.74375600384246,NA,2022-04-04,1.74375600384246,"early",NA,NA,NA,"2022-04-04","leaf",NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.878,2022-04-04,5,1.74375600384246,NA,2022-04-04,1.74375600384246,"early",NA,NA,NA,"2022-04-04","leaf",NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.878,2022-04-04,4,1.74375600384246,NA,2022-04-04,1.74375600384246,"early",NA,NA,NA,"2022-04-04","leaf",NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.519,2022-04-04,3,1.74375600384246,NA,2022-04-04,1.74375600384246,"early",NA,NA,NA,"2022-04-04","leaf",NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.29,2022-04-04,1,1.74375600384246,NA,2022-04-04,1.74375600384246,"early",NA,NA,NA,"2022-04-04","leaf",NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.29,2022-04-04,5,1.74375600384246,NA,2022-04-04,1.74375600384246,"early",NA,NA,NA,"2022-04-04","leaf",NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.878,2022-04-04,2,1.74375600384246,NA,2022-04-04,1.74375600384246,"early",NA,NA,NA,"2022-04-04","leaf",NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.29,2022-04-04,4,1.74375600384246,NA,2022-04-04,1.74375600384246,"early",NA,NA,NA,"2022-04-04","leaf",NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.768,2022-04-04,5,1.74375600384246,NA,2022-04-04,1.74375600384246,"early",NA,NA,NA,"2022-04-04","leaf",NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.878,2022-04-04,3,1.74375600384246,NA,2022-04-04,1.74375600384246,"early",NA,NA,NA,"2022-04-04","leaf",NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.768,2022-04-04,1,1.74375600384246,NA,2022-04-04,1.74375600384246,"early",NA,NA,NA,"2022-04-04","leaf",NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.402,2022-04-04,4,1.74375600384246,NA,2022-04-04,1.74375600384246,"early",NA,NA,NA,"2022-04-04","leaf",NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1478,"Low","Cucu Mesa","blue oak",15,"md",1.951,2022-04-13,1,1.10569763677566,1.03095238095238,2022-04-13,1.06832500886402,"late",0.872,0.0436,"2022-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.514335878901
"20",1478,"Low","Cucu Mesa","blue oak",15,"md",1.584,2022-04-13,4,1.10569763677566,0.944043321299639,2022-04-13,1.02487047903765,"late",0.872,0.0436,"2022-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.531018238263
"21",1478,"Low","Cucu Mesa","blue oak",15,"md",1.8,2022-04-13,5,1.10569763677566,0.965648854961832,2022-04-13,1.03567324586875,"late",0.872,0.0436,"2022-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.769867645498
"22",1478,"Low","Cucu Mesa","blue oak",15,"md",1.584,2022-04-13,5,1.10569763677566,0.965648854961832,2022-04-13,1.03567324586875,"late",0.872,0.0436,"2022-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.769867645498
"23",1478,"Low","Cucu Mesa","blue oak",15,"md",1.8,2022-04-13,2,1.10569763677566,0.96137339055794,2022-04-13,1.0335355136668,"late",0.872,0.0436,"2022-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.524714870046
"24",1478,"Low","Cucu Mesa","blue oak",15,"md",1.584,2022-04-13,1,1.10569763677566,1.03095238095238,2022-04-13,1.06832500886402,"late",0.872,0.0436,"2022-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.514335878901
"25",1478,"Low","Cucu Mesa","blue oak",15,"md",1.295,2022-04-13,3,1.10569763677566,1.01223776223776,2022-04-13,1.05896769950671,"late",0.872,0.0436,"2022-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.44124994343
"26",1478,"Low","Cucu Mesa","blue oak",15,"md",1.822,2022-04-13,5,1.10569763677566,0.965648854961832,2022-04-13,1.03567324586875,"late",0.872,0.0436,"2022-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.769867645498
"27",1478,"Low","Cucu Mesa","blue oak",15,"md",1.8,2022-04-13,1,1.10569763677566,1.03095238095238,2022-04-13,1.06832500886402,"late",0.872,0.0436,"2022-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.514335878901
"28",1478,"Low","Cucu Mesa","blue oak",15,"md",1.584,2022-04-13,2,1.10569763677566,0.96137339055794,2022-04-13,1.0335355136668,"late",0.872,0.0436,"2022-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.524714870046
"29",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.519,2022-04-04,4,1.74375600384246,NA,2022-04-04,1.74375600384246,"early",NA,NA,NA,"2022-04-04","leaf",NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1478,"Low","Cucu Mesa","blue oak",15,"md",1.8,2022-04-13,4,1.10569763677566,0.944043321299639,2022-04-13,1.02487047903765,"late",0.872,0.0436,"2022-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.531018238263
"31",1478,"Low","Cucu Mesa","blue oak",15,"md",1.951,2022-04-13,2,1.10569763677566,0.96137339055794,2022-04-13,1.0335355136668,"late",0.872,0.0436,"2022-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.524714870046
"32",1478,"Low","Cucu Mesa","blue oak",15,"md",1.8,2022-04-13,3,1.10569763677566,1.01223776223776,2022-04-13,1.05896769950671,"late",0.872,0.0436,"2022-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.44124994343
"33",1478,"Low","Cucu Mesa","blue oak",15,"md",1.951,2022-04-13,4,1.10569763677566,0.944043321299639,2022-04-13,1.02487047903765,"late",0.872,0.0436,"2022-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.531018238263
"34",1478,"Low","Cucu Mesa","blue oak",15,"md",1.951,2022-04-13,5,1.10569763677566,0.965648854961832,2022-04-13,1.03567324586875,"late",0.872,0.0436,"2022-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.769867645498
"35",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.402,2022-04-04,1,1.74375600384246,NA,2022-04-04,1.74375600384246,"early",NA,NA,NA,"2022-04-04","leaf",NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
