"","week","tree","time","plot","site","species","mpa_mean","lwc_mean","type","mean_swc_per_dry_g","mean_swc_g","lfm_y0_percent","lfm_y1_percent","lfm_both_percent","rwc_percent","lwm_g","ldm_g","area_cm2","lma_g_cm2","alas_cm2_per_mm2","leaf_count","sla_cm_g","lwa_g_cm2","date_wp"
"1",9,2301,"md","Hobbiton","LL","live oak",1.806,0.728326554353555,"both",NA,NA,NA,NA,80.987541020079,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"2",9,2301,"pd","Hobbiton","LL","live oak",0.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"3",9,2301,"md","Hobbiton","LL","live oak",1.806,0.728326554353555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"4",9,2301,"md","Hobbiton","LL","live oak",1.806,0.728326554353555,"both",NA,NA,NA,NA,90.0021368662856,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"5",9,2309,"md","Hobbiton","LL","blue oak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",9,2309,"pd","Hobbiton","LL","blue oak",1.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"7",9,2313,"md","Ridge","LL","blue oak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",9,2313,"pd","Ridge","LL","blue oak",1.2625,0.76075269601408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"9",9,2322,"pd","Ridge","LL","live oak",0.626666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
"10",9,2322,"md","Ridge","LL","live oak",NA,NA,"both",NA,NA,NA,NA,655.06373937677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",9,2322,"md","Ridge","LL","live oak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9,2331,"md","Ridge","LL","live oak",2.612,0.710632274283269,"both",NA,NA,NA,NA,71.4776718936453,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28
