"","tree_id","branch","species","year","week","...1","file","day","notes_leaf_area","more_notes_leaf_area","area_cm2","date_leaf_area","year_leaf_area","sub_branch","lwm_g","ldm_g","swm_g","sdm_g","l_cm","d_mm","length_new_cm","notes","date_alas","area_mm2","lma_g_cm2","d_cm","r_cm","area_stem_cm2","alas","sla_cm_g"
"1","1478",1,"B",0,14,4,"txt",4,NA,NA,32.537,2022-04-04,0,NA,0.817,0.275,0.245,0.07,6.03,1.0525,6.03,NA,2022-04-04,325.37,0.00845191627992747,0.10525,0.052625,0.00870029724242044,3739.7572856888,118.316363636364
"2","1478",1,"B",0,17,1,"txt",27,NA,NA,32.684,2022-04-27,0,NA,0.9488,0.4619,0.2391,0.1056,4.077,1.7675,4.077,NA,2022-04-27,326.84,0.0141322971484518,0.17675,0.088375,0.0245362804110032,1332.06824557413,70.759904741286
"3","1478",1,"B",0,29,7,"txt",19,NA,NA,34.708,2022-07-19,0,NA,1.001,0.578,0.278,0.156,3.84,1.9075,3.84,NA,2022-07-19,347.08,0.0166532211593869,0.19075,0.095375,0.0285771539616831,1214.5366206354,60.0484429065744
"4","1478",1,"B",0,37,737,"csv",12,NA,NA,18.128,2022-09-12,0,NA,0.4967,0.3015,0.121,0.0722,22.75,1.345,NA,"length in mm",2022-09-12,181.28,0.0166317299205649,0.1345,0.06725,0.0142080491254007,1275.89648937737,60.1260364842454
"5","1478",2,"B",0,14,5,"txt",4,NA,NA,28.114,2022-04-04,0,NA,0.73,0.249,0.111,0.033,2.65,0.9975,2.65,NA,2022-04-04,281.14,0.00885679732517607,0.09975,0.049875,0.00781476081318982,3597.55092600517,112.907630522088
"6","1478",2,"B",0,17,2,"txt",27,NA,NA,31.034,2022-04-27,0,NA,0.8644,0.4127,0.1551,0.0685,3.021,1.6425,3.021,NA,2022-04-27,310.34,0.0132983179738352,0.16425,0.082125,0.0211885207395216,1464.66100118609,75.1974800096923
"7","1478",2,"B",0,29,8,"txt",19,NA,NA,33.483,2022-07-19,0,NA,0.995,0.52,0.347,0.187,4.11,1.88,4.11,NA,2022-07-19,334.83,0.0155302690917779,0.188,0.094,0.0277591126871194,1206.19849695471,64.3903846153846
"8","1478",2,"B",0,37,738,"csv",12,NA,NA,32.528,2022-09-12,0,NA,0.8137,0.5128,0.1711,0.0994,25.98,1.305,NA,"length in mm",2022-09-12,325.28,0.0157648794884407,0.1305,0.06525,0.0133755270721994,2431.90416530265,63.4321372854914
"9","1478",3,"B",0,14,6,"txt",4,NA,NA,23.834,2022-04-04,0,NA,0.596,0.223,0.112,0.036,2.98,1.18,2.98,NA,2022-04-04,238.34,0.00935638163967441,0.118,0.059,0.0109358840271461,2179.43057377319,106.878923766816
"10","1478",3,"B",0,17,3,"txt",27,NA,NA,15.746,2022-04-27,0,NA,0.4498,0.2219,0.0455,0.0202,1.156,1.31,1.156,NA,2022-04-27,157.46,0.0140924679283628,0.131,0.0655,0.0134782178820636,1168.25533893129,70.9598918431726
