"","tree_id","branch","species","year","week","...6","file","day","notes_leaf_area","more_notes_leaf_area","area_cm2","date_leaf_area","year_leaf_area","sub_branch","lwm_g","ldm_g","swm_g","sdm_g","l_cm","d_mm","length_new_cm","notes","date_alas","area_mm2","lma_g_cm2","d_cm","r_mm","r_cm","area_stem_mm2","alas_cm2_per_mm2","sla_cm_g"
"1","1478","1","B",0,14,4,"txt",4,NA,NA,32.537,2022-04-04,0,NA,0.817,0.275,0.245,0.07,6.03,1.0525,6.03,NA,2022-04-04,325.37,0.00845191627992747,0.10525,1.0525,0.052625,3.48011889696818,9.34939321422199,118.316363636364
"2","1478","1","B",0,17,1,"txt",27,NA,NA,32.684,2022-04-27,0,NA,0.9488,0.4619,0.2391,0.1056,4.077,1.7675,4.077,NA,2022-04-27,326.84,0.0141322971484518,0.17675,1.7675,0.088375,9.81451216440128,3.33017061393533,70.759904741286
"3","1478","1","B",0,29,7,"txt",19,NA,NA,34.708,2022-07-19,0,NA,1.001,0.578,0.278,0.156,3.84,1.9075,3.84,NA,2022-07-19,347.08,0.0166532211593869,0.19075,1.9075,0.095375,11.4308615846732,3.03634155158849,60.0484429065744
"4","1478","1","B",0,37,737,"csv",12,NA,NA,18.128,2022-09-12,0,NA,0.4967,0.3015,0.121,0.0722,22.75,1.345,NA,"length in mm",2022-09-12,181.28,0.0166317299205649,0.1345,1.345,0.06725,5.68321965016028,3.18974122344343,60.1260364842454
"5","1478","2","B",0,14,5,"txt",4,NA,NA,28.114,2022-04-04,0,NA,0.73,0.249,0.111,0.033,2.65,0.9975,2.65,NA,2022-04-04,281.14,0.00885679732517607,0.09975,0.9975,0.049875,3.12590432527593,8.99387731501294,112.907630522088
"6","1478","2","B",0,17,2,"txt",27,NA,NA,31.034,2022-04-27,0,NA,0.8644,0.4127,0.1551,0.0685,3.021,1.6425,3.021,NA,2022-04-27,310.34,0.0132983179738352,0.16425,1.6425,0.082125,8.47540829580863,3.66165250296524,75.1974800096923
"7","1478","2","B",0,29,8,"txt",19,NA,NA,33.483,2022-07-19,0,NA,0.995,0.52,0.347,0.187,4.11,1.88,4.11,NA,2022-07-19,334.83,0.0155302690917779,0.188,1.88,0.094,11.1036450748478,3.01549624238679,64.3903846153846
"8","1478","2","B",0,37,738,"csv",12,NA,NA,32.528,2022-09-12,0,NA,0.8137,0.5128,0.1711,0.0994,25.98,1.305,NA,"length in mm",2022-09-12,325.28,0.0157648794884407,0.1305,1.305,0.06525,5.35021082887976,6.07976041325661,63.4321372854914
"9","1478","3","B",0,14,6,"txt",4,NA,NA,23.834,2022-04-04,0,NA,0.596,0.223,0.112,0.036,2.98,1.18,2.98,NA,2022-04-04,238.34,0.00935638163967441,0.118,1.18,0.059,4.37435361085843,5.44857643443297,106.878923766816
"10","1478","3","B",0,17,3,"txt",27,NA,NA,15.746,2022-04-27,0,NA,0.4498,0.2219,0.0455,0.0202,1.156,1.31,1.156,NA,2022-04-27,157.46,0.0140924679283628,0.131,1.31,0.0655,5.39128715282544,2.92063834732823,70.9598918431726
"11","1478","3","B",0,29,9,"txt",19,NA,NA,18.659,2022-07-19,0,NA,0.499,0.292,0.125,0.067,2.55,1.5925,2.55,NA,2022-07-19,186.59,0.0156492845275738,0.15925,1.5925,0.079625,7.96725568409048,2.3419607377807,63.9006849315069
"12","1478","3","B",0,37,739,"csv",12,NA,NA,43.333,2022-09-12,0,NA,1.2062,0.7299,0.3704,0.2113,57.89,1.96,NA,"length in mm",2022-09-12,433.33,0.0168439757228902,0.196,1.96,0.098,12.0687423380305,3.59051496720174,59.3684066310453
"13","2004","1","B",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205,0.065,0.035,0.01,1.47,NA,1.47,"Need to find areas!",2022-03-08,NA,NA,NA,NA,NA,NA,NA,NA
"14","2004","1","B",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.656,0.238,0.129,0.043,3.55,1.21,3.55,"Need to find areas!",2022-03-15,NA,NA,0.121,1.21,0.0605,4.59960580412082,NA,NA
"15","2004","1","B",0,14,13,"txt",4,NA,NA,36.481,2022-04-04,0,NA,1.157,0.585,0.325,0.143,5.25,1.5575,5.25,NA,2022-04-04,364.81,0.0160357446341931,0.15575,1.5575,0.077875,7.62089509403221,4.78697050016705,62.3606837606838
"16","2004","1","B",0,17,10,"txt",27,NA,NA,33.565,2022-04-27,0,NA,0.9937,0.5222,0.154,0.0755,2.858,1.4525,2.858,NA,2022-04-27,335.65,0.0155578727841502,0.14525,1.4525,0.072625,6.62799473586515,5.06412592912519,64.2761394101877
"17","2004","1","B",0,29,16,"txt",19,NA,NA,17.625,2022-07-19,0,NA,0.492,0.299,0.12,0.073,1.94,1.365,1.94,NA,2022-07-19,176.25,0.0169645390070922,0.1365,1.365,0.06825,5.85349397198484,3.01102214922476,58.9464882943144
"18","2004","1","B",0,37,740,"csv",12,NA,NA,13.311,2022-09-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.11,NA,NA,NA,NA,NA,NA,NA
"19","2004","1","L",0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3782,0.2387,0.223,0.1304,30.39,1.4125,NA,NA,2022-09-12,NA,NA,0.14125,1.4125,0.070625,6.26796821776376,NA,NA
