"","tree_id","branch","year","date","sub_branch","notes_leaf_area","area_cm2","species","lwm_g","ldm_g","swm_g","sdm_g","l_cm","d_mm","length_new_cm","notes","week","dry_scan","area_mm2","lma_g_cm2","d_cm","r_mm","r_cm","area_stem_mm2","alas_cm2_per_mm2","sla_cm_g"
"1","1478","1",0,2022-04-04,NA,NA,32.537,"B",0.817,0.275,0.245,0.07,6.03,1.0525,6.03,NA,14,NA,325.37,0.00845191627992747,0.10525,1.0525,0.052625,3.48011889696818,9.34939321422199,118.316363636364
"2","1478","1",0,2022-04-27,NA,NA,32.684,"B",0.9488,0.4619,0.2391,0.1056,4.077,1.7675,4.077,NA,17,NA,326.84,0.0141322971484518,0.17675,1.7675,0.088375,9.81451216440128,3.33017061393533,70.759904741286
"3","1478","1",0,2022-07-19,NA,NA,34.708,"B",1.001,0.578,0.278,0.156,3.84,1.9075,3.84,NA,29,NA,347.08,0.0166532211593869,0.19075,1.9075,0.095375,11.4308615846732,3.03634155158849,60.0484429065744
"4","1478","2",0,2022-04-04,NA,NA,28.114,"B",0.73,0.249,0.111,0.033,2.65,0.9975,2.65,NA,14,NA,281.14,0.00885679732517607,0.09975,0.9975,0.049875,3.12590432527593,8.99387731501294,112.907630522088
"5","1478","2",0,2022-04-27,NA,NA,31.034,"B",0.8644,0.4127,0.1551,0.0685,3.021,1.6425,3.021,NA,17,NA,310.34,0.0132983179738352,0.16425,1.6425,0.082125,8.47540829580863,3.66165250296524,75.1974800096923
"6","1478","2",0,2022-07-19,NA,NA,33.483,"B",0.995,0.52,0.347,0.187,4.11,1.88,4.11,NA,29,NA,334.83,0.0155302690917779,0.188,1.88,0.094,11.1036450748478,3.01549624238679,64.3903846153846
"7","1478","3",0,2022-04-04,NA,NA,23.834,"B",0.596,0.223,0.112,0.036,2.98,1.18,2.98,NA,14,NA,238.34,0.00935638163967441,0.118,1.18,0.059,4.37435361085843,5.44857643443297,106.878923766816
"8","1478","3",0,2022-04-27,NA,NA,15.746,"B",0.4498,0.2219,0.0455,0.0202,1.156,1.31,1.156,NA,17,NA,157.46,0.0140924679283628,0.131,1.31,0.0655,5.39128715282544,2.92063834732823,70.9598918431726
"9","1478","3",0,2022-07-19,NA,NA,18.659,"B",0.499,0.292,0.125,0.067,2.55,1.5925,2.55,NA,29,NA,186.59,0.0156492845275738,0.15925,1.5925,0.079625,7.96725568409048,2.3419607377807,63.9006849315069
"10","2004","1",0,2022-03-08,NA,NA,4.197,"B",0.205,0.065,0.035,0.01,1.47,NA,1.47,NA,10,NA,41.97,0.0154872527996188,NA,NA,NA,NA,NA,64.5692307692308
"11","2004","1",0,2022-03-15,NA,NA,13.82,"B",0.656,0.238,0.129,0.043,3.55,1.21,3.55,NA,11,NA,138.2,0.0172214182344428,0.121,1.21,0.0605,4.59960580412082,3.00460530500648,58.0672268907563
"12","2004","1",0,2022-04-04,NA,NA,36.481,"B",1.157,0.585,0.325,0.143,5.25,1.5575,5.25,NA,14,NA,364.81,0.0160357446341931,0.15575,1.5575,0.077875,7.62089509403221,4.78697050016705,62.3606837606838
"13","2004","1",0,2022-04-27,NA,NA,33.565,"B",0.9937,0.5222,0.154,0.0755,2.858,1.4525,2.858,NA,17,NA,335.65,0.0155578727841502,0.14525,1.4525,0.072625,6.62799473586515,5.06412592912519,64.2761394101877
"14","2004","1",0,2022-07-19,NA,NA,17.625,"B",0.492,0.299,0.12,0.073,1.94,1.365,1.94,NA,29,NA,176.25,0.0169645390070922,0.1365,1.365,0.06825,5.85349397198484,3.01102214922476,58.9464882943144
"15","2004","2",0,2022-03-08,NA,NA,4.886,"B",0.238,0.045,0.074,0.013,1.64,NA,1.64,NA,10,NA,48.86,0.00920998772001637,NA,NA,NA,NA,NA,108.577777777778
"16","2004","2",0,2022-03-15,NA,NA,10.301,"B",0.512,0.189,0.09,0.032,2.2,1.18,2.2,NA,11,NA,103.01,0.0183477332297835,0.118,1.18,0.059,4.37435361085843,2.35486220739675,54.5026455026455
"17","2004","2",0,2022-04-04,NA,NA,31.795,"B",0.958,0.502,0.184,0.082,3.34,1.2175,3.34,NA,14,NA,317.95,0.0157886460135241,0.12175,1.2175,0.060875,4.65680242537024,6.82764633233761,63.3366533864542
"18","2004","2",0,2022-04-27,NA,NA,13.381,"B",0.3466,0.1856,0.0519,0.0265,1.699,1.07,1.699,NA,17,NA,133.81,0.0138704132725506,0.107,1.07,0.0535,3.59680942909495,3.72024158181964,72.0959051724138
"19","2004","2",0,2022-07-19,NA,NA,11.508,"B",0.326,0.198,0.105,0.062,1.85,1.22,1.85,NA,29,NA,115.08,0.0172054223149114,0.122,1.22,0.061,4.67594650560305,2.46110599986769,58.1212121212121
"20","2004","3",0,2022-03-08,NA,NA,5.079,"B",0.274,0.083,0.056,0.016,2.21,NA,2.21,NA,10,NA,50.79,0.0163417995668439,NA,NA,NA,NA,NA,61.1927710843373
"21","2004","3",0,2022-03-15,NA,NA,12.916,"B",0.507,0.193,0.059,0.022,1.67,1.05,1.67,NA,11,NA,129.16,0.0149427067203469,0.105,1.05,0.0525,3.46360590058275,3.72906166888874,66.9222797927461
"22","2004","3",0,2022-04-04,NA,NA,19.457,"B",0.583,0.305,0.075,0.034,1.93,0.9925,1.93,NA,14,NA,194.57,0.0156755923318086,0.09925,0.9925,0.049625,3.09464547837271,6.28731146620106,63.7934426229508
"23","2004","3",0,2022-04-27,NA,NA,14.838,"B",0.3888,0.2117,0.0588,0.031,1.778,0.9775,1.778,NA,17,NA,148.38,0.0142674214853754,0.09775,0.9775,0.048875,3.00181141545913,4.94301538184087,70.0897496457251
"24","2004","3",0,2022-07-19,NA,NA,19.433,"B",0.495,0.324,0.118,0.078,1.84,1.2375,1.84,NA,29,NA,194.33,0.016672670200175,0.12375,1.2375,0.061875,4.81105462466149,4.03923910994199,59.9783950617284
"25","2004","4",0,2022-03-08,NA,NA,6.718,"B",0.349,0.112,0.094,0.023,2.78,NA,2.78,NA,10,NA,67.18,0.0166716284608514,NA,NA,NA,NA,NA,59.9821428571429
"26","2005","1",0,2022-03-08,NA,NA,12.12,"B",0.69,0.21,0.081,0.024,2.51,NA,2.51,NA,10,NA,121.2,0.0173267326732673,NA,NA,NA,NA,NA,57.7142857142857
"27","2005","1",0,2022-03-15,NA,NA,57.369,"B",1.97,0.819,0.194,0.074,2.93,1.495,2.93,NA,11,NA,573.69,0.0142760027192386,0.1495,1.495,0.07475,7.02153812058953,8.17043203564966,70.047619047619
"28","2005","1",0,2022-04-04,NA,NA,32.996,"B",0.971,0.463,0.109,0.048,2.29,1.0275,2.29,NA,14,NA,329.96,0.0140320038792581,0.10275,1.0275,0.051375,3.31675607898151,9.94827452313956,71.2656587473002
"29","2005","1",0,2022-04-27,NA,NA,39.518,"B",1.224,0.5742,0.1462,0.0706,2.47,1.4575,2.47,NA,17,NA,395.18,0.0145300875550382,0.14575,1.4575,0.072875,6.67370490897488,5.92144851158398,68.8227098571926
"30","2005","1",0,2022-07-19,NA,NA,62.886,"B",1.853,1.06,0.361,0.219,4.02,1.6625,4.02,NA,29,NA,628.86,0.0168558979741119,0.16625,1.6625,0.083125,8.68306757021091,7.24237137296312,59.3264150943396
"31","2005","2",0,2022-03-08,NA,NA,32.131,"B",1.385,0.435,0.144,0.042,2.85,NA,2.85,NA,10,NA,321.31,0.0135383274719119,NA,NA,NA,NA,NA,73.864367816092
"32","2005","2",0,2022-03-15,NA,NA,60.508,"B",2.143,0.893,0.275,0.104,4.21,1.6825,4.21,NA,11,NA,605.08,0.0147583790573147,0.16825,1.6825,0.084125,8.89324011873607,6.80381943950025,67.7581187010078
