"","week","time","tree","plot","site","species","water_potential","lwc_mean","lma_g_cm2","ldmc","alas_cm2_per_mm2","lwa_g_cm2","leaf_count","swc_per_dry_g_mean","rwc","date_wp","week_alas_link","time_season","lwc"
"1",37,"pd","1478","Low","Cucu Mesa","blue oak",-1.695,NA,0.0185251034069845,0.314906442477086,14.9940182344138,NA,7.25,1.01146826242183,NA,2022-09-15,37,"after leafout",NA
"2",21,"pd","1478","Low","Cucu Mesa","blue oak",-1.55266666666667,NA,NA,NA,NA,NA,NA,1.07857653235651,NA,2022-05-25,21,"after leafout",NA
"3",21,"md","1478","Low","Cucu Mesa","blue oak",-3.9875,NA,NA,NA,NA,NA,NA,1.07857653235651,NA,2022-05-25,21,"after leafout",NA
"4",37,"md","1478","Low","Cucu Mesa","blue oak",-4.073,NA,0.0185251034069845,0.314906442477086,14.9940182344138,NA,7.25,1.01146826242183,NA,2022-09-15,37,"after leafout",NA
"5",17,"pd","1478","Low","Cucu Mesa","blue oak",-0.903,NA,0.0138410276835499,NA,13.2166152856384,NA,6.66666666666667,NA,NA,2022-04-27,17,"before leafout",NA
"6",17,"md","1478","Low","Cucu Mesa","blue oak",-2.221,NA,0.0138410276835499,NA,13.2166152856384,NA,6.66666666666667,NA,NA,2022-04-27,17,"before leafout",NA
"7",19,"md","1478","Low","Cucu Mesa","blue oak",-2.535,NA,NA,NA,NA,NA,NA,1.31790014496703,NA,2022-05-09,21,"after leafout",NA
"8",14,"pd","1478","Low","Cucu Mesa","blue oak",-0.5714,1.74375600384246,0.00888836508159265,0.139434430688912,31.7224626182239,0.0154991399753709,9.33333333333333,1.49699631160156,119.390256458384,2022-04-04,14,"before leafout",1.74375600384246
"9",14,"pd","2004","High","Cucu Mesa","blue oak",-0.38925,1.01301729162619,0.0158333276598419,0.287290912650003,23.8692377316076,0.0160394347034031,13.3333333333333,1.16126217390521,88.7846112903846,2022-04-04,14,"before leafout",1.01301729162619
"10",37,"pd","2004","High","Cucu Mesa","blue oak",-1.6205,NA,0.017692534795037,0.311260850929912,11.8112333956437,NA,7.33333333333333,0.809927656517027,NA,2022-09-15,37,"after leafout",NA
"11",37,"md","2004","High","Cucu Mesa","blue oak",-3.59033333333333,NA,0.017692534795037,0.311260850929912,11.8112333956437,NA,7.33333333333333,0.809927656517027,NA,2022-09-15,37,"after leafout",NA
"12",21,"md","2004","High","Cucu Mesa","blue oak",-2.6858,NA,NA,NA,NA,NA,NA,0.809701474890775,NA,2022-05-25,21,"after leafout",NA
"13",21,"pd","2004","High","Cucu Mesa","blue oak",-1.81766666666667,NA,NA,NA,NA,NA,NA,0.809701474890775,NA,2022-05-25,21,"after leafout",NA
"14",14,"md","2004","High","Cucu Mesa","blue oak",-2.375,0.794647749168171,0.0158333276598419,0.287290912650003,23.8692377316076,0.0125819181867355,13.3333333333333,1.16126217390521,69.6458906534731,2022-04-04,14,"before leafout",0.794647749168171
"15",10,"md","2004","High","Cucu Mesa","blue oak",-1.65333333333333,NA,0.0123641126705988,0.0394096097418779,NA,NA,9.25,1.85855728429986,NA,2022-03-08,10,"before leafout",NA
"16",10,"pd","2004","High","Cucu Mesa","blue oak",-0.3335,NA,0.0123641126705988,0.0394096097418779,NA,NA,9.25,1.85855728429986,NA,2022-03-08,10,"before leafout",NA
"17",17,"pd","2004","High","Cucu Mesa","blue oak",-0.9345,NA,0.0145652358473587,NA,18.3031771903809,NA,10,NA,NA,2022-04-27,17,"before leafout",NA
"18",17,"md","2004","High","Cucu Mesa","blue oak",-2.62066666666667,NA,0.0145652358473587,NA,18.3031771903809,NA,10,NA,NA,2022-04-27,17,"before leafout",NA
"19",19,"md","2005","High","Cucu Mesa","blue oak",-2.49,NA,NA,NA,NA,NA,NA,0.944258534013841,NA,2022-05-09,21,"after leafout",NA
"20",14,"pd","2005","High","Cucu Mesa","blue oak",-0.4295,1.03670053795577,0.0145362507556816,0.309106039002911,40.3448087926184,0.0150697389782751,7.33333333333333,1.17853238468516,88.3369960378292,2022-04-04,14,"before leafout",1.03670053795577
"21",21,"pd","2005","High","Cucu Mesa","blue oak",-1.72933333333333,NA,NA,NA,NA,NA,NA,0.890300120348305,NA,2022-05-25,21,"after leafout",NA
"22",37,"md","2005","High","Cucu Mesa","blue oak",-3.5775,NA,0.0168551084861348,0.429971351237793,27.9499654169731,NA,7,0.911331867958517,NA,2022-09-15,37,"after leafout",NA
"23",37,"pd","2005","High","Cucu Mesa","blue oak",-1.687,NA,0.0168551084861348,0.429971351237793,27.9499654169731,NA,7,0.911331867958517,NA,2022-09-15,37,"after leafout",NA
"24",14,"md","2005","High","Cucu Mesa","blue oak",-2.125,0.8526937359215,0.0145362507556816,0.309106039002911,40.3448087926184,0.0123949699631539,7.33333333333333,1.17853238468516,72.6578220168658,2022-04-04,14,"before leafout",0.8526937359215
"25",21,"md","2005","High","Cucu Mesa","blue oak",-3,NA,NA,NA,NA,NA,NA,0.890300120348305,NA,2022-05-25,21,"after leafout",NA
"26",17,"md","2005","High","Cucu Mesa","blue oak",-2.733,NA,0.0148348978552018,NA,25.067819960403,NA,7,NA,NA,2022-04-27,17,"before leafout",NA
"27",10,"md","2005","High","Cucu Mesa","blue oak",-1.445,NA,0.0124050456536382,0.188031371515192,NA,NA,8,1.71111111111111,NA,2022-03-08,10,"before leafout",NA
"28",17,"pd","2005","High","Cucu Mesa","blue oak",-0.917666666666667,NA,0.0148348978552018,NA,25.067819960403,NA,7,NA,NA,2022-04-27,17,"before leafout",NA
"29",10,"pd","2005","High","Cucu Mesa","blue oak",-1.045,NA,0.0124050456536382,0.188031371515192,NA,NA,8,1.71111111111111,NA,2022-03-08,10,"before leafout",NA
"30",21,"pd","2006","High","Cucu Mesa","blue oak",-1.767,NA,NA,NA,NA,NA,NA,0.934600316058135,NA,2022-05-25,21,"after leafout",NA
"31",37,"pd","2006","High","Cucu Mesa","blue oak",-1.90766666666667,NA,0.0154519759790181,0.117537477970169,7.18375934289041,NA,2.33333333333333,0.955188365192885,NA,2022-09-15,37,"after leafout",NA
"32",37,"md","2006","High","Cucu Mesa","blue oak",-2.566,NA,0.0154519759790181,0.117537477970169,7.18375934289041,NA,2.33333333333333,0.955188365192885,NA,2022-09-15,37,"after leafout",NA
"33",21,"md","2006","High","Cucu Mesa","blue oak",-3.19933333333333,NA,NA,NA,NA,NA,NA,0.934600316058135,NA,2022-05-25,21,"after leafout",NA
"34",19,"md","2006","High","Cucu Mesa","blue oak",-2.36066666666667,NA,NA,NA,NA,NA,NA,1.14025041389594,NA,2022-05-09,21,"after leafout",NA
"35",17,"md","2006","High","Cucu Mesa","blue oak",-2.717,NA,0.0148001818300574,NA,19.3949739362111,NA,8.33333333333333,NA,NA,2022-04-27,17,"before leafout",NA
"36",10,"md","2006","High","Cucu Mesa","blue oak",-1.40666666666667,NA,0.0139128160469802,NA,NA,NA,7.25,NA,NA,2022-03-08,10,"before leafout",NA
"37",14,"md","2006","High","Cucu Mesa","blue oak",-2.15,0.818537386246364,NA,NA,NA,NA,7,NA,NA,2022-04-04,14,"before leafout",0.818537386246364
"38",14,"pd","2006","High","Cucu Mesa","blue oak",-0.540666666666667,0.956377604714797,NA,NA,NA,NA,7,NA,NA,2022-04-04,14,"before leafout",0.956377604714797
"39",10,"pd","2006","High","Cucu Mesa","blue oak",-0.9475,NA,0.0139128160469802,NA,NA,NA,7.25,NA,NA,2022-03-08,10,"before leafout",NA
"40",17,"pd","2006","High","Cucu Mesa","blue oak",-0.991333333333333,NA,0.0148001818300574,NA,19.3949739362111,NA,8.33333333333333,NA,NA,2022-04-27,17,"before leafout",NA
"41",17,"pd","2007","High","Cucu Mesa","blue oak",-0.989,NA,0.0134836511858652,NA,29.5832661662737,NA,7.33333333333333,NA,NA,2022-04-27,17,"before leafout",NA
"42",21,"pd","2007","High","Cucu Mesa","blue oak",-1.67233333333333,NA,NA,NA,NA,NA,NA,0.925565097029717,NA,2022-05-25,21,"after leafout",NA
"43",19,"md","2007","High","Cucu Mesa","blue oak",-2.23766666666667,NA,NA,NA,NA,NA,NA,0.982906396590061,NA,2022-05-09,21,"after leafout",NA
"44",37,"pd","2007","High","Cucu Mesa","blue oak",-1.29416666666667,NA,0.0182145063285762,0.475044417047786,46.3834299587238,NA,4.33333333333333,0.966429048959675,NA,2022-09-15,37,"after leafout",NA
"45",21,"md","2007","High","Cucu Mesa","blue oak",-3.4,NA,NA,NA,NA,NA,NA,0.925565097029717,NA,2022-05-25,21,"after leafout",NA
"46",14,"pd","2007","High","Cucu Mesa","blue oak",-0.36675,0.871411718442784,0.0149724590050347,0.238167720653709,35.3615377733423,0.0130471762308914,8.33333333333333,1.13590707047161,77.3856035712397,2022-04-04,14,"before leafout",0.871411718442784
"47",37,"md","2007","High","Cucu Mesa","blue oak",-3.4215,NA,0.0182145063285762,0.475044417047786,46.3834299587238,NA,4.33333333333333,0.966429048959675,NA,2022-09-15,37,"after leafout",NA
"48",17,"md","2007","High","Cucu Mesa","blue oak",-2.42633333333333,NA,0.0134836511858652,NA,29.5832661662737,NA,7.33333333333333,NA,NA,2022-04-27,17,"before leafout",NA
"49",10,"md","2007","High","Cucu Mesa","blue oak",-1.77,NA,NA,NA,NA,NA,NA,1.29079754601227,NA,2022-03-08,10,"before leafout",NA
"50",10,"pd","2007","High","Cucu Mesa","blue oak",-0.815,NA,NA,NA,NA,NA,NA,1.29079754601227,NA,2022-03-08,10,"before leafout",NA
"51",14,"md","2007","High","Cucu Mesa","blue oak",-2.1,0.77519292537438,0.0149724590050347,0.238167720653709,35.3615377733423,0.0116065442961608,8.33333333333333,1.13590707047161,68.8409062497478,2022-04-04,14,"before leafout",0.77519292537438
"52",14,"md","2008","High","Cucu Mesa","blue oak",-1.88333333333333,0.809241286132183,0.0149467229167192,NA,46.0639591433862,0.0120955052765872,6.33333333333333,NA,NA,2022-04-04,14,"before leafout",0.809241286132183
"53",21,"pd","2008","High","Cucu Mesa","blue oak",-1.736,NA,NA,NA,NA,NA,NA,0.951937370953152,NA,2022-05-25,21,"after leafout",NA
"54",21,"md","2008","High","Cucu Mesa","blue oak",-3.3,NA,NA,NA,NA,NA,NA,0.951937370953152,NA,2022-05-25,21,"after leafout",NA
"55",14,"pd","2008","High","Cucu Mesa","blue oak",-0.6765,0.933194154488518,0.0149467229167192,NA,46.0639591433862,0.0139481944546419,6.33333333333333,NA,NA,2022-04-04,14,"before leafout",0.933194154488518
"56",21,"pd","2009","Hobbiton","LL","blue oak",-1.789,NA,0.0138864768252326,0.199024931950007,19.787608124255,NA,5,1.09705301270665,NA,2022-05-23,21,"after leafout",NA
"57",12,"md","2009","Hobbiton","LL","blue oak",-2.0625,NA,0.00925344300034789,0.10483769428196,30.8908937408281,NA,5.66666666666667,1.61823779455696,NA,2022-03-23,13,"before leafout",NA
"58",12,"pd","2009","Hobbiton","LL","blue oak",-1.26666666666667,1.31397849462366,0.00925344300034789,0.10483769428196,30.8908937408281,0.012158825103683,5.66666666666667,1.61823779455696,86.7009377077269,2022-03-23,13,"before leafout",1.31397849462366
"59",14,"md","2009","Hobbiton","LL","blue oak",-2.95,NA,0.00925344300034789,0.10483769428196,NA,NA,5.66666666666667,1.3267134017745,NA,2022-04-06,14,"before leafout",NA
"60",12,"md","2009","Hobbiton","LL","blue oak",-2.0625,NA,0.00925344300034789,0.10483769428196,30.8908937408281,NA,5.66666666666667,1.61823779455696,NA,2022-03-25,13,"before leafout",NA
"61",12,"pd","2009","Hobbiton","LL","blue oak",-1.26666666666667,1.31397849462366,0.00925344300034789,0.10483769428196,30.8908937408281,0.012158825103683,5.66666666666667,1.61823779455696,86.7009377077269,2022-03-25,13,"before leafout",1.31397849462366
"62",14,"pd","2009","Hobbiton","LL","blue oak",-1.12333333333333,NA,0.00925344300034789,0.10483769428196,30.8908937408281,NA,5.66666666666667,1.61823779455696,NA,2022-03-30,13,"before leafout",NA
"63",21,"md","2009","Hobbiton","LL","blue oak",-3.276,NA,0.0138864768252326,0.199024931950007,19.787608124255,NA,5,1.09705301270665,NA,2022-05-23,21,"after leafout",NA
"64",33,"pd","2009","Hobbiton","LL","blue oak",-2.851,NA,0.0129478622743299,0.413290618669584,19.2434436521881,NA,7,0.734707730266689,NA,2022-08-18,37,"after leafout",NA
"65",33,"pd","2009","Hobbiton","LL","blue oak",-2.851,NA,0.0129478622743299,0.413290618669584,19.2434436521881,NA,13,0.734707730266689,NA,2022-08-18,37,"after leafout",NA
"66",33,"md","2009","Hobbiton","LL","blue oak",-4.0635,NA,0.0129478622743299,0.413290618669584,19.2434436521881,NA,13,0.734707730266689,NA,2022-08-18,37,"after leafout",NA
"67",37,"pd","2009","Hobbiton","LL","blue oak",-1.60833333333333,NA,0.0129478622743299,0.413290618669584,19.2434436521881,NA,13,0.734707730266689,NA,2022-09-15,37,"after leafout",NA
"68",33,"md","2009","Hobbiton","LL","blue oak",-4.0635,NA,0.0129478622743299,0.413290618669584,19.2434436521881,NA,7,0.734707730266689,NA,2022-08-18,37,"after leafout",NA
"69",19,"pd","2009","Hobbiton","LL","blue oak",-1.66266666666667,NA,0.0138864768252326,NA,19.787608124255,NA,5,NA,NA,2022-05-09,21,"after leafout",NA
"70",19,"md","2009","Hobbiton","LL","blue oak",-2.83966666666667,NA,0.0138864768252326,NA,19.787608124255,NA,5,NA,NA,2022-05-09,21,"after leafout",NA
"71",37,"pd","2009","Hobbiton","LL","blue oak",-1.60833333333333,NA,0.0129478622743299,0.413290618669584,19.2434436521881,NA,7,0.734707730266689,NA,2022-09-15,37,"after leafout",NA
"72",17,"pd","2009","Hobbiton","LL","blue oak",-1.276,NA,0.0152530937453474,NA,25.8015560730372,NA,6.66666666666667,NA,NA,2022-04-25,17,"before leafout",NA
"73",17,"md","2009","Hobbiton","LL","blue oak",-3.03333333333333,NA,0.0152530937453474,NA,25.8015560730372,NA,6.66666666666667,NA,NA,2022-04-25,17,"before leafout",NA
"74",33,"pd","2010","Weathertop","LL","blue oak",-3.06166666666667,NA,0.0136868180021149,0.229712389382259,7.32949608718759,NA,4,0.976547831233521,NA,2022-08-18,37,"after leafout",NA
"75",21,"md","2010","Weathertop","LL","blue oak",-3.56833333333333,NA,0.0148716760802981,0.34436528817301,16.8182742498396,NA,7.33333333333333,1.07260850401556,NA,2022-05-23,21,"after leafout",NA
