"","week","time","n_lwa","n_lwc"
"1",10,"measured both",8,19
"2",10,"md",20,29
"3",10,"pd",19,27
"4",12,"measured both",6,7
"5",12,"md",20,23
"6",12,"pd",25,28
"7",14,"measured both",23,26
"8",14,"md",71,74
"9",14,"pd",100,106
"10",15,"measured both",14,15
"11",15,"md",97,101
"12",15,"pd",52,54
"13",17,"measured both",30,32
"14",17,"md",34,36
"15",17,"pd",34,36
"16",19,"measured both",18,20
"17",19,"md",72,74
"18",19,"pd",34,37
"19",21,"measured both",25,29
"20",21,"md",84,87
"21",21,"pd",94,112
"22",29,"measured both",30,30
"23",29,"md",52,54
"24",29,"pd",51,51
"25",33,"measured both",13,13
"26",33,"md",33,33
"27",33,"pd",36,36
"28",37,"measured both",23,27
"29",37,"md",89,89
"30",37,"pd",75,81
