tree,site,plot,species,week,date_md,md_sd.mpa,md_mpa,date_pd,pd_sd.mpa,pd_mpa,longitude,latitude,name,description,e_drop,lat_utm,lon_utm,time
1478,Cucu Mesa,Low,blue oak,15,2022-04-13,0.2382549055108835,1.6904000000000001,NA,NA,NA,-120.050047092479,34.6963011819028,B1478,NA,NA,-368902.2246962595,-4582.804197207942,early
1478,Cucu Mesa,Low,blue oak,17,2022-04-27,0.2095232683975695,2.221,2022-04-27,0.027404379212089467,0.903,-120.050047092479,34.6963011819028,B1478,NA,1.318,-368902.2246962595,-4582.804197207942,NA
1478,Cucu Mesa,Low,blue oak,19,2022-05-09,0.03176790833529978,2.535,NA,NA,NA,-120.050047092479,34.6963011819028,B1478,NA,NA,-368902.2246962595,-4582.804197207942,late
1478,Cucu Mesa,Low,blue oak,21,2022-05-25,0.35127319445533717,3.9875,2022-05-25,0.09516862227996517,1.5526666666666666,-120.050047092479,34.6963011819028,B1478,NA,2.434833333333333,-368902.2246962595,-4582.804197207942,late
1478,Cucu Mesa,Low,blue oak,29,2022-07-19,0.1527525231651946,4.133333333333333,NA,NA,NA,-120.050047092479,34.6963011819028,B1478,NA,NA,-368902.2246962595,-4582.804197207942,late
1478,Cucu Mesa,Low,blue oak,37,2022-09-15,0.2734872026256441,4.073,2022-09-15,0.03067246322028933,1.695,-120.050047092479,34.6963011819028,B1478,NA,2.378,-368902.2246962595,-4582.804197207942,late
1478,Cucu Mesa,Low,blue oak,NA,NA,NA,NA,NA,NA,NA,-120.050047092479,34.6963011819028,B1478,NA,NA,-368902.2246962595,-4582.804197207942,NA
2004,Cucu Mesa,High,blue oak,10,2022-03-08,0.12220201853215572,1.6533333333333333,2022-03-08,0.14347705972268415,0.3335,-120.049956242087,34.6974432545576,B2004,NA,1.3198333333333334,-368775.4580073762,-4574.418244355135,early
2004,Cucu Mesa,High,blue oak,14,2022-04-04,0.027386127875258206,2.375,2022-04-04,0.07140043926526453,0.38925,-120.049956242087,34.6974432545576,B2004,NA,1.98575,-368775.4580073762,-4574.418244355135,early
2004,Cucu Mesa,High,blue oak,15,2022-04-13,0,2.2,NA,NA,NA,-120.049956242087,34.6974432545576,B2004,NA,NA,-368775.4580073762,-4574.418244355135,early
