tree,site,plot,species.x,week,md_mpa,md_lwc,pd_mpa,pd_lwc,longitude,latitude,name,description,species.y,e_drop,lat_utm,lon_utm,time
1478,Cucu Mesa,Low,blue oak,15,1.6904,1.04427438938879,NA,NA,-120.050047092479,34.6963011819028,B1478,NA,B,NA,-368902.2246962595,-4582.804197207942,early
1478,Cucu Mesa,Low,blue oak,17,2.221,1.0197904540163,0.903,1.0767414403778,-120.050047092479,34.6963011819028,B1478,NA,B,1.318,-368902.2246962595,-4582.804197207942,NA
1478,Cucu Mesa,Low,blue oak,19,2.535,NA,NA,NA,-120.050047092479,34.6963011819028,B1478,NA,B,NA,-368902.2246962595,-4582.804197207942,late
1478,Cucu Mesa,Low,blue oak,21,3.9875,0.667808219178082,1.55266666666667,0.846251790545917,-120.050047092479,34.6963011819028,B1478,NA,B,2.43483333333333,-368902.2246962595,-4582.804197207942,late
1478,Cucu Mesa,Low,blue oak,29,4.13333333333333,0.585769230769231,NA,NA,-120.050047092479,34.6963011819028,B1478,NA,B,NA,-368902.2246962595,-4582.804197207942,late
1478,Cucu Mesa,Low,blue oak,37,4.073,0.61517094017094,1.695,0.725960702486524,-120.050047092479,34.6963011819028,B1478,NA,B,2.378,-368902.2246962595,-4582.804197207942,late
2004,Cucu Mesa,High,blue oak,10,1.65333333333333,1.78337099060783,0.3335,2.02494061085973,-120.049956242087,34.6974432545576,B2004,NA,B,1.3198333333333299,-368775.4580073762,-4574.418244355135,early
2004,Cucu Mesa,High,blue oak,14,2.38333333333333,0.794647749168171,0.38925,1.01301729162619,-120.049956242087,34.6974432545576,B2004,NA,B,1.99408333333333,-368775.4580073762,-4574.418244355135,early
2004,Cucu Mesa,High,blue oak,15,2.2,0.822410202966214,NA,NA,-120.049956242087,34.6974432545576,B2004,NA,B,NA,-368775.4580073762,-4574.418244355135,early
2004,Cucu Mesa,High,blue oak,17,2.62066666666667,0.889679715302491,0.9345,0.957777777777778,-120.049956242087,34.6974432545576,B2004,NA,B,1.68616666666667,-368775.4580073762,-4574.418244355135,NA
2004,Cucu Mesa,High,blue oak,21,2.6858,0.709677419354839,1.81766666666667,0.795422935895815,-120.049956242087,34.6974432545576,B2004,NA,B,0.8681333333333299,-368775.4580073762,-4574.418244355135,late
2004,Cucu Mesa,High,blue oak,37,3.59033333333333,0.575609756097561,1.6205,0.708538614313438,-120.049956242087,34.6974432545576,B2004,NA,B,1.96983333333333,-368775.4580073762,-4574.418244355135,late
2005,Cucu Mesa,High,blue oak,10,1.46666666666667,1.62323826973427,1.045,2.06130156027669,-120.050261041168,34.697473527913,B2005,NA,B,0.42166666666666996,-368772.08288518386,-4602.326455509227,early
2005,Cucu Mesa,High,blue oak,14,2.13333333333333,0.8526937359215,0.4295,1.03670053795577,-120.050261041168,34.697473527913,B2005,NA,B,1.7038333333333302,-368772.08288518386,-4602.326455509227,early
2005,Cucu Mesa,High,blue oak,15,1.61666666666667,0.920980879746515,NA,NA,-120.050261041168,34.697473527913,B2005,NA,B,NA,-368772.08288518386,-4602.326455509227,early
2005,Cucu Mesa,High,blue oak,17,2.733,0.915650406504065,0.917666666666667,1.00491883915396,-120.050261041168,34.697473527913,B2005,NA,B,1.8153333333333332,-368772.08288518386,-4602.326455509227,NA
2005,Cucu Mesa,High,blue oak,19,2.49,0.861052288646359,NA,NA,-120.050261041168,34.697473527913,B2005,NA,B,NA,-368772.08288518386,-4602.326455509227,late
2005,Cucu Mesa,High,blue oak,21,3,0.755717255717256,1.72933333333333,0.896278003175163,-120.050261041168,34.697473527913,B2005,NA,B,1.27066666666667,-368772.08288518386,-4602.326455509227,late
2005,Cucu Mesa,High,blue oak,29,4.33333333333333,0.634094616639478,NA,NA,-120.050261041168,34.697473527913,B2005,NA,B,NA,-368772.08288518386,-4602.326455509227,late
