"","tree","species","time","date_shift","date_wp","cwc","lwc_mean","lma_g_cm2","lwa_g_cm2","water_potential"
"1","1478","blue oak",NA,2022-02-24,NA,0.0621052,NA,NA,NA,NA
"2","1478","blue oak",NA,2022-02-28,NA,0.0761291,NA,NA,NA,NA
"3","1478","blue oak",NA,2022-05-17,NA,0.0453818,NA,NA,NA,NA
"4","1478","blue oak","md",2022-09-14,2022-09-15,0.0806744,0.61517094017094,0.0185251034069845,0.0113961052796385,-4.073
"5","1478","blue oak","pd",2022-09-14,2022-09-15,0.0806744,0.725960702486524,0.0185251034069845,0.01344849708297,-1.695
"6","1478","blue oak",NA,2022-03-08,NA,0.0830266,NA,NA,NA,NA
"7","1478","blue oak",NA,2022-03-16,NA,0.0404697,NA,NA,NA,NA
"8","1478","blue oak",NA,2022-03-22,NA,0.0915636,NA,NA,NA,NA
"9","1478","blue oak","pd",2022-04-05,2022-04-04,0.098124,1.74375600384246,0.00888836508159265,0.0154991399753709,-0.5714
"10","1478","blue oak","md",2022-04-12,2022-04-13,0.0633957,1.04427438938878,0.00888836508159265,0.00928189201824476,-1.6904
"11","1478","blue oak","md",2022-04-29,2022-04-27,0.0918326,1.0197904540163,0.0138410276835499,0.0141149479054596,-2.221
"12","1478","blue oak","pd",2022-04-29,2022-04-27,0.0918326,1.0767414403778,0.0138410276835499,0.0149032080842946,-0.903
"13","1478","blue oak",NA,2022-05-03,NA,0.097505,NA,NA,NA,NA
"14","1478","blue oak","md",2022-05-11,2022-05-09,0.0505631,0.834794738939816,NA,NA,-2.535
"15","1478","blue oak","md",NA,2022-07-19,NA,0.585769230769231,0.0159442582595795,0.00933965589589986,-4.13333333333333
"16","1478","blue oak",NA,2022-04-20,NA,0.082307,NA,NA,NA,NA
"17","1478","blue oak","md",NA,2022-05-25,NA,0.667808219178082,NA,NA,-3.9875
"18","1478","blue oak","pd",NA,2022-05-25,NA,0.846251790545917,NA,NA,-1.55266666666667
"19","2004","blue oak",NA,2022-02-24,NA,0.0588379,NA,NA,NA,NA
"20","2004","blue oak",NA,2022-02-28,NA,0.0723524,NA,NA,NA,NA
"21","2004","blue oak",NA,2022-05-17,NA,0.0444557,NA,NA,NA,NA
"22","2004","blue oak","pd",2022-09-14,2022-09-15,0.0171421,0.708538614313438,0.017692534795037,0.0125358440873678,-1.6205
"23","2004","blue oak","md",2022-09-14,2022-09-15,0.0171421,0.575609756097561,0.017692534795037,0.0101839956381188,-3.59033333333333
"24","2004","blue oak","md",2022-03-08,2022-03-08,0.107627,1.78337099060783,0.0123641126705988,0.0220497998613526,-1.65333333333333
"25","2004","blue oak","pd",2022-03-08,2022-03-08,0.107627,2.02494061085973,0.0123641126705988,0.0250365938639408,-0.3335
"26","2004","blue oak",NA,2022-03-16,NA,0.0679247,NA,NA,NA,NA
"27","2004","blue oak",NA,2022-03-22,NA,0.0981092,NA,NA,NA,NA
"28","2004","blue oak","md",2022-04-05,2022-04-04,0.0277383,0.794647749168171,0.0158333276598419,0.0125819181867355,-2.375
"29","2004","blue oak","pd",2022-04-05,2022-04-04,0.0277383,1.01301729162619,0.0158333276598419,0.0160394347034031,-0.38925
"30","2004","blue oak","md",2022-04-12,2022-04-13,0.0645346,0.822410202966214,0.0158333276598419,0.0130214902143612,-2.2
"31","2004","blue oak","pd",2022-04-29,2022-04-27,0.0426235,0.957777777777778,0.0145652358473587,0.0139502592226925,-0.9345
"32","2004","blue oak","md",2022-04-29,2022-04-27,0.0426235,0.889679715302491,0.0145652358473587,0.0129583948819918,-2.62066666666667
"33","2004","blue oak",NA,2022-05-03,NA,0.039369,NA,NA,NA,NA
"34","2004","blue oak",NA,2022-05-11,NA,0.0462396,NA,NA,NA,NA
"35","2004","blue oak","pd",NA,2022-07-19,NA,0.57945945945946,0.0169475438407262,0.0098204145931127,-2.138
"36","2004","blue oak",NA,2022-04-20,NA,0.073855,NA,NA,NA,NA
"37","2004","blue oak","pd",NA,2022-05-25,NA,0.795422935895815,NA,NA,-1.81766666666667
"38","2004","blue oak","md",NA,2022-05-25,NA,0.709677419354839,NA,NA,-2.6858
"39","2005","blue oak",NA,2022-02-24,NA,0.018171,NA,NA,NA,NA
"40","2005","blue oak",NA,2022-02-28,NA,0.0302805,NA,NA,NA,NA
"41","2005","blue oak",NA,2022-05-17,NA,0.0058641,NA,NA,NA,NA
"42","2005","blue oak","md",2022-09-14,2022-09-15,0,0.639264203158066,0.0168551084861348,0.0107748674955317,-3.5775
"43","2005","blue oak","pd",2022-09-14,2022-09-15,0,0.823221892345424,0.0168551084861348,0.0138754943036433,-1.687
"44","2005","blue oak","pd",2022-03-08,2022-03-08,0.056627,2.06130156027669,0.0124050456536382,0.0255705399611479,-1.045
"45","2005","blue oak","md",2022-03-08,2022-03-08,0.056627,1.62323826973427,0.0124050456536382,0.0201363448427862,-1.445
"46","2005","blue oak",NA,2022-03-16,NA,0.0307795,NA,NA,NA,NA
"47","2005","blue oak",NA,2022-03-22,NA,0.0504955,NA,NA,NA,NA
"48","2005","blue oak","md",2022-04-05,2022-04-04,0.0666067,0.8526937359215,0.0145362507556816,0.0123949699631539,-2.125
"49","2005","blue oak","pd",2022-04-05,2022-04-04,0.0666067,1.03670053795577,0.0145362507556816,0.0150697389782751,-0.4295
"50","2005","blue oak","md",2022-04-12,2022-04-13,0.02661,0.920980879746515,0.0145362507556816,0.0133876090091836,-1.61666666666667
"51","2005","blue oak","md",2022-04-29,2022-04-27,0.0551155,0.915650406504065,0.0148348978552018,0.0135835802515618,-2.733
"52","2005","blue oak","pd",2022-04-29,2022-04-27,0.0551155,1.00491883915396,0.0148348978552018,0.0149078683316169,-0.917666666666667
"53","2005","blue oak",NA,2022-05-03,NA,0.0212276,NA,NA,NA,NA
"54","2005","blue oak","md",2022-05-11,2022-05-09,0.0233641,0.819557254339863,NA,NA,-2.49
"55","2005","blue oak","md",NA,2022-07-19,NA,0.634094616639478,0.0165650149467614,0.0105037868022939,-4.3
"56","2005","blue oak",NA,2022-04-20,NA,0.0419623,NA,NA,NA,NA
"57","2005","blue oak","md",NA,2022-05-25,NA,0.755717255717256,NA,NA,-3
"58","2005","blue oak","pd",NA,2022-05-25,NA,0.896278003175163,NA,NA,-1.72933333333333
"59","2006","blue oak",NA,2022-02-24,NA,0.0009186,NA,NA,NA,NA
"60","2006","blue oak",NA,2022-02-28,NA,0.0549204,NA,NA,NA,NA
"61","2006","blue oak",NA,2022-05-17,NA,0.0163343,NA,NA,NA,NA
"62","2006","blue oak","md",2022-09-14,2022-09-15,0,0.683959767072525,0.0154519759790181,0.0105685298914194,-2.566
"63","2006","blue oak","pd",2022-09-14,2022-09-15,0,0.770736343687165,0.0154519759790181,0.0119093994688103,-1.90766666666667
"64","2006","blue oak","pd",2022-03-08,2022-03-08,0.0668307,2.05004467984377,0.0139128160469802,0.0285218945187567,-0.9475
"65","2006","blue oak","md",2022-03-08,2022-03-08,0.0668307,1.68979659386345,0.0139128160469802,0.0235098291672358,-1.40666666666667
"66","2006","blue oak",NA,2022-03-16,NA,0.0810247,NA,NA,NA,NA
"67","2006","blue oak",NA,2022-03-22,NA,0.0903246,NA,NA,NA,NA
"68","2006","blue oak","pd",2022-04-05,2022-04-04,0.0860121,0.956377604714797,NA,NA,-0.540666666666667
"69","2006","blue oak","md",2022-04-05,2022-04-04,0.0860121,0.818537386246364,NA,NA,-2.15
"70","2006","blue oak","md",2022-04-12,2022-04-13,0.0591474,0.817053291275715,NA,NA,-1.727
"71","2006","blue oak","pd",2022-04-29,2022-04-27,0.0818919,0.93878954607978,0.0148001818300574,0.0138942559821378,-0.991333333333333
"72","2006","blue oak","md",2022-04-29,2022-04-27,0.0818919,NA,0.0148001818300574,NA,-2.717
"73","2006","blue oak",NA,2022-05-03,NA,0.0159355,NA,NA,NA,NA
"74","2006","blue oak","md",2022-05-11,2022-05-09,0.0155575,0.822525178088922,NA,NA,-2.36066666666667
"75","2006","blue oak","pd",NA,2022-07-19,NA,0.628070175438596,0.0157931701246783,0.00991921913093827,-2.775
"76","2006","blue oak","md",NA,2022-07-19,NA,0.637735849056604,0.0157931701246783,0.0100718707587571,-4.46666666666667
"77","2006","blue oak",NA,2022-04-20,NA,0.0632743,NA,NA,NA,NA
"78","2006","blue oak","md",NA,2022-05-25,NA,0.71007371007371,NA,NA,-3.19933333333333
