"","branch","year","file","date_new","week","day","tree_id","notes_leaf_area","area_cm2","species","date_leaf_area","year_leaf_area","sub_branch"
"1","1","0","txt",2022-04-27,17,27,"1478",NA,32.684,"B",2022-04-27,"0",NA
"2","2","0","txt",2022-04-27,17,27,"1478",NA,31.034,"B",2022-04-27,"0",NA
"3","3","0","txt",2022-04-27,17,27,"1478",NA,15.746,"B",2022-04-27,"0",NA
"4","1","0","txt",2022-04-04,14,4,"1478",NA,32.537,"B",2022-04-04,"0",NA
"5","2","0","txt",2022-04-04,14,4,"1478",NA,28.114,"B",2022-04-04,"0",NA
"6","3","0","txt",2022-04-04,14,4,"1478",NA,23.834,"B",2022-04-04,"0",NA
"7","1","0","txt",2022-07-19,29,19,"1478",NA,34.708,"B",2022-07-19,"0",NA
"8","2","0","txt",2022-07-19,29,19,"1478",NA,33.483,"B",2022-07-19,"0",NA
"9","3","0","txt",2022-07-19,29,19,"1478",NA,18.659,"B",2022-07-19,"0",NA
"10","1","0","txt",2022-04-27,17,27,"2004",NA,33.565,"B",2022-04-27,"0",NA
"11","2","0","txt",2022-04-27,17,27,"2004",NA,13.381,"B",2022-04-27,"0",NA
"12","3","0","txt",2022-04-27,17,27,"2004",NA,14.838,"B",2022-04-27,"0",NA
"13","1","0","txt",2022-04-04,14,4,"2004",NA,36.481,"B",2022-04-04,"0",NA
"14","2","0","txt",2022-04-04,14,4,"2004",NA,31.795,"B",2022-04-04,"0",NA
"15","3","0","txt",2022-04-04,14,4,"2004",NA,19.457,"B",2022-04-04,"0",NA
"16","1","0","txt",2022-07-19,29,19,"2004",NA,17.625,"B",2022-07-19,"0",NA
"17","2","0","txt",2022-07-19,29,19,"2004",NA,11.508,"B",2022-07-19,"0",NA
"18","3","0","txt",2022-07-19,29,19,"2004",NA,19.433,"B",2022-07-19,"0",NA
"19","1","0","txt",2022-04-27,17,27,"2005",NA,39.518,"B",2022-04-27,"0",NA
"20","2","0","txt",2022-04-27,17,27,"2005",NA,36.447,"B",2022-04-27,"0",NA
"21","3","0","txt",2022-04-27,17,27,"2005",NA,55.495,"B",2022-04-27,"0",NA
"22","1","0","txt",2022-04-04,14,4,"2005",NA,32.996,"B",2022-04-04,"0",NA
"23","2","0","txt",2022-04-04,14,4,"2005",NA,41.111,"B",2022-04-04,"0",NA
