"","time","type","year","notes","tree","lfm_wet_per_dry_g","lfm_percent","lfm_wet_wt_g","lfm_dry_wt_g","date_lfm","week"
"1","md","both",3,NA,2354,0.720925732079555,72.0925732079555,19.564,11.3683,2022-02-28,9
"2","md","both",3,"Ignore site column",2354,0.707811446755812,70.7811446755812,10.8943,6.3791,2022-02-28,9
"3","md","both",3,"Y1 = 1, Y0 = 0",2381,0.722135007849294,72.2135007849294,9.4342,5.4782,2022-02-28,9
"4","md","both",3,"wet/dry weight columns will autopopulate",2301,0.900021368662856,90.0021368662856,7.1133,3.7438,2022-02-28,9
"5","md","both",3,NA,2301,0.80987541020079,80.987541020079,13.0159,7.1916,2022-02-28,9
"6","md","both",3,NA,2331,0.714776718936453,71.4776718936453,20.4055,11.8998,2022-02-28,9
"7","md","both",3,NA,3480,0.582992915359264,58.2992915359264,16.043,10.1346,2022-02-28,9
"8","md","both",3,NA,2376,0.774578854153795,77.4578854153796,21.5425,12.1395,2022-02-28,9
"9","md","both",3,NA,2352,0.714182335701277,71.4182335701277,14.2128,8.2913,2022-02-28,9
"10","pd","stem",1,NA,2331,0.855542276665671,85.5542276665671,1.2421,0.6694,2022-02-28,9
"11","md","both",3,NA,2345,0.741575373849294,74.1575373849294,12.543,7.2021,2022-02-28,9
"12","md","both",3,NA,2366,0.735115694600919,73.5115694600919,12.0129,6.9234,2022-02-28,9
"13","md","both",3,NA,2377,0.717295122505447,71.7295122505447,12.8476,7.4813,2022-02-28,9
"14","md","both",3,NA,2345,0.849480374473933,84.9480374473933,8.6134,4.6572,2022-02-28,9
"15","pd","stem",0,NA,2381,0.251755617977528,25.1755617977528,0.3565,0.2848,2022-03-08,10
"16","pd","stem",0,NA,2382,3.15579302587177,315.579302587177,1.4778,0.3556,2022-03-08,10
"17","md","stem",0,NA,2382,1.81171548117155,181.171548117155,1.4784,0.5258,2022-03-08,10
"18","md","stem",0,NA,2377,1.93233594015641,193.233594015641,0.8624,0.2941,2022-03-08,10
"19","pd","leaf",1,NA,2380,0.734655172413793,73.4655172413793,8.0488,4.64,2022-03-08,10
"20","md","stem",1,NA,2381,1.04399373648498,104.399373648498,2.7412,1.3411,2022-03-08,10
"21","md","stem",1,NA,2377,0.795125980999587,79.5125980999587,1.3038,0.7263,2022-03-08,10
"22","md","stem",0,NA,2007,1.69370303187354,169.370303187354,1.0395,0.3859,2022-03-08,10
"23","pd","leaf",1,NA,2345,0.855346648704582,85.5346648704582,9.5029,5.1219,2022-03-08,10
