"","time","type","year","x14","tree","lfm_wet_per_dry_g","lfm_percent","lfm_wet_wt_g","lfm_dry_wt_g","date_lfm","week"
"1","pd","stem",1,NA,2383,1.65430809399478,165.430809399478,1.5249,0.5745,2022-02-28,9
"2","pd","stem",1,"Ignore site column",2384,0.988802985870435,98.8802985870435,0.746,0.3751,2022-03-15,11
"3","md","stem",1,"Y1 = 1, Y0 = 0",2093,3.28201603665521,328.201603665521,1.8691,0.4365,2022-02-28,9
"4","md","stem",1,"wet/dry weight columns will autopopulate",2007,1.11286061502695,111.286061502695,1.9994,0.9463,2022-02-28,9
"5","pd","stem",0,NA,2352,1.45849094166833,145.849094166833,1.2349,0.5023,2022-03-15,11
"6","pd","stem",0,NA,2381,0.251755617977528,25.1755617977528,0.3565,0.2848,2022-03-08,10
"7","md","leaf",0,NA,2389,0.794472227183426,79.4472227183426,4.0189,2.2396,2022-02-28,9
"8","md","stem",0,NA,2378,-0.0467908902691512,-4.67908902691512,0.2302,0.2415,2022-03-08,10
"9","pd","stem",1,NA,2092,0.775733111717915,77.5733111717915,1.4957,0.8423,2022-03-15,11
"10","pd","stem",1,NA,2004,0.993330111164814,99.3330111164814,2.0621,1.0345,2022-02-28,9
"11","pd","stem",0,NA,2382,3.15579302587177,315.579302587177,1.4778,0.3556,2022-03-08,10
"12","pd","stem",0,NA,2023,3.25392552714222,325.392552714222,0.9482,0.2229,2022-03-15,11
"13","md","stem",0,NA,2382,1.81171548117155,181.171548117155,1.4784,0.5258,2022-03-08,10
"14","pd","stem",1,NA,2022,1.63507995916979,163.507995916979,1.5489,0.5878,2022-03-15,11
"15","md","stem",0,NA,2377,1.93233594015641,193.233594015641,0.8624,0.2941,2022-03-08,10
"16","pd","stem",0,NA,2024,1.55705102450783,155.705102450783,1.2729,0.4978,2022-03-15,11
"17","pd","stem",1,NA,2091,0.022048015678589,2.2048015678589,0.6258,0.6123,2022-03-15,11
"18","pd","stem",1,NA,2383,-0.0580592773041006,-5.80592773041006,0.464,0.4926,2022-03-15,11
"19","md","stem",1,NA,2027,1.08218472240113,108.218472240113,1.6164,0.7763,2022-02-28,9
"20","pd","leaf",1,NA,2380,0.734655172413793,73.4655172413793,8.0488,4.64,2022-03-08,10
"21","md","stem",1,NA,2381,1.04399373648498,104.399373648498,2.7412,1.3411,2022-03-08,10
"22","pd","stem",0,NA,2004,2.57301740812379,257.301740812379,0.7389,0.2068,2022-02-28,9
"23","pd","leaf",0,NA,2354,2.45909926470588,245.909926470588,1.5054,0.4352,2022-02-28,9
"24","pd","stem",1,NA,2025,1.02790581786471,102.790581786471,1.6278,0.8027,2022-03-15,11
"25","md","stem",1,NA,2020,1.10688989053445,110.688989053445,1.636,0.7765,2022-02-28,9
"26","pd","stem",1,NA,2020,1.82986847687739,182.986847687739,2.001,0.7071,2022-03-15,11
"27","md","stem",1,NA,2377,0.795125980999587,79.5125980999587,1.3038,0.7263,2022-03-08,10
"28","pd","leaf",0,NA,2004,2.29321081409478,229.321081409478,4.3365,1.3168,2022-02-28,9
"29","md","leaf",0,NA,2378,1.55201121724652,155.201121724652,5.8242,2.2822,2022-03-08,10
"30","md","stem",0,NA,2007,1.69370303187354,169.370303187354,1.0395,0.3859,2022-03-08,10
"31","pd","leaf",0,NA,2092,3.40203284333201,340.203284333201,13.2959,3.0204,2022-03-15,11
"32","pd","leaf",0,NA,2383,1.7920462119529,179.20462119529,6.2835,2.2505,2022-02-28,9
"33","pd","leaf",1,NA,2345,0.855346648704582,85.5346648704582,9.5029,5.1219,2022-03-08,10
"34","pd","stem",0,NA,2379,1.85638095238095,185.638095238095,0.7498,0.2625,2022-02-28,9
"35","pd","leaf",0,NA,2384,2.01297047448354,201.297047448354,6.3881,2.1202,2022-03-08,10
"36","md","leaf",0,NA,2004,1.69468146798111,169.468146798111,13.011,4.8284,2022-02-28,9
"37","pd","leaf",0,NA,2380,2.20418508694371,220.418508694371,5.4359,1.6965,2022-03-08,10
"38","pd","stem",0,NA,2382,1.41091658084449,141.091658084449,0.4682,0.1942,2022-03-15,11
"39","pd","stem",0,NA,2380,3.86154334709432,386.154334709432,1.5309,0.3149,2022-03-08,10
"40","pd","stem",0,NA,2021,1.56533333333333,156.533333333333,0.481,0.1875,2022-03-15,11
"41","md","stem",0,NA,2006,2.97420965058236,297.420965058236,1.4331,0.3606,2022-02-28,9
"42","pd","leaf",0,NA,2021,1.5568946887208,155.68946887208,6.1524,2.4062,2022-03-15,11
"43","md","leaf",0,NA,2025,1.23072844040301,123.072844040301,11.3582,5.0917,2022-02-28,9
"44","pd","stem",0,NA,2377,5.9281210592686,592.81210592686,0.5494,0.0793,2022-03-08,10
"45","pd","stem",1,NA,2381,0.879509478477957,87.9509478477957,6.851,3.6451,2022-03-08,10
"46","md","leaf",1,NA,2023,0.715462366421049,71.5462366421049,8.8933,5.1842,2022-02-28,9
"47","pd","stem",1,NA,2379,0.934877241859655,93.4877241859655,3.3336,1.7229,2022-02-28,9
"48","pd","stem",1,NA,2005,0.695169442373022,69.5169442373022,2.0459,1.2069,2022-02-28,9
"49","pd","stem",1,NA,2027,0.311013767209011,31.1013767209011,0.6285,0.4794,2022-03-15,11
"50","pd","stem",1,NA,2354,0.100723427935448,10.0723427935448,0.3956,0.3594,2022-02-28,9
"51","md","stem",NA,NA,2027,0.17351598173516,17.351598173516,0.3341,0.2847,2022-02-28,9
"52","md","leaf",1,NA,2345,0.775506143361687,77.5506143361687,7.1386,4.0206,2022-03-08,10
"53","md","stem",0,NA,2093,0.0543898961091871,5.43898961091871,0.5176,0.4909,2022-02-28,9
"54","md","leaf",1,NA,2376,0.735319484487815,73.5319484487815,7.0421,4.0581,2022-03-08,10
"55","pd","leaf",0,NA,2331,0.468531468531468,46.8531468531468,0.357,0.2431,2022-02-28,9
"56","pd","stem",0,NA,2020,1.5,150,0.4125,0.165,2022-03-15,11
"57","pd","leaf",1,NA,2331,0.606744757226525,60.6744757226525,5.1027,3.1758,2022-02-28,9
"58","md","leaf",0,NA,2024,1.71107445410574,171.107445410574,9.6967,3.5767,2022-02-28,9
"59","md","stem",1,NA,2352,0.507901266814679,50.7901266814679,1.1546,0.7657,2022-03-08,10
"60","md","leaf",0,NA,2007,1.23799791070536,123.799791070536,9.8548,4.4034,2022-02-28,9
"61","pd","leaf",0,NA,2383,1.47976705348349,147.976705348349,5.791,2.3353,2022-03-15,11
"62","pd","stem",0,NA,2007,3.61406377759607,361.406377759607,1.1286,0.2446,2022-02-28,9
"63","md","leaf",0,NA,2377,1.89396001701404,189.396001701404,6.8037,2.351,2022-03-08,10
"64","pd","stem",1,NA,2024,0.960392798690671,96.0392798690671,0.5989,0.3055,2022-03-15,11
"65","pd","stem",1,NA,2331,1.39086206896552,139.086206896552,1.3867,0.58,2022-02-28,9
"66","md","leaf",1,NA,2377,0.879660650599805,87.9660650599805,3.4785,1.8506,2022-03-08,10
"67","md","leaf",0,NA,2093,0.737353555535374,73.7353555535374,5.739,3.3033,2022-02-28,9
"68","pd","stem",0,NA,2005,2.43965811965812,243.965811965812,1.0061,0.2925,2022-02-28,9
"69","md","stem",1,NA,2006,0.89587786259542,89.587786259542,1.2418,0.655,2022-02-28,9
"70","pd","leaf",0,NA,2007,1.81348536615486,181.348536615486,6.8348,2.4293,2022-02-28,9
"71","pd","stem",0,NA,2366,2.08184143222506,208.184143222506,0.723,0.2346,2022-03-08,10
"72","pd","stem",0,NA,2006,2.00537313432836,200.537313432836,0.5034,0.1675,2022-02-28,9
"73","pd","stem",1,NA,2089,0.736120401337793,73.6120401337793,1.0382,0.598,2022-03-15,11
"74","pd","stem",0,NA,2384,1.63112504900039,163.112504900039,0.6712,0.2551,2022-03-15,11
"75","md","leaf",0,NA,2331,-2.72139303482587,-272.139303482587,-0.173,0.1005,2022-03-08,10
"76","pd","leaf",0,NA,2005,2.16456239493544,216.456239493544,8.8478,2.7959,2022-02-28,9
"77","md","leaf",0,NA,2381,1.8309866064858,183.09866064858,11.5408,4.0766,2022-03-08,10
"78","pd","leaf",1,NA,2022,0.824740332874484,82.4740332874484,5.8326,3.1964,2022-03-15,11
"79","pd","leaf",1,NA,2093,0.77816097915154,77.816097915154,6.8573,3.8564,2022-03-15,11
"80","md","leaf",1,NA,2352,0.427924590433852,42.7924590433852,3.469,2.4294,2022-03-08,10
"81","pd","stem",1,NA,2366,0.771968486584761,77.1968486584761,6.4326,3.6302,2022-03-08,10
"82","pd","stem",0,NA,2092,-0.491504090623033,-49.1504090623033,0.1616,0.3178,2022-03-15,11
"83","pd","stem",1,NA,2382,0.513866231647634,51.3866231647634,0.0928,0.0613,2022-03-08,10
"84","pd","stem",0,NA,2091,0.615250544662309,61.5250544662309,0.7414,0.459,2022-03-15,11
"85","pd","leaf",0,NA,2023,1.26627658310562,126.627658310562,7.6301,3.3668,2022-03-15,11
"86","pd","stem",1,NA,2352,3.3850197109067,338.50197109067,1.0011,0.2283,2022-03-15,11
"87","pd","leaf",0,NA,2091,0.783033290692958,78.3033290692958,5.7148,3.2051,2022-03-15,11
"88","pd","stem",0,NA,2027,2.47787081339713,247.787081339713,0.5815,0.1672,2022-03-15,11
"89","pd","leaf",1,NA,2366,1.64427237531314,164.427237531314,3.4833,1.3173,2022-03-08,10
"90","pd","leaf",1,NA,2091,0.949092767697419,94.9092767697419,3.8134,1.9565,2022-03-15,11
"91","pd","leaf",0,NA,2352,1.55637871088526,155.637871088526,9.5583,3.739,2022-03-15,11
"92","pd","stem",0,NA,2383,4.16690856313498,416.690856313498,0.712,0.1378,2022-03-15,11
"93","md","leaf",1,NA,2331,0.801570091956792,80.1570091956792,8.9729,4.9806,2022-03-08,10
"94","pd","stem",0,NA,2331,20.7447916666667,2074.47916666667,0.4175,0.0192,2022-02-28,9
"95","pd","leaf",0,NA,2089,0.810668730319688,81.0668730319688,6.7853,3.7474,2022-03-15,11
"96","md","leaf",0,NA,2007,1.46844162051224,146.844162051224,8.78,3.5569,2022-03-08,10
"97","pd","leaf",0,NA,2025,1.40216154721274,140.216154721274,10.1352,4.2192,2022-03-15,11
"98","md","stem",1,NA,2004,1.42843385096906,142.843385096906,2.0173,0.8307,2022-02-28,9
"99","pd","leaf",0,NA,2384,1.69394912809755,169.394912809755,8.2187,3.0508,2022-03-15,11
"100","pd","leaf",0,NA,2020,1.37315906917437,137.315906917437,7.4446,3.137,2022-03-15,11
"101","pd","stem",1,NA,2384,0.723497337053005,72.3497337053006,5.4366,3.1544,2022-03-08,10
"102","pd","leaf",1,NA,2089,0.429031533218486,42.9031533218485,1.9079,1.3351,2022-03-15,11
"103","pd","leaf",0,NA,2382,1.50588283190164,150.588283190164,6.1552,2.4563,2022-03-15,11
"104","pd","leaf",0,NA,2381,0.180330747430193,18.0330747430193,33.6098,28.4749,2022-03-08,10
"105","pd","leaf",0,NA,2024,1.49875930521092,149.875930521092,5.1357,2.0553,2022-03-15,11
"106","md","stem",1,NA,2345,0.709347514829208,70.9347514829208,1.6714,0.9778,2022-03-08,10
"107","pd","stem",0,NA,2025,1.61301477522792,161.301477522792,0.8312,0.3181,2022-03-15,11
"108","pd","stem",0,NA,2384,2.57366205652435,257.366205652435,0.5943,0.1663,2022-03-08,10
"109","md","leaf",1,NA,2331,0.796813372566206,79.6813372566206,11.4802,6.3892,2022-03-08,10
"110","pd","leaf",0,NA,2027,1.26032018465363,126.032018465363,7.6383,3.3793,2022-03-15,11
"111","pd","stem",1,NA,2382,0.543593363925168,54.3593363925168,0.8746,0.5666,2022-03-15,11
"112","pd","stem",1,NA,2093,0.695670508855777,69.5670508855777,1.2063,0.7114,2022-03-15,11
"113","md","stem",1,NA,2376,0.777463460631778,77.7463460631778,1.131,0.6363,2022-03-08,10
"114","NA","stem",0,NA,2089,0.720300178071738,72.0300178071737,1.3525,0.7862,2022-03-15,11
"115","pd","stem",1,NA,2021,1.53995188046093,153.995188046093,2.0058,0.7897,2022-03-15,11
"116","pd","leaf",0,NA,2093,0.474003466204506,47.4003466204506,0.1701,0.1154,2022-03-15,11
"117","pd","leaf",0,NA,2377,1.88069636456733,188.069636456733,1.1252,0.3906,2022-03-08,10
"118","pd","stem",0,NA,2093,-2.06086956521739,-206.086956521739,-0.0122,0.0115,2022-03-15,11
"119","pd","stem",1,NA,2345,1.00988673449798,100.988673449798,4.1878,2.0836,2022-03-08,10
"120","md","stem",0,NA,2381,2.98351486605829,298.351486605829,1.3532,0.3397,2022-03-08,10
"121","md","stem",1,NA,2301,1.40056068601583,140.056068601583,1.4557,0.6064,2022-03-08,10
"122","pd","leaf",0,NA,2022,1.18865779853153,118.865779853153,7.1243,3.2551,2022-03-15,11
"123","pd","stem",1,NA,2377,0.692608102385545,69.2608102385546,3.5973,2.1253,2022-03-08,10
"124","pd","leaf",1,NA,2092,0.771509377791009,77.1509377791009,2.3802,1.3436,2022-03-15,11
"125","pd","stem",0,NA,2022,4.33161953727506,433.161953727506,1.037,0.1945,2022-03-15,11
"126","pd","leaf",1,NA,2382,2.03425757413553,203.425757413553,8.5029,2.8023,2022-03-08,10
"127","pd","stem",1,NA,2380,0.787518910741301,78.7518910741301,2.3631,1.322,2022-03-08,10
"128","pd","stem",1,NA,2023,1.14668246445498,114.668246445498,0.9059,0.422,2022-03-15,11
"129","pd","leaf",1,NA,2323,0.784021610117464,78.4021610117464,4.3589,2.4433,2022-03-15,11
"130","md","stem",1,NA,2023,1.30890732780166,130.890732780166,2.3096,1.0003,2022-02-28,9
"131","md","stem",0,NA,2023,1.58120684479135,158.120684479135,0.8598,0.3331,2022-02-28,9
"132","md","stem",1,NA,2024,0.350802893947415,35.0802893947415,0.7655,0.5667,2022-02-28,9
"133","pd","leaf",0,NA,2381,2.06577624009333,206.577624009333,7.6206,2.4857,2022-03-08,10
"134","md","stem",1,NA,2389,0.522349523963208,52.2349523963208,0.9434,0.6197,2022-02-28,9
