"","tree","plot","site","species","date_lfm","date_wp","week","time","mpa","type","lfm_y0_percent","lfm_y1_percent","lfm_wet_wt_y0_g","lfm_wet_wt_y1_g","lfm_dry_wt_y0_g","lfm_dry_wt_y1_g","lfm_both_percent","lfm_wet_wt_both_g","lfm_dry_wt_both_g"
"1",1478,"Low","Cucu Mesa","blue oak","2022-04-04",2022-04-04,14,"pd",0.878,"leaf",175.311648402621,NA,4.7483,NA,1.7247,NA,NA,NA,NA
"2",1478,"Low","Cucu Mesa","blue oak","2022-04-04",2022-04-04,14,"pd",0.519,"leaf",175.311648402621,NA,4.7483,NA,1.7247,NA,NA,NA,NA
"3",1478,"Low","Cucu Mesa","blue oak","2022-04-04",2022-04-04,14,"pd",0.402,"leaf",175.311648402621,NA,4.7483,NA,1.7247,NA,NA,NA,NA
"4",1478,"Low","Cucu Mesa","blue oak","2022-04-04",2022-04-04,14,"pd",0.768,"leaf",175.311648402621,NA,4.7483,NA,1.7247,NA,NA,NA,NA
"5",1478,"Low","Cucu Mesa","blue oak","2022-04-04",2022-04-04,14,"pd",0.29,"leaf",175.311648402621,NA,4.7483,NA,1.7247,NA,NA,NA,NA
"6",1478,"Low","Cucu Mesa","blue oak","2022-04-04",NA,14,"md",NA,"leaf",173.412347426145,NA,4.6368,NA,1.6959,NA,NA,NA,NA
"7",1478,"Low","Cucu Mesa","blue oak","2022-04-27",2022-04-27,17,"md",2.271,"leaf",19.8641765704584,NA,7.06,NA,5.89,NA,NA,NA,NA
"8",1478,"Low","Cucu Mesa","blue oak","2022-04-27",2022-04-27,17,"md",1.991,"leaf",19.8641765704584,NA,7.06,NA,5.89,NA,NA,NA,NA
"9",1478,"Low","Cucu Mesa","blue oak","2022-04-27",2022-04-27,17,"md",2.401,"leaf",19.8641765704584,NA,7.06,NA,5.89,NA,NA,NA,NA
"10",1478,"Low","Cucu Mesa","blue oak","2022-05-25",2022-05-25,21,"md",4,"leaf",72.9859719438878,NA,1.2948,NA,0.7485,NA,NA,NA,NA
"11",1478,"Low","Cucu Mesa","blue oak","2022-05-25",2022-05-25,21,"md",3.85,"leaf",72.9859719438878,NA,1.2948,NA,0.7485,NA,NA,NA,NA
"12",1478,"Low","Cucu Mesa","blue oak","2022-05-25",2022-05-25,21,"md",3.6,"leaf",72.9859719438878,NA,1.2948,NA,0.7485,NA,NA,NA,NA
"13",1478,"Low","Cucu Mesa","blue oak","2022-05-25",2022-05-25,21,"md",4.5,"leaf",72.9859719438878,NA,1.2948,NA,0.7485,NA,NA,NA,NA
"14",1478,"Low","Cucu Mesa","blue oak","2022-05-25",2022-05-25,21,"pd",1.62,"leaf",73.1793960923624,NA,1.95,NA,1.126,NA,NA,NA,NA
"15",1478,"Low","Cucu Mesa","blue oak","2022-05-25",2022-05-25,21,"pd",1.608,"leaf",73.1793960923624,NA,1.95,NA,1.126,NA,NA,NA,NA
"16",1478,"Low","Cucu Mesa","blue oak","2022-05-25",2022-05-25,21,"pd",1.43,"leaf",73.1793960923624,NA,1.95,NA,1.126,NA,NA,NA,NA
"17",2004,"High","Cucu Mesa","blue oak","2022-03-11",2022-03-08,10,"md",1.52,"leaf",181.342569684974,NA,8.5289,NA,3.0315,NA,NA,NA,NA
"18",2004,"High","Cucu Mesa","blue oak","2022-03-11",2022-03-08,10,"md",1.68,"leaf",169.468146798111,NA,13.011,NA,4.8284,NA,NA,NA,NA
"19",2004,"High","Cucu Mesa","blue oak","2022-03-11",2022-03-08,10,"md",1.68,"leaf",181.342569684974,NA,8.5289,NA,3.0315,NA,NA,NA,NA
"20",2004,"High","Cucu Mesa","blue oak","2022-03-11",2022-03-08,10,"md",1.76,"leaf",181.342569684974,NA,8.5289,NA,3.0315,NA,NA,NA,NA
"21",2004,"High","Cucu Mesa","blue oak","2022-03-11",2022-03-08,10,"md",1.52,"leaf",169.468146798111,NA,13.011,NA,4.8284,NA,NA,NA,NA
"22",2004,"High","Cucu Mesa","blue oak","2022-03-11",2022-03-08,10,"md",1.76,"leaf",169.468146798111,NA,13.011,NA,4.8284,NA,NA,NA,NA
"23",2004,"High","Cucu Mesa","blue oak","2022-03-11",2022-03-08,10,"pd",0.539,"leaf",229.321081409478,NA,4.3365,NA,1.3168,NA,NA,NA,NA
"24",2004,"High","Cucu Mesa","blue oak","2022-03-11",2022-03-08,10,"pd",0.205,"leaf",229.321081409478,NA,4.3365,NA,1.3168,NA,NA,NA,NA
"25",2004,"High","Cucu Mesa","blue oak","2022-03-11",2022-03-08,10,"pd",0.29,"leaf",229.321081409478,NA,4.3365,NA,1.3168,NA,NA,NA,NA
"26",2004,"High","Cucu Mesa","blue oak","2022-03-11",2022-03-08,10,"pd",0.3,"leaf",229.321081409478,NA,4.3365,NA,1.3168,NA,NA,NA,NA
"27",2004,"High","Cucu Mesa","blue oak","2022-04-04",2022-04-04,14,"pd",0.475,"leaf",118.124654304096,NA,7.4928,NA,3.4351,NA,NA,NA,NA
"28",2004,"High","Cucu Mesa","blue oak","2022-04-04",2022-04-04,14,"pd",0.284,"leaf",118.124654304096,NA,7.4928,NA,3.4351,NA,NA,NA,NA
"29",2004,"High","Cucu Mesa","blue oak","2022-04-04",2022-04-04,14,"pd",0.393,"leaf",118.124654304096,NA,7.4928,NA,3.4351,NA,NA,NA,NA
"30",2004,"High","Cucu Mesa","blue oak","2022-04-04",2022-04-04,14,"pd",0.405,"leaf",118.124654304096,NA,7.4928,NA,3.4351,NA,NA,NA,NA
"31",2004,"High","Cucu Mesa","blue oak","2022-04-12",2022-04-13,15,"md",2.2,"leaf",99.4408431886783,NA,4.0305,NA,2.0209,NA,NA,NA,NA
"32",2004,"High","Cucu Mesa","blue oak","2022-04-27",2022-04-27,17,"md",2.518,"leaf",NA,80.8619901035386,NA,8.6991,NA,4.8098,NA,NA,NA
"33",2004,"High","Cucu Mesa","blue oak","2022-04-27",2022-04-27,17,"md",2.6,"leaf",NA,80.8619901035386,NA,8.6991,NA,4.8098,NA,NA,NA
"34",2004,"High","Cucu Mesa","blue oak","2022-04-27",2022-04-27,17,"md",2.744,"leaf",NA,80.8619901035386,NA,8.6991,NA,4.8098,NA,NA,NA
"35",2004,"High","Cucu Mesa","blue oak","2022-04-27",2022-04-27,17,"pd",1.037,"leaf",81.010180109632,NA,4.623,NA,2.554,NA,NA,NA,NA
"36",2004,"High","Cucu Mesa","blue oak","2022-04-27",2022-04-27,17,"pd",0.918,"leaf",81.010180109632,NA,4.623,NA,2.554,NA,NA,NA,NA
"37",2004,"High","Cucu Mesa","blue oak","2022-04-27",2022-04-27,17,"pd",0.799,"leaf",81.010180109632,NA,4.623,NA,2.554,NA,NA,NA,NA
"38",2004,"High","Cucu Mesa","blue oak","2022-04-27",2022-04-27,17,"pd",0.984,"leaf",81.010180109632,NA,4.623,NA,2.554,NA,NA,NA,NA
"39",2004,"High","Cucu Mesa","blue oak","2022-05-25",2022-05-25,21,"md",2.179,"leaf",78.8674292143259,NA,1.9078,NA,1.0666,NA,NA,NA,NA
"40",2004,"High","Cucu Mesa","blue oak","2022-05-25",2022-05-25,21,"md",2.646,"leaf",78.8674292143259,NA,1.9078,NA,1.0666,NA,NA,NA,NA
"41",2004,"High","Cucu Mesa","blue oak","2022-05-25",2022-05-25,21,"md",2.498,"leaf",78.8674292143259,NA,1.9078,NA,1.0666,NA,NA,NA,NA
"42",2004,"High","Cucu Mesa","blue oak","2022-05-25",2022-05-25,21,"md",3.658,"leaf",78.8674292143259,NA,1.9078,NA,1.0666,NA,NA,NA,NA
"43",2004,"High","Cucu Mesa","blue oak","2022-05-25",2022-05-25,21,"md",2.448,"leaf",78.8674292143259,NA,1.9078,NA,1.0666,NA,NA,NA,NA
