effect,group,term,estimate,std.error,statistic,mod,nobs,sigma,logLik,AIC,BIC,deviance,df.residual,REMLcrit,R2m,R2c,var
fixed,NA,(Intercept),-2.68059246361774,0.29524305671737056,-9.079273509160997,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
fixed,NA,lwa_g_cm2_centered,46.446081951746095,37.03300758670779,1.2541806614814868,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,tree,sd__(Intercept),0.36055084070657,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,week,sd__(Intercept),0.6828687370918443,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,week,cor__(Intercept).lwa_g_cm2_centered,-0.8232506732956769,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,week,sd__lwa_g_cm2_centered,74.32400855148845,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,Residual,sd__Observation,0.32238024807533533,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
fixed,NA,(Intercept),-1.7613518022547634,0.7895881854988808,-2.230722083489508,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
fixed,NA,lwa_g_cm2,11.294460851993176,43.2483913081035,0.2611533171611153,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,tree,sd__(Intercept),9.486286625904471e-5,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,tree,cor__(Intercept).lwa_g_cm2,-1,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,tree,sd__lwa_g_cm2,0.005382791689884364,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,week,sd__(Intercept),1.7624382717012008,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,week,cor__(Intercept).lwa_g_cm2,-0.992831310781344,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,week,sd__lwa_g_cm2,95.00118193353612,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,site,sd__(Intercept),0.4660969042529377,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,Residual,sd__Observation,0.7925631529427368,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
fixed,NA,(Intercept),-1.7613518022547634,0.7895881854988808,-2.230722083489508,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
fixed,NA,lwa_g_cm2,11.294460851993176,43.2483913081035,0.2611533171611153,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,tree,sd__(Intercept),9.486286625904471e-5,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,tree,cor__(Intercept).lwa_g_cm2,-1,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,tree,sd__lwa_g_cm2,0.005382791689884364,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,week,sd__(Intercept),1.7624382717012008,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,week,cor__(Intercept).lwa_g_cm2,-0.992831310781344,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,week,sd__lwa_g_cm2,95.00118193353612,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,site,sd__(Intercept),0.4660969042529377,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
ran_pars,Residual,sd__Observation,0.7925631529427368,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2
NA,NA,NA,NA,NA,NA,space,99,0.33395035139890655,-56.383350162577344,126.76670032515469,144.9325392760968,112.76670032515469,92,NA,0.20689956332032686,0.807666419877863,lwa_g_cm2
NA,NA,NA,NA,NA,NA,hyd,135,0.7925631529427368,-168.04306504254964,356.0861300850993,385.13887786948357,NA,125,336.0861300850993,0.0016432220914467553,0.5126628370225864,lwa_g_cm2
NA,NA,NA,NA,NA,NA,time,63,0.43073022497356606,-40.23169768389036,98.46339536778072,117.75160790530451,NA,54,80.46339536778072,0.283759576264168,0.6777973022620656,lwa_g_cm2
NA,NA,NA,NA,NA,NA,interaction,63,0.4361705133515428,-45.791685602040516,107.58337120408103,124.7284490152133,NA,55,91.58337120408103,0.2925859986263791,0.6876900249230663,lwa_g_cm2
