effect,group,term,estimate,std.error,statistic,df,p.value,mod,nobs,sigma,logLik,AIC,BIC,deviance,df.residual,REMLcrit,R2m,R2c,var
fixed,NA,(Intercept),-2.9910597842595394,0.31514267122823875,-9.491129121302954,8.261896809297278,1.0046440437210974e-5,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa
fixed,NA,lwa_g_cm2_centered,74.59930887639945,31.661697020034357,2.3561374120027665,10.864361359887141,0.03833898991681043,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa
ran_pars,tree,sd__(Intercept),0.26793471346070397,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa
ran_pars,week,sd__(Intercept),0.9336353420061406,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa
ran_pars,week,cor__(Intercept).lwa_g_cm2_centered,0.19989042855117717,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa
ran_pars,week,sd__lwa_g_cm2_centered,66.40898893003794,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa
ran_pars,Residual,sd__Observation,0.34610150141467094,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa
fixed,NA,(Intercept),-4.310763678249418,0.8063136178625389,-5.3462617804680574,8.204040824130699,6.335857664243696e-4,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa
fixed,NA,lwc_mean,2.6718121121502674,0.9285173629219399,2.8775036621204095,7.717580813701109,0.021381697733079547,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa
ran_pars,tree,sd__(Intercept),0,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa
ran_pars,tree,cor__(Intercept).lwc_mean,NA,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa
ran_pars,tree,sd__lwc_mean,0.09864550570941517,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa
ran_pars,week,sd__(Intercept),2.518038792705483,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa
ran_pars,week,cor__(Intercept).lwc_mean,-0.9959386690314274,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa
ran_pars,week,sd__lwc_mean,2.8783679247757346,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa
ran_pars,Residual,sd__Observation,0.6553903433179902,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa
NA,NA,NA,NA,NA,NA,NA,NA,space,324,0.29716652531720655,-157.7495972226427,329.4991944452854,355.96439905583173,315.4991944452854,317,NA,0.002430413656022109,0.900402310088606,lwa
NA,NA,NA,NA,NA,NA,NA,NA,time,203,0.364310023763848,-115.7118705289011,247.4237410578022,273.9293888901365,NA,195,231.4237410578022,0.5040516286027854,0.8690896269403419,lwa
