tree,date_wc,time,lwc_bulk,lwc_leaf,rep,dm_g
10,2022-09-12,pd,1.03055954852792,NA,NA,1.8783
10,2022-09-12,pd,0.397378589287067,NA,NA,1.3199
11,2022-09-12,pd,0.69993399339934,NA,NA,0.7575
11,2022-09-15,md,0.488980010251153,NA,NA,1.5608
12,2022-09-12,pd,0.930381424946025,NA,NA,2.6401
12,2022-09-16,md,0.437577639751553,NA,NA,1.932
20,2022-09-16,md,0.338339591155611,NA,NA,0.4794
21,2022-09-15,md,0.315604616156548,NA,NA,0.9965
1478,2022-09-16,md,0.61517094017094,NA,NA,0.468
1478,2022-09-16,pd,0.725960702486524,NA,NA,0.5751
2004,2022-09-16,pd,0.745921498950089,NA,NA,0.6191
2004,2022-09-12,pd,0.671155729676787,NA,NA,0.4084
2004,2022-09-16,md,0.575609756097561,NA,NA,0.369
2005,2022-09-16,md,0.639264203158066,NA,NA,0.6143
2005,2022-09-12,pd,0.823221892345424,NA,NA,1.5494
2006,2022-09-16,md,0.683959767072525,NA,NA,0.3778
2006,2022-09-16,pd,0.768838924995608,NA,NA,0.5693
2006,2022-09-12,pd,0.627076963977137,NA,NA,1.5046
2006,2022-09-12,pd,0.91629314208875,NA,NA,0.8924
2007,2022-09-16,pd,0.790027562014533,NA,NA,0.3991
2007,2022-09-12,pd,0.813745828447731,NA,NA,1.1087
2007,2022-09-16,md,0.627936507936508,NA,NA,0.4725
2009,2022-08-18,pd,0.650943396226415,NA,NA,0.7632
2009,2022-09-16,md,0.503884372177055,NA,NA,0.5535
2009,2022-08-18,md,0.591337719298246,NA,NA,0.912
2010,2022-08-18,pd,0.698709507505926,NA,NA,0.7594
2010,2022-08-18,md,0.678798441664958,NA,NA,0.9754
2010,2022-09-12,pd,0.747028550422742,NA,NA,1.6322
2011,2022-09-15,md,0.566715086117452,NA,NA,0.4819
2011,2022-08-18,pd,0.552907186710004,NA,NA,0.5538
2011,2022-08-18,md,0.545520231213873,NA,NA,0.8304
2011,2022-09-12,pd,0.637793340705246,NA,NA,2.4417
2012,2022-09-16,pd,0.722444622364558,NA,NA,0.3747
2012,2022-09-16,md,0.656576480042861,NA,NA,0.3733
2013,2022-09-16,pd,0.718999704054454,NA,NA,0.6758
2014,2022-09-16,md,0.61648946092147,NA,NA,0.5361
2015,2022-09-16,pd,0.728144697177309,NA,NA,0.3649
2015,2022-09-16,md,0.702747989276139,NA,NA,0.2984
2020,2022-09-16,md,0.654434250764526,NA,NA,0.3924
2020,2022-09-12,pd,0.689802517611734,NA,NA,0.8659
2021,2022-09-12,pd,0.694620755315773,NA,NA,2.5208
2021,2022-09-16,md,0.575757575757576,NA,NA,0.5346
2022,2022-09-16,md,0.576576576576577,NA,NA,1.3209
2022,2022-09-12,pd,0.679897855721206,NA,NA,2.6629
2023,2022-09-16,md,0.635241686664381,NA,NA,2.0419
2023,2022-09-12,pd,0.62287793047696,NA,NA,1.4844
2024,2022-09-16,md,0.60480093676815,NA,NA,0.6832
2024,2022-09-12,pd,0.696020654431161,NA,NA,1.7817
2025,2022-09-16,md,0.651715039577836,NA,NA,0.4927
2026,2022-09-16,md,0.641708101784148,NA,NA,0.3419
2026,2022-09-12,pd,0.5091566680062,NA,NA,1.7419
2026,2022-09-12,pd,0.752694191742477,NA,NA,0.7145
2027,2022-09-12,pd,0.557437955119631,NA,NA,0.6729
2027,2022-09-15,md,0.621411276374957,NA,NA,0.5782
2028,2022-09-12,pd,0.534153120525562,NA,NA,1.1873
2028,2022-09-16,md,0.558911004346831,NA,NA,0.4371
2029,2022-09-12,pd,0.642248429026427,NA,NA,2.3234
2029,2022-09-16,md,0.596239289114567,NA,NA,1.2604
2030,2022-09-16,md,0.573248975227232,NA,NA,1.1222
2030,2022-09-12,pd,0.540224109341239,NA,NA,1.9901
2031,2022-09-16,md,0.59749243406831,NA,NA,0.2313
2031,2022-09-12,pd,0.504201680672269,NA,NA,0.3332
2031,2022-09-12,pd,0.549131973706388,NA,NA,0.5933
2040,2022-10-05,md,0.713609796827164,NA,NA,0.3593
2041,2022-10-05,md,0.733750236877014,NA,NA,0.5277
2042,2022-10-05,md,0.644937725994375,NA,NA,0.9956
2043,2022-10-05,md,0.585100446428572,NA,NA,1.0752
2044,2022-10-05,md,-0.88457166477214,NA,NA,9.677
2045,2022-10-05,md,0.748266897746967,NA,NA,0.6924
2046,2022-10-05,md,0.697028624766646,NA,NA,1.2856
2047,2022-10-05,md,0.770265324794145,NA,NA,1.093
2048,2022-10-05,md,0.771028508109197,NA,NA,0.9927
2049,2022-10-05,md,0.588858321870702,NA,NA,0.727
2050,2022-10-05,md,0.725076556651922,NA,NA,0.8817
2051,2022-10-05,md,0.713879159369527,NA,NA,0.9136
2052,2022-10-05,md,0.699022247413915,NA,NA,0.7057
2082,2022-08-18,pd,0.588065447545717,NA,NA,1.2468
2085,2022-09-12,pd,0.883578431372549,NA,NA,0.9792
2085,2022-09-16,pd,0.589256995818591,NA,NA,0.6218
2085,2022-09-15,md,0.635114503816794,NA,NA,0.655
2086,2022-09-16,pd,0.705693176879617,NA,NA,1.1505
2086,2022-09-15,md,0.655257039524671,NA,NA,1.5484
2087,2022-09-15,md,0.613561050216671,NA,NA,0.3923
2087,2022-09-12,pd,0.846673213847287,NA,NA,0.8146
2087,2022-09-16,pd,0.684131120559594,NA,NA,0.7291
2088,2022-09-12,pd,0.830658292626192,NA,NA,0.4299
2088,2022-09-16,pd,0.66150289017341,NA,NA,0.4325
2089,2022-09-12,pd,0.666666666666667,NA,NA,1.0431
2089,2022-09-16,pd,0.573605706874189,NA,NA,1.2336
2089,2022-09-15,md,0.483984719365266,NA,NA,0.3403
2090,2022-09-16,pd,0.722641812630564,NA,NA,0.6223
2090,2022-09-15,md,0.673127422783544,NA,NA,0.7997
2091,2022-09-15,md,0.560431905259491,NA,NA,0.2871
2091,2022-09-12,pd,0.725155682407888,NA,NA,1.5416
2091,2022-09-16,pd,0.655806420882157,NA,NA,1.0497
2092,2022-09-15,md,0.566088443684339,NA,NA,0.8186
2092,2022-09-12,pd,0.668518518518519,NA,NA,1.134
2092,2022-09-16,pd,0.57626188734455,NA,NA,1.6404
2093,2022-09-15,md,0.584232453797671,NA,NA,0.9361
2301,2022-08-18,pd,0.585357065648195,NA,NA,1.3877
2301,2022-09-16,md,0.548910675381263,NA,NA,0.918
2301,2022-09-12,pd,0.680027564028942,NA,NA,1.7414
2301,2022-08-18,md,0.567843788948899,NA,NA,1.2035
2330,2022-08-18,pd,0.465376879609233,NA,NA,1.0441
2331,2022-09-12,pd,0.57259842519685,NA,NA,2.54
2331,2022-08-18,md,0.539203406813627,NA,NA,0.7984
2331,2022-09-16,md,0.540139460039335,NA,NA,0.5593
2342,2022-08-18,pd,0.642710472279261,NA,NA,1.1688
2343,2022-08-18,md,0.671194153337011,NA,NA,1.4504
2343,2022-09-16,md,0.625556104794859,NA,NA,0.8092
2343,2022-09-12,pd,0.744446170576355,NA,NA,1.2874
2345,2022-08-18,md,0.578065395095368,NA,NA,0.734
2345,2022-09-16,md,0.542327735958309,NA,NA,0.8635
2345,2022-09-12,pd,0.708213699753897,NA,NA,1.9504
2345,2022-08-18,pd,0.591737545565006,NA,NA,0.823
2346,2022-09-16,md,0.535292574127526,NA,NA,0.3811
2346,2022-09-12,pd,0.929184023523646,NA,NA,0.8162
2346,2022-08-18,md,0.552876712328767,NA,NA,0.5475
2347,2022-09-12,pd,0.739592143595527,NA,NA,2.1282
2347,2022-08-18,pd,0.588323674608285,NA,NA,0.4659
2347,2022-08-18,md,0.666062801932367,NA,NA,0.6624
2347,2022-09-16,md,0.622602168473728,NA,NA,0.4796
2352,2022-08-18,pd,0.504237288135593,NA,NA,0.472
2352,2022-09-12,pd,0.657544956997655,NA,NA,1.279
2352,2022-09-16,md,0.547684865238424,NA,NA,0.2894
2352,2022-08-18,md,0.531367200818275,NA,NA,0.5866
2354,2022-08-18,pd,0.627728839525086,NA,NA,1.5666
2354,2022-08-18,md,0.625531503672207,NA,NA,1.0348
2354,2022-09-16,md,0.477956787810666,NA,NA,0.8007
2354,2022-09-12,pd,0.643332783005889,NA,NA,1.8171
2360,2022-09-12,pd,0.78865564984368,NA,NA,1.1195
2360,2022-08-18,pd,0.693851944792974,NA,NA,0.3188
2360,2022-09-12,pd,0.749162802679031,NA,NA,1.5528
2360,2022-08-18,md,0.592247572432305,NA,NA,1.2667
2365,2022-09-16,md,0.535108250438853,NA,NA,0.3418
2365,2022-08-18,md,0.53375,NA,NA,0.4
2365,2022-08-18,pd,0.586782267299198,NA,NA,0.6113
2367,2022-08-18,pd,0.596755797744266,NA,NA,0.7891
2367,2022-08-18,md,0.622279792746114,NA,NA,0.579
2367,2022-09-16,md,0.636964845109641,NA,NA,0.2873
2369,2022-08-18,pd,0.512151215121512,NA,NA,0.5555
2369,2022-09-12,pd,0.725609139621879,NA,NA,0.9891
2369,2022-08-18,md,0.560145492335672,NA,NA,0.7698
2370,2022-08-18,pd,0.607212857702862,NA,NA,0.7653
2370,2022-08-18,md,0.561261558784676,NA,NA,0.6056
2370,2022-09-16,md,0.62901023890785,NA,NA,0.293
2370,2022-09-12,pd,0.718773829495196,NA,NA,0.6557
2371,2022-09-12,pd,0.858463619963921,NA,NA,1.3304
2371,2022-08-18,pd,0.701129197829594,NA,NA,0.6819
2371,2022-09-16,md,0.630022183879714,NA,NA,0.4057
2372,2022-09-12,pd,0.789003212440058,NA,NA,2.1479
2372,2022-09-16,md,0.62704343764596,NA,NA,0.4282
2372,2022-08-18,pd,0.733102253032929,NA,NA,0.8655
2375,2022-08-18,md,0.602439489231942,NA,NA,1.0494
2375,2022-09-16,md,0.668363351605325,NA,NA,0.7662
2375,2022-08-18,pd,0.676780581283935,NA,NA,0.6262
2375,2022-09-12,pd,1.00362478031634,NA,NA,0.9104
2376,2022-09-12,pd,0.567171417793824,NA,NA,1.8557
2376,2022-08-18,pd,0.554793948006353,NA,NA,1.1963
2376,2022-08-18,md,0.548951211571555,NA,NA,2.1501
2376,2022-09-16,md,0.532171712255427,NA,NA,1.0273
2377,2022-09-12,pd,0.604042573967386,NA,NA,1.0241
2377,2022-08-18,md,0.423654462628649,NA,NA,0.5927
2377,2022-09-15,md,0.541074737492279,NA,NA,0.9714
2378,2022-08-18,pd,0.635625596943649,NA,NA,0.8376
2378,2022-08-18,md,0.643972517176764,NA,NA,0.9606
2378,2022-09-12,pd,0.824079723408582,NA,NA,0.9834
2378,2022-09-15,md,0.633228320344885,NA,NA,0.6031
2379,2022-09-12,pd,0.711864406779661,NA,NA,0.9971
2379,2022-08-18,pd,0.657824933687003,NA,NA,0.754
2379,2022-08-18,md,0.663801694070753,NA,NA,0.8028
2379,2022-09-15,md,0.624784853700516,NA,NA,0.2905
2380,2022-09-15,md,0.474568362109193,NA,NA,0.6429
2380,2022-08-18,md,0.486189138576779,NA,NA,0.8544
2381,2022-09-15,md,0.582907820478366,NA,NA,0.3721
2381,2022-08-18,pd,0.649250912753368,NA,NA,0.7943
2381,2022-08-18,md,0.633887414443358,NA,NA,0.7159
2381,2022-09-12,pd,0.725470117296593,NA,NA,1.0742
2382,2022-09-15,md,0.612541993281075,NA,NA,0.5358
2382,2022-09-12,pd,0.687525363201039,NA,NA,1.2321
2382,2022-09-12,pd,0.661975248726037,NA,NA,0.4121
2383,2022-09-12,pd,1.49343629343629,NA,NA,0.3885
2383,2022-08-18,md,0.562345983242977,NA,NA,1.2174
2383,2022-08-18,pd,0.663716814159292,NA,NA,0.2825
2383,2022-09-15,md,0.57862218103182,NA,NA,0.3237
2383,2022-09-12,pd,0.640724051019629,NA,NA,1.3093
2384,2022-09-12,pd,0.803394907638542,NA,NA,1.0015
2384,2022-08-18,pd,0.604611310172924,NA,NA,0.6419
