effect,group,term,estimate,std.error,statistic,mod,nobs,sigma,logLik,AIC,BIC,REMLcrit,df.residual,R2m,R2c,var
fixed,NA,(Intercept),-2.4860532711646472,0.28116029517421914,-8.842120718447037,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
fixed,NA,lwc_mean_centered,0.5456259587246237,0.2756522776879094,1.9793994205350833,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,tree,sd__(Intercept),0.157082642618931,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,sd__(Intercept),0.6308932821018963,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,cor__(Intercept).lwc_mean_centered,1,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,sd__lwc_mean_centered,0.005024772417250692,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,site,sd__(Intercept),0.29097818172386886,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,Residual,sd__Observation,0.42789687688768663,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
fixed,NA,(Intercept),-2.637532823569858,0.2924654538175629,-9.018271351853834,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
fixed,NA,lwc_mean,1.032349057001066,0.36550455306591934,2.824449239664821,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,tree,sd__(Intercept),0.0050195170496313635,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,tree,cor__(Intercept).lwc_mean,-1,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,tree,sd__lwc_mean,0.005495301494971772,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,sd__(Intercept),0,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,cor__(Intercept).lwc_mean,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,sd__lwc_mean,0.25155337460822713,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,site,sd__(Intercept),0.20640243189211022,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,Residual,sd__Observation,0.838470155921256,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
fixed,NA,(Intercept),-2.637532823569858,0.2924654538175629,-9.018271351853834,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
fixed,NA,lwc_mean,1.032349057001066,0.36550455306591934,2.824449239664821,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,tree,sd__(Intercept),0.0050195170496313635,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,tree,cor__(Intercept).lwc_mean,-1,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,tree,sd__lwc_mean,0.005495301494971772,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,sd__(Intercept),0,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,cor__(Intercept).lwc_mean,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,sd__lwc_mean,0.25155337460822713,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,site,sd__(Intercept),0.20640243189211022,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,Residual,sd__Observation,0.838470155921256,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
NA,NA,NA,NA,NA,NA,space,75,0.42789687688768663,-60.62925473928934,137.25850947857867,155.79841438686915,121.25850947857867,67,0.017954778752756608,0.7395808520409798,lwc_mean
NA,NA,NA,NA,NA,NA,hyd,155,0.838470155921256,-197.16727575449008,414.33455150898016,444.7688026781726,394.33455150898016,145,0.06464613136596405,0.15932478529154787,lwc_mean
NA,NA,NA,NA,NA,NA,time,83,0.4260826389554577,-60.607010328881834,139.21402065776368,160.98358612793305,121.21402065776367,74,0.29897551307780745,0.7046420371107123,lwc_mean
NA,NA,NA,NA,NA,NA,interaction,83,0.42032000796778424,-64.3251269895018,144.6502539790036,164.00097884137637,128.6502539790036,75,0.39900981851669914,0.6573641617251027,lwc_mean
