effect,group,term,estimate,std.error,statistic,df,p.value,mod,nobs,sigma,logLik,AIC,BIC,deviance,df.residual,REMLcrit,R2m,R2c,var
fixed,NA,(Intercept),-2.633655912385376,0.2901588327909863,-9.076600863922382,7.767610640752005,2.1050451203443975e-5,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
fixed,NA,lwc_mean_centered,2.053536146786324,0.8131741701819897,2.525333713350412,3.1417374929466506,0.08199660604090786,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
ran_pars,tree,sd__(Intercept),0.4119562201138003,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
ran_pars,week,sd__(Intercept),0.7132279750930804,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
ran_pars,week,cor__(Intercept).lwc_mean_centered,-0.8683482670199536,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
ran_pars,week,sd__lwc_mean_centered,1.770516699778709,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
ran_pars,Residual,sd__Observation,0.3660332365618118,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
fixed,NA,(Intercept),-3.937404040775403,1.3580857124730903,-2.8992308840399645,6.613082770685821,0.024510967265261883,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
fixed,NA,lwc_mean,3.694144293257319,2.0308981232102266,1.818970755371033,6.063768150515649,0.11827200253470085,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
ran_pars,tree,sd__(Intercept),0.8228071243827532,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
ran_pars,tree,cor__(Intercept).lwc_mean,-1,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
ran_pars,tree,sd__lwc_mean,0.9092862423767312,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
ran_pars,week,sd__(Intercept),3.6631957307104166,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
ran_pars,week,cor__(Intercept).lwc_mean,-0.9926767251590967,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
ran_pars,week,sd__lwc_mean,5.490857555017261,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
ran_pars,Residual,sd__Observation,0.7725434319322698,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
fixed,NA,(Intercept),-3.937404040775403,1.3580857124730903,-2.8992308840399645,6.613082770685821,0.024510967265261883,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
fixed,NA,lwc_mean,3.694144293257319,2.0308981232102266,1.818970755371033,6.063768150515649,0.11827200253470085,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
ran_pars,tree,sd__(Intercept),0.8228071243827532,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
ran_pars,tree,cor__(Intercept).lwc_mean,-1,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
ran_pars,tree,sd__lwc_mean,0.9092862423767312,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
ran_pars,week,sd__(Intercept),3.6631957307104166,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
ran_pars,week,cor__(Intercept).lwc_mean,-0.9926767251590967,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
ran_pars,week,sd__lwc_mean,5.490857555017261,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
ran_pars,Residual,sd__Observation,0.7725434319322698,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc
NA,NA,NA,NA,NA,NA,NA,NA,space,175,0.33117115228947164,-102.82859428918056,219.65718857836112,241.8106903958257,205.65718857836112,168,NA,0.056978824352742645,0.8578118963647094,lwc
NA,NA,NA,NA,NA,NA,NA,NA,hyd,233,0.7725434319322698,-297.256617328173,612.513234656346,643.5725807384373,NA,224,594.513234656346,0.19259877585309979,0.7392041782751816,lwc
NA,NA,NA,NA,NA,NA,NA,NA,time,105,0.4388009580330916,-84.58675773131401,187.17351546262802,211.0591586140457,NA,96,169.17351546262802,0.23116504478794264,0.7505646702119887,lwc
NA,NA,NA,NA,NA,NA,NA,NA,interaction,105,0.4440514271658638,-86.79721812161043,189.59443624322085,210.82611904448103,NA,97,173.59443624322085,0.2763254494691149,0.7582762401657106,lwc
