"","tree","week","species","site","plot","time","date_wp","date_wc","date_lfm","date_rwc"
"1",1478,13,"blue oak","Cucu Mesa","Low","pd",NA,NA,"2022-03-30",NA
"2",1478,15,"blue oak","Cucu Mesa","Low","md",2022-04-13,2022-04-13,NA,"2022-04-14"
"3",1478,13,"blue oak","Cucu Mesa","Low","md",NA,NA,"2022-03-30",NA
"4",1478,19,"blue oak","Cucu Mesa","Low","md",2022-05-09,NA,NA,"2022-05-09"
"5",1478,21,"blue oak","Cucu Mesa","Low","md",NA,NA,"2022-05-25",NA
"6",1478,29,"blue oak","Cucu Mesa","Low","md",2022-07-19,2022-07-19,NA,NA
"7",1478,17,"blue oak","Cucu Mesa","Low","md",NA,NA,"2022-04-27",NA
"8",1478,21,"blue oak","Cucu Mesa","Low","pd",NA,NA,"2022-05-25",NA
"9",2004,9,"blue oak","Cucu Mesa","High","md",NA,NA,"2022-02-28",NA
"10",2004,9,"blue oak","Cucu Mesa","High","pd",NA,NA,"2022-02-28",NA
"11",2004,13,"blue oak","Cucu Mesa","High","pd",NA,NA,"2022-03-30",NA
"12",2004,21,"blue oak","Cucu Mesa","High","pd",NA,NA,"2022-05-25",NA
"13",2004,29,"blue oak","Cucu Mesa","High","pd",2022-07-19,2022-07-19,NA,NA
"14",2004,15,"blue oak","Cucu Mesa","High","md",2022-04-13,2022-04-13,"2022-04-12","2022-04-14"
"15",2004,17,"blue oak","Cucu Mesa","High","md",NA,NA,"2022-04-27",NA
"16",2004,17,"blue oak","Cucu Mesa","High","pd",NA,NA,"2022-04-27",NA
"17",2004,21,"blue oak","Cucu Mesa","High","md",NA,NA,"2022-05-25",NA
"18",2005,17,"blue oak","Cucu Mesa","High","md",NA,NA,"2022-04-27",NA
"19",2005,13,"blue oak","Cucu Mesa","High","md",NA,NA,"2022-03-30",NA
"20",2005,15,"blue oak","Cucu Mesa","High","md",2022-04-13,2022-04-13,NA,"2022-04-14"
"21",2005,13,"blue oak","Cucu Mesa","High","pd",NA,NA,"2022-03-30",NA
"22",2005,9,"blue oak","Cucu Mesa","High","pd",NA,NA,"2022-02-28",NA
"23",2005,29,"blue oak","Cucu Mesa","High","md",2022-07-19,2022-07-19,NA,NA
"24",2005,17,"blue oak","Cucu Mesa","High","pd",NA,NA,"2022-04-27",NA
"25",2005,19,"blue oak","Cucu Mesa","High","md",2022-05-09,NA,NA,"2022-05-09"
"26",2005,21,"blue oak","Cucu Mesa","High","md",NA,NA,"2022-05-25",NA
"27",2005,21,"blue oak","Cucu Mesa","High","md",NA,NA,"2022-05-23",NA
"28",2005,21,"blue oak","Cucu Mesa","High","pd",NA,NA,"2022-05-25",NA
"29",2006,15,"blue oak","Cucu Mesa","High","md",2022-04-13,2022-04-13,"2022-04-12",NA
"30",2006,19,"blue oak","Cucu Mesa","High","md",2022-05-09,NA,NA,"2022-05-09"
"31",2006,29,"blue oak","Cucu Mesa","High","md",2022-07-19,2022-07-19,NA,NA
"32",2006,21,"blue oak","Cucu Mesa","High","md",NA,NA,"2022-05-25",NA
"33",2006,29,"blue oak","Cucu Mesa","High","pd",2022-07-19,2022-07-19,NA,NA
"34",2006,21,"blue oak","Cucu Mesa","High","pd",NA,NA,"2022-05-25",NA
"35",2006,17,"blue oak","Cucu Mesa","High","pd",NA,NA,"2022-04-27",NA
"36",2006,9,"blue oak","Cucu Mesa","High","md",NA,NA,"2022-02-28",NA
"37",2006,13,"blue oak","Cucu Mesa","High","pd",NA,NA,"2022-03-30",NA
"38",2006,17,"blue oak","Cucu Mesa","High","md",NA,NA,"2022-04-27",NA
"39",2007,13,"blue oak","Cucu Mesa","High","pd",NA,NA,"2022-03-30",NA
"40",2007,15,"blue oak","Cucu Mesa","High","md",2022-04-13,2022-04-13,NA,"2022-04-14"
"41",2007,19,"blue oak","Cucu Mesa","High","md",2022-05-09,NA,NA,"2022-05-09"
"42",2007,21,"blue oak","Cucu Mesa","High","md",NA,NA,"2022-05-25",NA
"43",2007,17,"blue oak","Cucu Mesa","High","pd",NA,NA,"2022-04-27",NA
"44",2007,29,"blue oak","Cucu Mesa","High","md",2022-07-19,2022-07-19,NA,NA
"45",2007,29,"blue oak","Cucu Mesa","High","pd",2022-07-19,2022-07-19,NA,NA
"46",2007,17,"blue oak","Cucu Mesa","High","md",NA,NA,"2022-04-27",NA
"47",2007,21,"blue oak","Cucu Mesa","High","pd",NA,NA,"2022-05-25",NA
"48",2007,10,"blue oak","Cucu Mesa","High","md",NA,NA,"2022-03-08",NA
"49",2007,13,"blue oak","Cucu Mesa","High","md",NA,NA,"2022-03-30",NA
"50",2007,9,"blue oak","Cucu Mesa","High","md",NA,NA,"2022-02-28",NA
"51",2007,9,"blue oak","Cucu Mesa","High","pd",NA,NA,"2022-02-28",NA
"52",2009,12,"blue oak","LL","Hobbiton","md",2022-03-25,2022-03-25,NA,NA
"53",2009,13,"blue oak","LL","Hobbiton","pd",2022-03-30,2022-03-30,"2022-03-30",NA
"54",2009,12,"blue oak","LL","Hobbiton","pd",2022-03-25,2022-03-25,NA,NA
"55",2009,15,"blue oak","LL","Hobbiton","md",2022-04-13,2022-04-13,NA,"2022-04-14"
"56",2009,15,"blue oak","LL","Hobbiton","md",2022-04-13,2022-04-13,NA,"2022-04-12"
"57",2009,15,"blue oak","LL","Hobbiton","pd",2022-04-11,2022-04-11,NA,"2022-04-14"
"58",2009,15,"blue oak","LL","Hobbiton","pd",2022-04-11,2022-04-11,NA,"2022-04-12"
"59",2009,17,"blue oak","LL","Hobbiton","md",2022-04-25,2022-04-25,"2022-04-25",NA
"60",2009,17,"blue oak","LL","Hobbiton","pd",2022-04-25,2022-04-25,"2022-04-25",NA
"61",2009,18,"blue oak","LL","Hobbiton","md",2022-05-04,2022-05-04,NA,"2022-05-03"
"62",2009,19,"blue oak","LL","Hobbiton","md",2022-05-09,NA,NA,NA
"63",2009,19,"blue oak","LL","Hobbiton","pd",2022-05-09,NA,NA,NA
"64",2009,21,"blue oak","LL","Hobbiton","md",2022-05-23,2022-05-23,"2022-05-23","2022-05-25"
"65",2009,21,"blue oak","LL","Hobbiton","pd",2022-05-23,2022-05-23,"2022-05-23","2022-05-25"
"66",2009,29,"blue oak","LL","Hobbiton","md",2022-07-19,2022-07-19,NA,NA
"67",2009,33,"blue oak","LL","Hobbiton","md",NA,2022-08-18,NA,NA
"68",2009,33,"blue oak","LL","Hobbiton","pd",NA,2022-08-18,NA,NA
"69",2010,12,"blue oak","LL","Weathertop","pd",2022-03-25,2022-03-25,NA,NA
"70",2010,12,"blue oak","LL","Weathertop","md",2022-03-25,2022-03-25,NA,NA
"71",2010,13,"blue oak","LL","Weathertop","pd",2022-03-30,2022-03-30,"2022-03-30",NA
"72",2010,15,"blue oak","LL","Weathertop","md",2022-04-13,2022-04-13,NA,"2022-04-14"
"73",2010,15,"blue oak","LL","Weathertop","pd",2022-04-11,2022-04-11,NA,"2022-04-14"
"74",2010,17,"blue oak","LL","Weathertop","md",2022-04-25,2022-04-25,"2022-04-25",NA
"75",2010,17,"blue oak","LL","Weathertop","pd",2022-04-25,2022-04-25,"2022-04-25",NA
"76",2010,18,"blue oak","LL","Weathertop","md",2022-05-04,2022-05-04,NA,"2022-05-03"
"77",2010,19,"blue oak","LL","Weathertop","md",2022-05-09,NA,NA,NA
"78",2010,19,"blue oak","LL","Weathertop","pd",2022-05-09,NA,NA,NA
"79",2010,21,"blue oak","LL","Weathertop","md",2022-05-23,2022-05-23,"2022-05-23","2022-05-25"
"80",2010,21,"blue oak","LL","Weathertop","pd",2022-05-23,2022-05-23,NA,"2022-05-25"
"81",2010,29,"blue oak","LL","Weathertop","md",2022-07-19,2022-07-19,NA,NA
"82",2010,29,"blue oak","LL","Weathertop","pd",2022-07-19,2022-07-19,NA,NA
"83",2010,33,"blue oak","LL","Weathertop","md",NA,2022-08-18,NA,NA
"84",2010,33,"blue oak","LL","Weathertop","pd",NA,2022-08-18,NA,NA
"85",2011,15,"blue oak","LL","Weathertop","md",2022-04-13,2022-04-13,NA,"2022-04-14"
"86",2011,15,"blue oak","LL","Weathertop","pd",2022-04-11,2022-04-11,NA,"2022-04-14"
"87",2011,17,"blue oak","LL","Weathertop","md",2022-04-25,2022-04-25,"2022-04-25",NA
"88",2011,18,"blue oak","LL","Weathertop","md",2022-05-04,2022-05-04,NA,"2022-05-04"
"89",2011,17,"blue oak","LL","Weathertop","pd",2022-04-25,2022-04-25,"2022-04-25",NA
