effect,group,term,estimate,std.error,statistic,mod,nobs,sigma,logLik,AIC,BIC,REMLcrit,df.residual,R2m,R2c,var
fixed,NA,(Intercept),-2.433837336102342,0.3180200947005487,-7.653092922930139,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
fixed,NA,lwa_g_cm2_new_centered,39.67156802798512,15.460093944335261,2.566062545986093,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,tree,sd__(Intercept),7.852210208660292e-5,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,week,sd__(Intercept),0.649910551758831,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,week,cor__(Intercept).lwa_g_cm2_new_centered,0.9999922277660908,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,week,sd__lwa_g_cm2_new_centered,19.516941162398055,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,site,sd__(Intercept),0.3525403090788259,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,Residual,sd__Observation,0.4300379321253826,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
fixed,NA,(Intercept),-2.144774898016852,0.39917111019599344,-5.373071455406092,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
fixed,NA,lwa_g_cm2_new,35.53961651355078,26.501071139658148,1.3410633980136257,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,tree,sd__(Intercept),0.4430054916314421,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,tree,cor__(Intercept).lwa_g_cm2_new,-0.9999999996267481,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,tree,sd__lwa_g_cm2_new,29.069637760635995,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,week,sd__(Intercept),0,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,week,cor__(Intercept).lwa_g_cm2_new,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,week,sd__lwa_g_cm2_new,42.88332874705582,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,site,sd__(Intercept),0.4661173453678252,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,Residual,sd__Observation,0.8197741525180512,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
fixed,NA,(Intercept),-2.144774898016852,0.39917111019599344,-5.373071455406092,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
fixed,NA,lwa_g_cm2_new,35.53961651355078,26.501071139658148,1.3410633980136257,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,tree,sd__(Intercept),0.4430054916314421,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,tree,cor__(Intercept).lwa_g_cm2_new,-0.9999999996267481,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,tree,sd__lwa_g_cm2_new,29.069637760635995,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,week,sd__(Intercept),0,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,week,cor__(Intercept).lwa_g_cm2_new,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,week,sd__lwa_g_cm2_new,42.88332874705582,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,site,sd__(Intercept),0.4661173453678252,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,Residual,sd__Observation,0.8197741525180512,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
NA,NA,NA,NA,NA,NA,space,54,0.4300379321253826,-39.678865475337226,95.35773095067445,111.26960332318865,79.35773095067445,46,0.038462887165291275,0.7598553955280065,lwa_g_cm2_new
NA,NA,NA,NA,NA,NA,hyd,117,0.8197741525180512,-150.23755751815406,320.4751150363081,348.0968543842857,300.4751150363081,107,0.01936120842352649,0.48152749292549624,lwa_g_cm2_new
NA,NA,NA,NA,NA,NA,time,54,0.4703074426812466,-38.485207478714116,94.97041495742823,112.87127137650671,76.97041495742823,45,0.1823606644132122,0.6732515243966325,lwa_g_cm2_new
NA,NA,NA,NA,NA,NA,interaction,54,0.4639755189917088,-42.845653569166736,101.69130713833347,117.60317951084767,85.69130713833347,46,0.17855665768441265,0.6668968247018542,lwa_g_cm2_new
