effect,group,term,estimate,std.error,statistic,df,p.value,mod,nobs,sigma,logLik,AIC,BIC,REMLcrit,df.residual,R2m,R2c,var
fixed,NA,(Intercept),-2.937617196439161,0.3284723197915026,-8.943271683604298,8.491372757372435,1.3209517261686802e-5,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
fixed,NA,lwc_mean_centered,1.6609762301980178,0.29672943775617255,5.597611894384639,3.19844643387765,0.009471667814612247,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,tree,sd__(Intercept),0.11301339909697354,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,sd__(Intercept),0.967345523087765,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,cor__(Intercept).lwc_mean_centered,-0.9999999827378118,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,sd__lwc_mean_centered,0.6897964452501654,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,site,sd__(Intercept),0.10680224993864804,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,Residual,sd__Observation,0.35233569173796153,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
fixed,NA,(Intercept),-5.746774626364637,0.9024782281538587,-6.367770930186805,8.043225114819538,2.1153577731126584e-4,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
fixed,NA,lwc_mean,4.4635247686856525,1.0670609749262676,4.183008163140888,7.582030362818618,0.0034536007755677457,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,tree,sd__(Intercept),0.19855993818128573,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,tree,cor__(Intercept).lwc_mean,-1,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,tree,sd__lwc_mean,0.11035032858324954,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,sd__(Intercept),2.6174906487898024,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,cor__(Intercept).lwc_mean,-0.9960307812921988,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,sd__lwc_mean,3.0895893523042037,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,site,sd__(Intercept),0.08193181904562111,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,Residual,sd__Observation,0.6190336194159483,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
fixed,NA,(Intercept),-5.746774626364637,0.9024782281538587,-6.367770930186805,8.043225114819538,2.1153577731126584e-4,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
fixed,NA,lwc_mean,4.4635247686856525,1.0670609749262676,4.183008163140888,7.582030362818618,0.0034536007755677457,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,tree,sd__(Intercept),0.19855993818128573,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,tree,cor__(Intercept).lwc_mean,-1,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,tree,sd__lwc_mean,0.11035032858324954,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,sd__(Intercept),2.6174906487898024,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,cor__(Intercept).lwc_mean,-0.9960307812921988,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,week,sd__lwc_mean,3.0895893523042037,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,site,sd__(Intercept),0.08193181904562111,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
ran_pars,Residual,sd__Observation,0.6190336194159483,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean
NA,NA,NA,NA,NA,NA,NA,NA,space,267,0.35233569173796153,-136.79546795636003,289.59093591272006,318.28892517992205,273.59093591272006,259,0.03921633372310861,0.8906821726315615,lwc_mean
NA,NA,NA,NA,NA,NA,NA,NA,hyd,525,0.6190336194159483,-524.513991675851,1069.027983351702,1111.6619659776181,1049.027983351702,515,0.5702730175555084,0.874372080481514,lwc_mean
NA,NA,NA,NA,NA,NA,NA,NA,time,269,0.349135717250188,-129.77868395718994,277.5573679143799,309.90977033079645,259.5573679143799,260,0.5275439595658228,0.872753391578508,lwc_mean
NA,NA,NA,NA,NA,NA,NA,NA,interaction,269,0.35307362346636006,-137.06904703117002,290.13809406234003,318.89578509915475,274.13809406234003,261,0.6809240662762459,0.8607900802022003,lwc_mean
