"","site","week","tree","date","plot","species","mpa","time","date_wp","cwc","date_shift","week_cwc_link"
"1","Chamise",8,"2020",2022-02-24,NA,NA,NA,NA,NA,0.0081685,2022-02-24,8
"2","Chamise",8,"2021",2022-02-24,NA,NA,NA,NA,NA,0.0411761,2022-02-24,8
"3","Chamise",8,"2022",2022-02-24,NA,NA,NA,NA,NA,0.09625,2022-02-24,8
"4","Chamise",8,"2023",2022-02-24,NA,NA,NA,NA,NA,0.103377,2022-02-24,8
"5","Chamise",8,"2024",2022-02-24,NA,NA,NA,NA,NA,0.0138477,2022-02-24,8
"6","Chamise",8,"2025",2022-02-24,NA,NA,NA,NA,NA,0.0547827,2022-02-24,8
"7","Chamise",8,"2026",2022-02-24,NA,NA,NA,NA,NA,0.0263692,2022-02-24,8
"8","Chamise",8,"2027",2022-02-24,NA,NA,NA,NA,NA,0.0280186,2022-02-24,8
"9","Chamise",8,"2028",2022-02-24,NA,NA,NA,NA,NA,0,2022-02-24,8
"10","Chamise",8,"2029",2022-02-24,NA,NA,NA,NA,NA,0.0582664,2022-02-24,8
"11","Chamise",8,"2030",2022-02-24,NA,NA,NA,NA,NA,0.0349577,2022-02-24,8
"12","Chamise",8,"2031",2022-02-24,NA,NA,NA,NA,NA,0.0597379,2022-02-24,8
"13","Chamise",9,"2020",2022-02-28,NA,NA,NA,NA,NA,0.0499212,2022-02-28,9
"14","Chamise",9,"2021",2022-02-28,NA,NA,NA,NA,NA,0.0678666,2022-02-28,9
"15","Chamise",9,"2022",2022-02-28,NA,NA,NA,NA,NA,0.0785979,2022-02-28,9
"16","Chamise",9,"2023",2022-02-28,NA,NA,NA,NA,NA,0.0401076,2022-02-28,9
"17","Chamise",9,"2024",2022-02-28,NA,NA,NA,NA,NA,0.0299979,2022-02-28,9
"18","Chamise",9,"2025",2022-02-28,NA,NA,NA,NA,NA,0.0633543,2022-02-28,9
"19","Chamise",9,"2026",2022-02-28,NA,NA,NA,NA,NA,0.0463219,2022-02-28,9
"20","Chamise",9,"2027",2022-02-28,NA,NA,NA,NA,NA,0.0669415,2022-02-28,9
"21","Chamise",9,"2028",2022-02-28,NA,NA,NA,NA,NA,0.0597742,2022-02-28,9
"22","Chamise",9,"2029",2022-02-28,NA,NA,NA,NA,NA,0.0872501,2022-02-28,9
"23","Chamise",9,"2030",2022-02-28,NA,NA,NA,NA,NA,0.0399372,2022-02-28,9
"24","Chamise",9,"2031",2022-02-28,NA,NA,NA,NA,NA,0.0672955,2022-02-28,9
"25","Chamise",10,"10",2022-03-08,"Chamise","ARCA",3.51,"md",2022-03-08,NA,NA,NA
"26","Chamise",10,"10",2022-03-08,"Chamise","ARCA",3.01,"md",2022-03-08,NA,NA,NA
"27","Chamise",10,"10",2022-03-08,"Chamise","ARCA",2.07,"md",2022-03-08,NA,NA,NA
"28","Chamise",10,"10",2022-03-08,"Chamise","ARCA",3.117,"md",2022-03-08,NA,NA,NA
"29","Chamise",10,"10",2022-03-08,"Chamise","ARCA",2.87,"md",2022-03-08,NA,NA,NA
"30","Chamise",10,"10",2022-03-08,"Chamise","ARCA",1.33,"pd",2022-03-08,NA,NA,NA
"31","Chamise",10,"10",2022-03-08,"Chamise","ARCA",1.39,"pd",2022-03-08,NA,NA,NA
"32","Chamise",10,"10",2022-03-08,"Chamise","ARCA",1.08,"pd",2022-03-08,NA,NA,NA
"33","Chamise",10,"10",2022-03-08,"Chamise","ARCA",1.307,"pd",2022-03-08,NA,NA,NA
"34","Chamise",10,"10",2022-03-08,"Chamise","ARCA",1.27,"pd",2022-03-08,NA,NA,NA
"35","Chamise",10,"10",2022-03-08,"Chamise","ARCA",1.38,"pd",2022-03-08,NA,NA,NA
"36","Chamise",10,"10",2022-03-08,"Chamise","ARCA",1.4,"pd",2022-03-08,NA,NA,NA
"37","Chamise",10,"2020",2022-03-08,"Chamise","blue oak",2.2,"md",2022-03-08,0.0099316,2022-03-08,10
"38","Chamise",10,"2020",2022-03-08,"Chamise","blue oak",2.02,"md",2022-03-08,0.0099316,2022-03-08,10
"39","Chamise",10,"2020",2022-03-08,"Chamise","blue oak",2.3,"md",2022-03-08,0.0099316,2022-03-08,10
"40","Chamise",10,"2021",2022-03-08,"Chamise","blue oak",1.91,"md",2022-03-08,0.088121,2022-03-08,10
"41","Chamise",10,"2021",2022-03-08,"Chamise","blue oak",1.9,"md",2022-03-08,0.088121,2022-03-08,10
"42","Chamise",10,"2021",2022-03-08,"Chamise","blue oak",1.81,"md",2022-03-08,0.088121,2022-03-08,10
"43","Chamise",10,"2022",2022-03-08,"Chamise","live oak",1.85,"md",2022-03-08,0.0771133,2022-03-08,10
"44","Chamise",10,"2022",2022-03-08,"Chamise","live oak",1.95,"md",2022-03-08,0.0771133,2022-03-08,10
"45","Chamise",10,"2022",2022-03-08,"Chamise","live oak",2.1,"md",2022-03-08,0.0771133,2022-03-08,10
"46","Chamise",10,"2022",2022-03-08,"Chamise","live oak",2.05,"md",2022-03-08,0.0771133,2022-03-08,10
"47","Chamise",10,"2023",2022-03-08,"Chamise","live oak",1.55,"md",2022-03-08,0.0451304,2022-03-08,10
"48","Chamise",10,"2023",2022-03-08,"Chamise","live oak",1.75,"md",2022-03-08,0.0451304,2022-03-08,10
"49","Chamise",10,"2023",2022-03-08,"Chamise","live oak",1.85,"md",2022-03-08,0.0451304,2022-03-08,10
"50","Chamise",10,"2023",2022-03-08,"Chamise","live oak",1.43,"md",2022-03-08,0.0451304,2022-03-08,10
"51","Chamise",10,"2023",2022-03-08,"Chamise","live oak",1.7,"md",2022-03-08,0.0451304,2022-03-08,10
"52","Chamise",10,"2024",2022-03-08,"Chamise","blue oak",1.65,"md",2022-03-08,0.0646295,2022-03-08,10
"53","Chamise",10,"2024",2022-03-08,"Chamise","blue oak",1.72,"md",2022-03-08,0.0646295,2022-03-08,10
"54","Chamise",10,"2025",2022-03-08,"Chamise","blue oak",2.07,"md",2022-03-08,0.0585263,2022-03-08,10
"55","Chamise",10,"2025",2022-03-08,"Chamise","blue oak",1.79,"md",2022-03-08,0.0585263,2022-03-08,10
"56","Chamise",10,"2025",2022-03-08,"Chamise","blue oak",1.71,"md",2022-03-08,0.0585263,2022-03-08,10
"57","Chamise",10,"2025",2022-03-08,"Chamise","blue oak",1.64,"md",2022-03-08,0.0585263,2022-03-08,10
"58","Chamise",10,"2026",2022-03-08,"Shedd","blue oak",1.96,"md",2022-03-08,0.0198936,2022-03-08,10
"59","Chamise",10,"2026",2022-03-08,"Shedd","blue oak",1.93,"md",2022-03-08,0.0198936,2022-03-08,10
"60","Chamise",10,"2027",2022-03-08,NA,NA,NA,NA,NA,0.0576295,2022-03-08,10
"61","Chamise",10,"2028",2022-03-08,NA,NA,NA,NA,NA,0.0243976,2022-03-08,10
"62","Chamise",10,"2029",2022-03-08,NA,NA,NA,NA,NA,0.0694655,2022-03-08,10
"63","Chamise",10,"2030",2022-03-08,NA,NA,NA,NA,NA,0.0179141,2022-03-08,10
"64","Chamise",10,"2031",2022-03-08,NA,NA,NA,NA,NA,0.0469958,2022-03-08,10
"65","Chamise",11,"10",2022-03-15,"Chamise","ARCA",2.1,"pd",2022-03-15,NA,NA,NA
"66","Chamise",11,"10",2022-03-15,"Chamise","ARCA",1.76,"pd",2022-03-15,NA,NA,NA
"67","Chamise",11,"10",2022-03-15,"Chamise","ARCA",1.98,"pd",2022-03-15,NA,NA,NA
"68","Chamise",11,"10",2022-03-15,"Chamise","ARCA",2.04,"pd",2022-03-15,NA,NA,NA
"69","Chamise",11,"10",2022-03-15,"Chamise","ARCA",1.8,"pd",2022-03-15,NA,NA,NA
"70","Chamise",11,"2020",2022-03-15,"Chamise","blue oak",1.64,"pd",2022-03-15,NA,NA,NA
"71","Chamise",11,"2020",2022-03-15,"Chamise","blue oak",1.315,"pd",2022-03-15,NA,NA,NA
"72","Chamise",11,"2020",2022-03-15,"Chamise","blue oak",1.786,"pd",2022-03-15,NA,NA,NA
"73","Chamise",11,"2020",2022-03-15,"Chamise","blue oak",1.59,"pd",2022-03-15,NA,NA,NA
"74","Chamise",11,"2020",2022-03-16,NA,NA,NA,NA,NA,0.0208403,2022-03-16,11
"75","Chamise",11,"2021",2022-03-15,"Chamise","blue oak",1.52,"pd",2022-03-15,NA,NA,NA
"76","Chamise",11,"2021",2022-03-15,"Chamise","blue oak",1.14,"pd",2022-03-15,NA,NA,NA
"77","Chamise",11,"2021",2022-03-15,"Chamise","blue oak",1.53,"pd",2022-03-15,NA,NA,NA
"78","Chamise",11,"2021",2022-03-16,NA,NA,NA,NA,NA,0.0557041,2022-03-16,11
"79","Chamise",11,"2022",2022-03-15,"Chamise","live oak",0.92,"pd",2022-03-15,NA,NA,NA
"80","Chamise",11,"2022",2022-03-15,"Chamise","live oak",0.55,"pd",2022-03-15,NA,NA,NA
"81","Chamise",11,"2022",2022-03-15,"Chamise","live oak",1.56,"pd",2022-03-15,NA,NA,NA
"82","Chamise",11,"2022",2022-03-15,"Chamise","live oak",0.98,"pd",2022-03-15,NA,NA,NA
"83","Chamise",11,"2022",2022-03-16,NA,NA,NA,NA,NA,0.0639795,2022-03-16,11
"84","Chamise",11,"2023",2022-03-15,"Chamise","live oak",0.782,"pd",2022-03-15,NA,NA,NA
"85","Chamise",11,"2023",2022-03-15,"Chamise","live oak",0.645,"pd",2022-03-15,NA,NA,NA
"86","Chamise",11,"2023",2022-03-15,"Chamise","live oak",0.779,"pd",2022-03-15,NA,NA,NA
"87","Chamise",11,"2023",2022-03-15,"Chamise","live oak",0.617,"pd",2022-03-15,NA,NA,NA
"88","Chamise",11,"2023",2022-03-16,NA,NA,NA,NA,NA,0.0528355,2022-03-16,11
"89","Chamise",11,"2024",2022-03-15,"Chamise","blue oak",0.77,"pd",2022-03-15,NA,NA,NA
"90","Chamise",11,"2024",2022-03-15,"Chamise","blue oak",0.9,"pd",2022-03-15,NA,NA,NA
"91","Chamise",11,"2024",2022-03-15,"Chamise","blue oak",1.26,"pd",2022-03-15,NA,NA,NA
"92","Chamise",11,"2024",2022-03-15,"Chamise","blue oak",1.44,"pd",2022-03-15,NA,NA,NA
"93","Chamise",11,"2024",2022-03-16,NA,NA,NA,NA,NA,0.0378035,2022-03-16,11
"94","Chamise",11,"2025",2022-03-15,"Chamise","blue oak",1.1,"pd",2022-03-15,NA,NA,NA
"95","Chamise",11,"2025",2022-03-15,"Chamise","blue oak",1.35,"pd",2022-03-15,NA,NA,NA
"96","Chamise",11,"2025",2022-03-15,"Chamise","blue oak",1.42,"pd",2022-03-15,NA,NA,NA
"97","Chamise",11,"2025",2022-03-15,"Chamise","blue oak",1.5,"pd",2022-03-15,NA,NA,NA
"98","Chamise",11,"2025",2022-03-16,NA,NA,NA,NA,NA,0.0651471,2022-03-16,11
"99","Chamise",11,"2026",2022-03-15,"Shedd","blue oak",1.6,"pd",2022-03-15,NA,NA,NA
"100","Chamise",11,"2026",2022-03-15,"Shedd","blue oak",1.15,"pd",2022-03-15,NA,NA,NA
"101","Chamise",11,"2026",2022-03-15,"Shedd","blue oak",1.59,"pd",2022-03-15,NA,NA,NA
"102","Chamise",11,"2026",2022-03-15,"Shedd","blue oak",1.43,"pd",2022-03-15,NA,NA,NA
"103","Chamise",11,"2026",2022-03-16,NA,NA,NA,NA,NA,0,2022-03-16,11
"104","Chamise",11,"2027",2022-03-15,"Shedd","blue oak",1.55,"pd",2022-03-15,NA,NA,NA
"105","Chamise",11,"2027",2022-03-15,"Shedd","blue oak",1.4,"pd",2022-03-15,NA,NA,NA
"106","Chamise",11,"2027",2022-03-15,"Shedd","blue oak",1.32,"pd",2022-03-15,NA,NA,NA
"107","Chamise",11,"2027",2022-03-15,"Shedd","blue oak",1.39,"pd",2022-03-15,NA,NA,NA
"108","Chamise",11,"2027",2022-03-15,"Shedd","blue oak",1.42,"pd",2022-03-15,NA,NA,NA
"109","Chamise",11,"2027",2022-03-15,"Shedd","blue oak",1.6,"pd",2022-03-15,NA,NA,NA
"110","Chamise",11,"2027",2022-03-16,NA,NA,NA,NA,NA,0.0739476,2022-03-16,11
"111","Chamise",11,"2028",2022-03-16,NA,NA,NA,NA,NA,0.0567611,2022-03-16,11
"112","Chamise",11,"2029",2022-03-16,NA,NA,NA,NA,NA,0.0455434,2022-03-16,11
"113","Chamise",11,"2030",2022-03-16,NA,NA,NA,NA,NA,0.0048658,2022-03-16,11
"114","Chamise",11,"2031",2022-03-16,NA,NA,NA,NA,NA,0.0493786,2022-03-16,11
"115","Chamise",12,"2020",2022-03-22,NA,NA,NA,NA,NA,0.0394516,2022-03-22,12
"116","Chamise",12,"2021",2022-03-22,NA,NA,NA,NA,NA,0.0546714,2022-03-22,12
"117","Chamise",12,"2022",2022-03-22,NA,NA,NA,NA,NA,0.0428337,2022-03-22,12
"118","Chamise",12,"2023",2022-03-22,NA,NA,NA,NA,NA,0.0956665,2022-03-22,12
"119","Chamise",12,"2024",2022-03-22,NA,NA,NA,NA,NA,0.042812,2022-03-22,12
"120","Chamise",12,"2025",2022-03-22,NA,NA,NA,NA,NA,0.0777224,2022-03-22,12
"121","Chamise",12,"2026",2022-03-22,NA,NA,NA,NA,NA,0.0120935,2022-03-22,12
"122","Chamise",12,"2027",2022-03-22,NA,NA,NA,NA,NA,0.0474481,2022-03-22,12
"123","Chamise",12,"2028",2022-03-22,NA,NA,NA,NA,NA,0.0619218,2022-03-22,12
"124","Chamise",12,"2029",2022-03-22,NA,NA,NA,NA,NA,0.0835872,2022-03-22,12
"125","Chamise",12,"2030",2022-03-22,NA,NA,NA,NA,NA,0.0280842,2022-03-22,12
"126","Chamise",12,"2031",2022-03-22,NA,NA,NA,NA,NA,0.0504771,2022-03-22,12
"127","Chamise",14,"10",2022-04-04,"Chamise","ARCA",0.383,"pd",2022-04-04,NA,NA,NA
"128","Chamise",14,"10",2022-04-04,"Chamise","ARCA",0.592,"pd",2022-04-04,NA,NA,NA
"129","Chamise",14,"10",2022-04-04,"Chamise","ARCA",0.571,"pd",2022-04-04,NA,NA,NA
"130","Chamise",14,"10",2022-04-04,"Chamise","ARCA",0.65,"pd",2022-04-04,NA,NA,NA
"131","Chamise",14,"10",2022-04-04,"Chamise","ARCA",0.62,"pd",2022-04-04,NA,NA,NA
"132","Chamise",14,"10",2022-04-04,"Chamise","ARCA",0.718,"pd",2022-04-04,NA,NA,NA
"133","Chamise",14,"10",2022-04-04,"Chamise","ARCA",0.428,"pd",2022-04-04,NA,NA,NA
"134","Chamise",14,"10",2022-04-04,"Chamise","ARCA",0.608,"pd",2022-04-04,NA,NA,NA
"135","Chamise",14,"2020",2022-04-04,"Chamise","blue oak",2.3,"md",2022-04-04,NA,NA,NA
"136","Chamise",14,"2020",2022-04-04,"Chamise","blue oak",2.4,"md",2022-04-04,NA,NA,NA
"137","Chamise",14,"2020",2022-04-04,"Chamise","blue oak",2.6,"md",2022-04-04,NA,NA,NA
"138","Chamise",14,"2020",2022-04-04,"Chamise","blue oak",0.415,"pd",2022-04-04,NA,NA,NA
"139","Chamise",14,"2020",2022-04-04,"Chamise","blue oak",0.487,"pd",2022-04-04,NA,NA,NA
"140","Chamise",14,"2020",2022-04-04,"Chamise","blue oak",0.998,"pd",2022-04-04,NA,NA,NA
"141","Chamise",14,"2020",2022-04-04,"Chamise","blue oak",0.845,"pd",2022-04-04,NA,NA,NA
"142","Chamise",14,"2020",2022-04-05,NA,NA,NA,NA,NA,0.00586,2022-04-05,14
"143","Chamise",14,"2021",2022-04-04,"Chamise","blue oak",2.95,"md",2022-04-04,NA,NA,NA
