tree,date,pheno_score,year,plot,site,species
2004,2022-03-15,8,2022,High,Cucu Mesa,blue oak
2005,2022-03-15,9,2022,High,Cucu Mesa,blue oak
2006,2022-03-15,8,2022,High,Cucu Mesa,blue oak
2007,2022-03-15,7,2022,High,Cucu Mesa,blue oak
2009,2022-04-06,9,2022,Hobbiton,LL,blue oak
2009,2022-03-25,8,2022,Hobbiton,LL,blue oak
2009,2023-04-12,5,2023,Hobbiton,LL,blue oak
2009,2023-03-02,0.5,2023,Hobbiton,LL,blue oak
2010,2022-04-06,10,2022,Weathertop,LL,blue oak
2010,2023-04-12,4,2023,Weathertop,LL,blue oak
2010,2022-03-25,10,2022,Weathertop,LL,blue oak
2010,2023-03-02,1,2023,Weathertop,LL,blue oak
2011,2023-03-02,1,2023,Weathertop,LL,blue oak
2011,2023-04-12,6.5,2023,Weathertop,LL,blue oak
2011,2022-04-06,10,2022,Weathertop,LL,blue oak
2020,2022-04-06,8,2022,Chamise,Chamise,blue oak
2020,2022-03-15,7,2022,Chamise,Chamise,blue oak
2021,2022-04-06,6,2022,Chamise,Chamise,blue oak
2021,2022-03-15,6,2022,Chamise,Chamise,blue oak
2023,2022-04-06,8,2022,Chamise,Chamise,live oak
2024,2022-04-06,7,2022,Chamise,Chamise,blue oak
2024,2022-03-15,8,2022,Chamise,Chamise,blue oak
2025,2022-04-06,7,2022,Chamise,Chamise,blue oak
2025,2022-03-15,7,2022,Chamise,Chamise,blue oak
2026,2022-04-06,8,2022,Shedd,Chamise,blue oak
2026,2022-03-15,6,2022,Shedd,Chamise,blue oak
2027,2022-04-06,8,2022,Shedd,Chamise,blue oak
2027,2022-03-15,7,2022,Shedd,Chamise,blue oak
2028,2022-04-06,8,2022,Shedd,Chamise,blue oak
2030,2022-04-06,6,2022,Shedd,Chamise,live oak
2031,2022-04-06,7,2022,Shedd,Chamise,blue oak
2084,2022-04-06,10,2022,NA,NA,blue oak
2085,2022-04-06,5,2022,Low,PineNeedle,blue oak
2085,2022-03-15,1,2022,Low,PineNeedle,blue oak
2086,2022-03-15,2,2022,Low,PineNeedle,blue oak
2087,2022-03-15,3,2022,Low,PineNeedle,blue oak
2088,2022-03-15,4,2022,Low,PineNeedle,blue oak
2088,2022-04-06,5,2022,Low,PineNeedle,blue oak
2089,2022-04-06,3,2022,Low,PineNeedle,live oak
2090,2022-03-15,4,2022,Low,PineNeedle,blue oak
2090,2022-04-06,7,2022,Low,PineNeedle,blue oak
2091,2022-04-06,6,2022,Low,PineNeedle,live oak
2092,2022-04-06,10,2022,Low,PineNeedle,live oak
2093,2022-04-06,4,2022,Low,PineNeedle,live oak
2301,2022-04-06,8,2022,Hobbiton,LL,live oak
2301,2022-03-25,0,2022,Hobbiton,LL,live oak
2313,2022-03-25,5,2022,Ridge,LL,blue oak
2313,2022-04-06,7,2022,Ridge,LL,blue oak
2313,2022-02-18,0,2022,Ridge,LL,blue oak
2322,2022-04-06,6,2022,Ridge,LL,live oak
2322,2022-03-25,5,2022,Ridge,LL,live oak
2327,2022-03-25,7,2022,NA,NA,blue oak
2327,2022-02-18,1,2022,NA,NA,blue oak
2327,2022-04-06,7,2022,NA,NA,blue oak
2330,2022-02-18,0,2022,Ridge,LL,blue oak
2330,2022-03-25,7,2022,Ridge,LL,blue oak
2331,2022-03-25,6,2022,Ridge,LL,live oak
2331,2022-04-06,5,2022,Ridge,LL,live oak
2343,2022-02-18,0,2022,Hobbiton,LL,blue oak
2343,2022-04-06,7,2022,Hobbiton,LL,blue oak
2343,2022-04-13,10,2022,Hobbiton,LL,blue oak
2343,2023-04-12,6,2023,Hobbiton,LL,blue oak
2343,2022-03-25,7,2022,Hobbiton,LL,blue oak
2343,2022-03-15,3,2022,Hobbiton,LL,blue oak
2343,2022-02-28,2,2022,Hobbiton,LL,blue oak
2344,2022-03-25,5,2022,Hobbiton,LL,blue oak
2344,2022-04-06,7,2022,Hobbiton,LL,blue oak
2344,2023-04-12,3,2023,Hobbiton,LL,blue oak
2345,2022-03-25,0,2022,Hobbiton,LL,live oak
2345,2022-04-06,5,2022,Hobbiton,LL,live oak
2346,2022-04-13,10,2022,Hobbiton,LL,blue oak
2346,2023-03-02,0.5,2023,Hobbiton,LL,blue oak
2346,2022-02-18,0,2022,Hobbiton,LL,blue oak
2346,2023-04-12,4,2023,Hobbiton,LL,blue oak
