"","X","date","tree","swc_g","swc_per_dry_g","swc_percent","year","week","swc_ww_g","swc_dw_g","type","rep","timing"
"1",1,"2022-03-15",2380,1.161,0.607853403141361,60.7853403141361,NA,11,3.071,1.91,"leaf",1,"early"
"2",2,"2022-03-15",2377,0.88,0.611961057023644,61.1961057023644,NA,11,2.318,1.438,"leaf",1,"early"
"3",3,"2022-03-15",2093,1.086,0.621281464530893,62.1281464530893,NA,11,2.834,1.748,"leaf",1,"early"
"4",4,"2022-03-15",2301,1.324,0.658051689860835,65.8051689860835,NA,11,3.336,2.012,"leaf",1,"early"
"5",5,"2022-03-15",2331,0.846,0.691176470588235,69.1176470588235,NA,11,2.07,1.224,"leaf",1,"early"
"6",6,"2022-03-15",2089,2.231,0.695882719900187,69.5882719900187,NA,11,5.437,3.206,"leaf",1,"early"
"7",7,"2022-03-15",2092,1.4,0.697211155378486,69.7211155378486,NA,11,3.408,2.008,"leaf",1,"early"
"8",8,"2022-03-15",2345,0.859,0.73231031543052,73.231031543052,NA,11,2.032,1.173,"leaf",1,"early"
"9",9,"2022-03-15",2022,2.844,0.849716163728712,84.9716163728712,NA,11,6.191,3.347,"leaf",1,"early"
"10",10,"2022-03-15",2023,2.011,0.980019493177388,98.0019493177388,NA,11,4.063,2.052,"leaf",1,"early"
"11",11,"2022-03-15",2352,0.76,1.09195402298851,109.195402298851,NA,11,1.456,0.696,"leaf",1,"early"
"12",12,"2022-03-15",2025,1.186,1.19076305220884,119.076305220884,0,11,2.182,0.996,"leaf",1,"early"
"13",13,"2022-03-15",2026,1.272,1.22425409047161,122.425409047161,NA,11,2.311,1.039,"leaf",1,"early"
"14",14,"2022-03-15",2021,1.642,1.24582701062215,124.582701062215,0,11,2.96,1.318,"leaf",1,"early"
"15",15,"2022-03-15",2378,1.492,1.28178694158076,128.178694158076,0,11,2.656,1.164,"leaf",1,"early"
"16",16,"2022-03-15",2007,1.052,1.29079754601227,129.079754601227,0,11,1.867,0.815,"leaf",1,"early"
"17",17,"2022-03-15",2379,1.035,1.30025125628141,130.025125628141,0,11,1.831,0.796,"leaf",1,"early"
"18",18,"2022-03-15",2382,1.509,1.34732142857143,134.732142857143,0,11,2.629,1.12,"leaf",1,"early"
"19",19,"2022-03-15",2020,0.787,1.39786856127886,139.786856127886,0,11,1.35,0.563,"leaf",1,"early"
"20",20,"2022-03-15",2027,0.963,1.40583941605839,140.583941605839,0,11,1.648,0.685,"leaf",1,"early"
"21",21,"2022-03-15",2024,0.985,1.53666146645866,153.666146645866,0,11,1.626,0.641,"leaf",1,"early"
"22",22,"2022-03-15",2005,1.694,1.71111111111111,171.111111111111,0,11,2.684,0.99,"leaf",1,"early"
"23",23,"2022-03-15",2381,2.443,1.75251076040172,175.251076040172,0,11,3.837,1.394,"leaf",1,"early"
"24",24,"2022-03-15",2008,1.109,1.80618892508143,180.618892508143,0,11,1.723,0.614,"leaf",1,"early"
"25",25,"2022-03-15",2384,1.001,1.82331511839709,182.331511839709,0,11,1.55,0.549,"leaf",1,"early"
"26",26,"2022-03-15",2004,1.314,1.85855728429986,185.855728429986,0,11,2.021,0.707,"leaf",1,"early"
"27",27,"2022-03-15",2091,NA,NA,NA,NA,11,NA,1.94,"leaf",1,"early"
"28",28,"2022-03-30",2352,0.2412,0.551945080091533,55.1945080091533,NA,13,0.6782,0.437,"leaf",3,"early"
"29",29,"2022-03-30",2352,0.3257,0.579537366548043,57.9537366548043,NA,13,0.8877,0.562,"leaf",2,"early"
"30",30,"2022-03-30",2352,0.2028,0.627863777089783,62.7863777089783,NA,13,0.5258,0.323,"leaf",1,"early"
"31",31,"2022-03-30",2354,0.5637,0.678339350180506,67.8339350180506,NA,13,1.3947,0.831,"leaf",3,"early"
"32",32,"2022-03-30",2331,0.6319,0.700554323725055,70.0554323725055,NA,13,1.5339,0.902,"leaf",1,"early"
"33",33,"2022-03-30",2331,1.2116,0.707710280373832,70.7710280373832,NA,13,2.9236,1.712,"leaf",2,"early"
"34",34,"2022-03-30",2352,0.1919,0.710740740740741,71.0740740740741,NA,13,0.4619,0.27,"stem",2,"early"
"35",35,"2022-03-30",2354,1.0996,0.711715210355987,71.1715210355987,NA,13,2.6446,1.545,"leaf",1,"early"
"36",36,"2022-03-30",2376,0.2564,0.714206128133705,71.4206128133705,NA,13,0.6154,0.359,"leaf",2,"early"
"37",37,"2022-03-30",2377,0.2836,0.723469387755102,72.3469387755102,NA,13,0.6756,0.392,"leaf",2,"early"
"38",38,"2022-03-30",2380,0.3121,0.725813953488372,72.5813953488372,NA,13,0.7421,0.43,"leaf",1,"early"
"39",39,"2022-03-30",2380,1.1338,0.726794871794872,72.6794871794872,NA,13,2.6938,1.56,"leaf",2,"early"
"40",40,"2022-03-30",2376,1.4117,0.730315571650284,73.0315571650284,NA,13,3.3447,1.933,"leaf",1,"early"
"41",41,"2022-03-30",2354,1.2785,0.736887608069164,73.6887608069164,NA,13,3.0135,1.735,"leaf",2,"early"
"42",42,"2022-03-30",2380,0.9263,0.739856230031949,73.9856230031949,NA,13,2.1783,1.252,"leaf",3,"early"
"43",43,"2022-03-30",2377,0.7343,0.740968718466196,74.0968718466196,NA,13,1.7253,0.991,"leaf",3,"early"
"44",44,"2022-03-30",2376,0.6116,0.757868649318463,75.7868649318463,NA,13,1.4186,0.807,"leaf",3,"early"
"45",45,"2022-03-30",2301,0.7173,0.762274176408077,76.2274176408077,NA,13,1.6583,0.941,"leaf",1,"early"
"46",46,"2022-03-30",2377,0.4033,0.77112810707457,77.112810707457,NA,13,0.9263,0.523,"leaf",1,"early"
"47",47,"2022-03-30",2301,0.6441,0.781674757281553,78.1674757281553,NA,13,1.4681,0.824,"leaf",3,"early"
"48",48,"2022-03-30",2331,0.4381,0.790794223826715,79.0794223826715,NA,13,0.9921,0.554,"leaf",3,"early"
"49",49,"2022-03-30",2352,0.1383,0.794827586206897,79.4827586206897,NA,13,0.3123,0.174,"stem",1,"early"
"50",50,"2022-03-30",2301,0.5399,0.796312684365782,79.6312684365782,NA,13,1.2179,0.678,"leaf",2,"early"
"51",51,"2022-03-30",2345,0.9633,0.799419087136929,79.9419087136929,NA,13,2.1683,1.205,"leaf",1,"early"
"52",52,"2022-03-30",2345,0.765,0.801047120418848,80.1047120418848,NA,13,1.72,0.955,"leaf",3,"early"
"53",53,"2022-03-30",2352,0.0912,0.807079646017699,80.7079646017699,NA,13,0.2042,0.113,"stem",3,"early"
"54",54,"2022-03-30",2331,0.1278,0.814012738853503,81.4012738853503,1,13,0.2848,0.157,"stem",1,"early"
"55",55,"2022-03-30",2331,0.1687,0.83103448275862,83.103448275862,NA,13,0.3717,0.203,"stem",2,"early"
"56",56,"2022-03-30",2380,0.0948,0.869724770642202,86.9724770642202,NA,13,0.2038,0.109,"stem",1,"early"
"57",57,"2022-03-30",2345,0.1588,0.872527472527473,87.2527472527473,NA,13,0.3408,0.182,"stem",1,"early"
"58",58,"2022-03-30",2345,0.1335,0.87828947368421,87.828947368421,NA,13,0.2855,0.152,"stem",3,"early"
"59",59,"2022-03-30",2376,0.1624,0.887431693989071,88.7431693989071,NA,13,0.3454,0.183,"stem",1,"early"
"60",60,"2022-03-30",2376,0.0622,0.888571428571429,88.8571428571429,NA,13,0.1322,0.07,"stem",2,"early"
"61",61,"2022-03-30",2331,0.08,0.898876404494382,89.8876404494382,NA,13,0.169,0.089,"stem",3,"early"
"62",62,"2022-03-30",2380,0.3541,0.903316326530612,90.3316326530612,NA,13,0.7461,0.392,"stem",2,"early"
"63",63,"2022-03-30",2354,0.1655,0.914364640883978,91.4364640883978,NA,13,0.3465,0.181,"stem",1,"early"
"64",64,"2022-03-30",2345,0.2464,0.915985130111524,91.5985130111524,NA,13,0.5154,0.269,"stem",2,"early"
"65",65,"2022-03-30",2376,0.1133,0.936363636363637,93.6363636363637,NA,13,0.2343,0.121,"stem",3,"early"
"66",66,"2022-03-30",2380,0.2494,0.941132075471698,94.1132075471698,1,13,0.5144,0.265,"stem",3,"early"
"67",67,"2022-03-30",2377,0.213,0.942477876106195,94.2477876106195,NA,13,0.439,0.226,"stem",3,"early"
"68",68,"2022-03-30",2301,0.0524,0.952727272727273,95.2727272727273,NA,13,0.1074,0.055,"stem",3,"early"
"69",69,"2022-03-30",2367,0.1883,0.965641025641025,96.5641025641025,1,13,0.3833,0.195,"stem",3,"early"
"70",70,"2022-03-30",2301,0.0485,0.97,97,NA,13,0.0985,0.05,"stem",1,"early"
"71",71,"2022-03-30",2354,0.0883,0.981111111111111,98.1111111111111,NA,13,0.1783,0.09,"stem",3,"early"
"72",72,"2022-03-30",2354,0.2141,1.00516431924883,100.516431924883,1,13,0.4271,0.213,"stem",2,"early"
"73",73,"2022-03-30",2379,0.0695,1.00724637681159,100.724637681159,1,13,0.1385,0.069,"stem",1,"early"
"74",74,"2022-03-30",2377,0.103,1.00980392156863,100.980392156863,NA,13,0.205,0.102,"stem",2,"early"
"75",75,"2022-03-30",2301,0.0617,1.02833333333333,102.833333333333,NA,13,0.1217,0.06,"stem",2,"early"
"76",76,"2022-03-30",2379,0.1528,1.04657534246575,104.657534246575,1,13,0.2988,0.146,"stem",2,"early"
"77",77,"2022-03-30",2369,0.0316,1.05333333333333,105.333333333333,1,13,0.0616,0.03,"stem",2,"early"
"78",78,"2022-03-30",2009,0.2472,1.06551724137931,106.551724137931,1,13,0.4792,0.232,"stem",1,"early"
"79",79,"2022-03-30",2009,0.2711,1.09757085020243,109.757085020243,1,13,0.5181,0.247,"stem",2,"early"
"80",80,"2022-03-30",2346,0.0629,1.10350877192982,110.350877192982,1,13,0.1199,0.057,"stem",3,"early"
"81",81,"2022-03-30",2364,0.0254,1.10434782608696,110.434782608696,1,13,0.0484,0.023,"stem",1,"early"
"82",82,"2022-03-30",2378,0.1913,1.10578034682081,110.578034682081,1,13,0.3643,0.173,"stem",1,"early"
"83",83,"2022-03-30",2379,0.1408,1.11746031746032,111.746031746032,1,13,0.2668,0.126,"stem",3,"early"
"84",84,"2022-03-30",2346,0.2861,1.117578125,111.7578125,1,13,0.5421,0.256,"stem",1,"early"
"85",85,"2022-03-30",2346,0.1784,1.12201257861635,112.201257861635,1,13,0.3374,0.159,"stem",2,"early"
"86",86,"2022-03-30",2371,0.1012,1.12444444444444,112.444444444444,NA,13,0.1912,0.09,"stem",2,"early"
"87",87,"2022-03-30",2378,0.5957,1.13466666666667,113.466666666667,NA,13,1.1207,0.525,"leaf",2,"early"
"88",88,"2022-03-30",2009,0.361,1.13880126182965,113.880126182965,1,13,0.678,0.317,"stem",3,"early"
"89",89,"2022-03-30",2379,0.1165,1.15346534653465,115.346534653465,NA,13,0.2175,0.101,"leaf",1,"early"
"90",90,"2022-03-30",2378,0.147,1.16666666666667,116.666666666667,NA,13,0.273,0.126,"leaf",3,"early"
"91",91,"2022-03-30",2371,0.3285,1.17321428571429,117.321428571429,1,13,0.6085,0.28,"stem",3,"early"
"92",92,"2022-03-30",2369,0.0895,1.19333333333333,119.333333333333,1,13,0.1645,0.075,"stem",1,"early"
"93",93,"2022-03-30",2378,0.4982,1.1947242206235,119.47242206235,NA,13,0.9152,0.417,"leaf",1,"early"
"94",94,"2022-03-30",2343,0.0454,1.19473684210526,119.473684210526,1,13,0.0834,0.038,"stem",1,"early"
"95",95,"2022-03-30",2360,0.1296,1.2,120,1,13,0.2376,0.108,"stem",1,"early"
"96",96,"2022-03-30",2379,0.2776,1.20695652173913,120.695652173913,NA,13,0.5076,0.23,"leaf",3,"early"
"97",97,"2022-03-30",2379,0.2567,1.21084905660377,121.084905660377,NA,13,0.4687,0.212,"leaf",2,"early"
"98",98,"2022-03-30",2372,0.0666,1.21090909090909,121.090909090909,1,13,0.1216,0.055,"stem",1,"early"
"99",99,"2022-03-30",2378,0.1725,1.22340425531915,122.340425531915,1,13,0.3135,0.141,"stem",3,"early"
"100",100,"2022-03-30",2343,0.0713,1.22931034482759,122.931034482759,1,13,0.1293,0.058,"stem",3,"early"
"101",101,"2022-03-30",2377,0.2409,1.24818652849741,124.818652849741,NA,13,0.4339,0.193,"stem",1,"early"
"102",102,"2022-03-30",2367,0.0503,1.2575,125.75,1,13,0.0903,0.04,"stem",1,"early"
"103",103,"2022-03-30",2360,0.7098,1.27432675044883,127.432675044883,NA,13,1.2668,0.557,"leaf",3,"early"
"104",104,"2022-03-30",2364,0.6654,1.27471264367816,127.471264367816,NA,13,1.1874,0.522,"leaf",2,"early"
"105",105,"2022-03-30",2343,0.1138,1.27865168539326,127.865168539326,1,13,0.2028,0.089,"stem",2,"early"
"106",106,"2022-03-30",2369,0.0871,1.28088235294118,128.088235294118,1,13,0.1551,0.068,"stem",3,"early"
"107",107,"2022-03-30",2367,0.1218,1.28210526315789,128.210526315789,1,13,0.2168,0.095,"stem",1,"early"
"108",108,"2022-03-30",2375,0.0577,1.28222222222222,128.222222222222,1,13,0.1027,0.045,"stem",2,"early"
"109",109,"2022-03-30",2375,0.0372,1.28275862068966,128.275862068965,1,13,0.0662,0.029,"stem",1,"early"
"110",110,"2022-03-30",2364,0.1644,1.284375,128.4375,1,13,0.2924,0.128,"stem",2,"early"
