week,week_rwc_link,date_wp,time,tree,plot,site,species,year,type,water_potential,mean_swc_per_dry_g,max_swc_per_dry_g,rwc_week,collection_type,lwc_wet_per_dry,rwc_percent,rwc_max_percent
14,15,NA,md,1478,Low,Cucu Mesa,blue oak,0,leaf,NA,1.3074871404077,1.3074871404077,no,lfm,1.73412347426145,132.6302508582009,132.6302508582009
14,15,NA,md,1478,Low,Cucu Mesa,blue oak,0,leaf,NA,1.3074871404077,1.3074871404077,no,lwc,NA,NA,NA
14,15,NA,md,1478,Low,Cucu Mesa,blue oak,0,stem,NA,1.84531590413943,1.84531590413943,no,lfm,2.62087458745875,142.02850479853228,142.02850479853228
14,15,NA,md,1478,Low,Cucu Mesa,blue oak,0,stem,NA,1.84531590413943,1.84531590413943,no,lwc,NA,NA,NA
14,15,NA,md,1478,Low,Cucu Mesa,blue oak,1,stem,NA,1.33818589025756,1.33818589025756,no,lfm,1.91681574239714,143.23987095904974,143.23987095904974
14,15,NA,md,1478,Low,Cucu Mesa,blue oak,1,stem,NA,1.33818589025756,1.33818589025756,no,lwc,NA,NA,NA
14,15,2022-04-04,pd,1478,Low,Cucu Mesa,blue oak,0,leaf,0.5714,1.3074871404077,1.3074871404077,no,lfm,1.75311648402621,134.0828853949228,134.0828853949228
14,15,2022-04-04,pd,1478,Low,Cucu Mesa,blue oak,0,leaf,0.5714,1.3074871404077,1.3074871404077,no,lwc,1.74375600384246,133.36697164751638,133.36697164751638
14,15,2022-04-04,pd,1478,Low,Cucu Mesa,blue oak,0,stem,0.5714,1.84531590413943,1.84531590413943,no,lfm,1.43234223300971,77.62043505920403,77.62043505920403
14,15,2022-04-04,pd,1478,Low,Cucu Mesa,blue oak,0,stem,0.5714,1.84531590413943,1.84531590413943,no,lwc,1.74375600384246,94.4963407040957,94.4963407040957
14,15,2022-04-04,pd,1478,Low,Cucu Mesa,blue oak,1,stem,0.5714,1.33818589025756,1.33818589025756,no,lfm,1.63183447000347,121.9437808964935,121.9437808964935
