date_wp,time,blue oak,live oak
2022-03-08,md,20,14
2022-03-08,pd,15,5
2022-03-15,md,9,NA
2022-03-15,pd,12,6
2022-03-25,md,12,7
2022-03-25,pd,14,7
2022-03-30,pd,13,7
2022-04-04,md,12,NA
2022-04-04,pd,22,8
2022-04-06,md,19,6
2022-04-11,md,5,NA
2022-04-11,pd,20,NA
2022-04-13,md,32,2
2022-04-25,md,16,7
2022-04-25,pd,19,6
2022-04-27,md,27,1
2022-04-27,pd,24,7
2022-05-09,md,36,9
2022-05-09,pd,22,8
2022-05-23,md,33,10
2022-05-23,pd,42,11
2022-07-19,md,37,10
2022-07-19,pd,34,11
2022-08-18,md,15,2
2022-08-18,pd,16,NA
2022-09-15,md,36,10
2022-09-15,pd,32,7
