Date.Time,Sensor,Sapflow,Tree,Loc,Sapflow.st
2022-03-24T17:39:33Z,SAP.FLOW.TOTAL,3.616,2381,RT,0.9860921734387784
2022-03-24T17:39:33Z,SAP.FLOW.TOTAL.1,0.916,2384,RT,0.1812425801345469
2022-03-24T17:39:33Z,SAP.FLOW.TOTAL.2,5.642,2382,RT,0.873374613003096
2022-03-24T17:39:33Z,SAP.FLOW.TOTAL.3,9.7,2010,RT,0.5832130832130831
2022-03-24T17:54:33Z,SAP.FLOW.TOTAL,3.667,2381,RT,1
2022-03-24T17:54:33Z,SAP.FLOW.TOTAL.1,0.927,2384,RT,0.18341907400079147
2022-03-24T17:54:33Z,SAP.FLOW.TOTAL.2,5.082,2382,RT,0.786687306501548
2022-03-24T17:54:33Z,SAP.FLOW.TOTAL.3,9.32,2010,RT,0.5603655603655603
2022-03-24T18:09:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T18:09:27Z,SAP.FLOW.TOTAL.1,0.868,2384,RT,0.17174515235457063
2022-03-24T18:09:27Z,SAP.FLOW.TOTAL.2,4.584,2382,RT,0.7095975232198142
2022-03-24T18:09:27Z,SAP.FLOW.TOTAL.3,8.382,2010,RT,0.503968253968254
2022-03-24T18:24:28Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T18:24:28Z,SAP.FLOW.TOTAL.1,0.813,2384,RT,0.16086268302334783
2022-03-24T18:24:28Z,SAP.FLOW.TOTAL.2,4.3,2382,RT,0.6656346749226006
2022-03-24T18:24:28Z,SAP.FLOW.TOTAL.3,7.644,2010,RT,0.45959595959595956
2022-03-24T18:39:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T18:39:27Z,SAP.FLOW.TOTAL.1,0.861,2384,RT,0.17036011080332408
2022-03-24T18:39:27Z,SAP.FLOW.TOTAL.2,3.776,2382,RT,0.5845201238390093
2022-03-24T18:39:27Z,SAP.FLOW.TOTAL.3,5.336,2010,RT,0.3208273208273208
2022-03-24T18:54:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T18:54:27Z,SAP.FLOW.TOTAL.1,0.837,2384,RT,0.16561139691333596
2022-03-24T18:54:27Z,SAP.FLOW.TOTAL.2,2.986,2382,RT,0.4622291021671827
2022-03-24T18:54:27Z,SAP.FLOW.TOTAL.3,5.814,2010,RT,0.3495670995670995
2022-03-24T19:09:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T19:09:27Z,SAP.FLOW.TOTAL.1,0.648,2384,RT,0.12821527502967947
2022-03-24T19:09:27Z,SAP.FLOW.TOTAL.2,2.13,2382,RT,0.32972136222910214
2022-03-24T19:09:27Z,SAP.FLOW.TOTAL.3,4.659,2010,RT,0.2801226551226551
2022-03-24T19:24:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T19:24:27Z,SAP.FLOW.TOTAL.1,0.519,2384,RT,0.10269093787099327
2022-03-24T19:24:27Z,SAP.FLOW.TOTAL.2,1.624,2382,RT,0.2513931888544892
2022-03-24T19:24:27Z,SAP.FLOW.TOTAL.3,3.99,2010,RT,0.2398989898989899
2022-03-24T19:39:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T19:39:27Z,SAP.FLOW.TOTAL.1,0.436,2384,RT,0.08626830233478433
2022-03-24T19:39:27Z,SAP.FLOW.TOTAL.2,1.472,2382,RT,0.22786377708978328
2022-03-24T19:39:27Z,SAP.FLOW.TOTAL.3,3.762,2010,RT,0.22619047619047616
2022-03-24T19:54:28Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T19:54:28Z,SAP.FLOW.TOTAL.1,0.364,2384,RT,0.07202216066481994
2022-03-24T19:54:28Z,SAP.FLOW.TOTAL.2,1.15,2382,RT,0.17801857585139316
2022-03-24T19:54:28Z,SAP.FLOW.TOTAL.3,3.261,2010,RT,0.19606782106782106
2022-03-24T20:09:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T20:09:27Z,SAP.FLOW.TOTAL.1,0.43,2384,RT,0.08508112386228729
2022-03-24T20:09:27Z,SAP.FLOW.TOTAL.2,1.207,2382,RT,0.18684210526315792
2022-03-24T20:09:27Z,SAP.FLOW.TOTAL.3,3.202,2010,RT,0.1925204425204425
2022-03-24T20:24:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T20:24:27Z,SAP.FLOW.TOTAL.1,0.443,2384,RT,0.08765334388603087
2022-03-24T20:24:27Z,SAP.FLOW.TOTAL.2,0.969,2382,RT,0.15
2022-03-24T20:24:27Z,SAP.FLOW.TOTAL.3,3.09,2010,RT,0.18578643578643575
2022-03-24T20:39:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T20:39:27Z,SAP.FLOW.TOTAL.1,0.418,2384,RT,0.08270676691729323
2022-03-24T20:39:27Z,SAP.FLOW.TOTAL.2,0.991,2382,RT,0.15340557275541797
2022-03-24T20:39:27Z,SAP.FLOW.TOTAL.3,2.95,2010,RT,0.17736892736892737
2022-03-24T20:54:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T20:54:27Z,SAP.FLOW.TOTAL.1,0.448,2384,RT,0.0886426592797784
2022-03-24T20:54:27Z,SAP.FLOW.TOTAL.2,0.817,2382,RT,0.1264705882352941
2022-03-24T20:54:27Z,SAP.FLOW.TOTAL.3,2.831,2010,RT,0.1702140452140452
2022-03-24T21:09:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T21:09:27Z,SAP.FLOW.TOTAL.1,0.214,2384,RT,0.04234269885239414
2022-03-24T21:09:27Z,SAP.FLOW.TOTAL.2,0.799,2382,RT,0.1236842105263158
2022-03-24T21:09:27Z,SAP.FLOW.TOTAL.3,2.49,2010,RT,0.1497113997113997
2022-03-24T21:24:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T21:24:27Z,SAP.FLOW.TOTAL.1,0.396,2384,RT,0.07835377918480411
2022-03-24T21:24:27Z,SAP.FLOW.TOTAL.2,0.556,2382,RT,0.08606811145510837
2022-03-24T21:24:27Z,SAP.FLOW.TOTAL.3,2.344,2010,RT,0.1409331409331409
2022-03-24T21:39:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T21:39:27Z,SAP.FLOW.TOTAL.1,0.331,2384,RT,0.06549267906608627
2022-03-24T21:39:27Z,SAP.FLOW.TOTAL.2,0.503,2382,RT,0.07786377708978329
2022-03-24T21:39:27Z,SAP.FLOW.TOTAL.3,2.244,2010,RT,0.1349206349206349
2022-03-24T21:54:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T21:54:27Z,SAP.FLOW.TOTAL.1,0.292,2384,RT,0.05777601899485555
2022-03-24T21:54:27Z,SAP.FLOW.TOTAL.2,0.461,2382,RT,0.07136222910216719
2022-03-24T21:54:27Z,SAP.FLOW.TOTAL.3,2.113,2010,RT,0.12704425204425204
2022-03-24T22:09:28Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T22:09:28Z,SAP.FLOW.TOTAL.1,0.252,2384,RT,0.04986149584487534
2022-03-24T22:09:28Z,SAP.FLOW.TOTAL.2,0.447,2382,RT,0.06919504643962848
2022-03-24T22:09:28Z,SAP.FLOW.TOTAL.3,1.892,2010,RT,0.11375661375661374
2022-03-24T22:24:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T22:24:27Z,SAP.FLOW.TOTAL.1,-0.277,2384,RT,-0.05480807281361298
2022-03-24T22:24:27Z,SAP.FLOW.TOTAL.2,0.245,2382,RT,0.037925696594427245
2022-03-24T22:24:27Z,SAP.FLOW.TOTAL.3,1.617,2010,RT,0.09722222222222221
2022-03-24T22:39:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T22:39:27Z,SAP.FLOW.TOTAL.1,0.153,2384,RT,0.030273051048674317
2022-03-24T22:39:27Z,SAP.FLOW.TOTAL.2,0.441,2382,RT,0.06826625386996904
2022-03-24T22:39:27Z,SAP.FLOW.TOTAL.3,1.824,2010,RT,0.10966810966810966
2022-03-24T22:54:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T22:54:27Z,SAP.FLOW.TOTAL.1,0.066,2384,RT,0.013058963197467353
2022-03-24T22:54:27Z,SAP.FLOW.TOTAL.2,0.241,2382,RT,0.03730650154798761
2022-03-24T22:54:27Z,SAP.FLOW.TOTAL.3,1.62,2010,RT,0.09740259740259741
2022-03-24T23:09:28Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T23:09:28Z,SAP.FLOW.TOTAL.1,-0.009,2384,RT,-0.0017807677087455479
2022-03-24T23:09:28Z,SAP.FLOW.TOTAL.2,0.239,2382,RT,0.0369969040247678
2022-03-24T23:09:28Z,SAP.FLOW.TOTAL.3,1.507,2010,RT,0.0906084656084656
2022-03-24T23:24:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T23:24:27Z,SAP.FLOW.TOTAL.1,0.111,2384,RT,0.021962801741195092
2022-03-24T23:24:27Z,SAP.FLOW.TOTAL.2,0.164,2382,RT,0.02538699690402477
2022-03-24T23:24:27Z,SAP.FLOW.TOTAL.3,1.314,2010,RT,0.07900432900432901
2022-03-24T23:39:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T23:39:27Z,SAP.FLOW.TOTAL.1,0.085,2384,RT,0.016818361693707956
2022-03-24T23:39:27Z,SAP.FLOW.TOTAL.2,0.259,2382,RT,0.040092879256965946
2022-03-24T23:39:27Z,SAP.FLOW.TOTAL.3,1.358,2010,RT,0.08164983164983165
2022-03-24T23:54:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-24T23:54:27Z,SAP.FLOW.TOTAL.1,-0.34,2384,RT,-0.06727344677483182
