"","plot_number","species","tag","date","week","tree","pd","pd_bulk_wet","pd_bulk_dry","pd_avg","mpa_pd","dw_g_pd","ww_g_pd","md","md_bulk_wet","md_bulk_dry","mpa_md","dw_g_md","ww_g_md","lwc_md_bulk","lwc_pd_bulk","lwc_md_leaf","lwc_pd_leaf"
"1","AT001","blue oak","2360.0",2022-04-11,15,2360,"pd1",0.806,0.434,NA,1.3,0.094,0.1718,NA,NA,NA,NA,NA,NA,NA,0.857142857142857,NA,0.827659574468085
"2","AT001","blue oak","2360.0",2022-04-11,15,2360,"pd2",0.806,0.434,NA,1.4,0.063,0.1176,NA,NA,NA,NA,NA,NA,NA,0.857142857142857,NA,0.866666666666667
"3","AT001","blue oak","2360.0",2022-04-11,15,2360,"pd3",0.806,0.434,NA,1.4,0.108,0.196,NA,NA,NA,NA,NA,NA,NA,0.857142857142857,NA,0.814814814814815
"4","AT001","blue oak","2365.0",2022-03-15,11,2365,"pd3",0.182,0.074,"1.233",0.475,0.024,0.0589,"md3",0.2735,0.111,2.318,0.049,0.1184,1.46396396396396,1.45945945945946,1.41632653061225,1.45416666666667
"5","AT001","blue oak","2365.0",2022-03-15,11,2365,"pd3",0.182,0.074,"1.233",0.475,0.024,0.0589,"md2",0.2735,0.111,2.034,0.054,0.1318,1.46396396396396,1.45945945945946,1.44074074074074,1.45416666666667
"6","AT001","blue oak","2365.0",2022-03-15,11,2365,"pd3",0.182,0.074,"1.233",0.475,0.024,0.0589,"md4",0.2735,0.111,2.948,0.038,0.0912,1.46396396396396,1.45945945945946,1.4,1.45416666666667
"7","AT001","blue oak","2365.0",2022-03-15,11,2365,"pd3",0.182,0.074,"1.233",0.475,0.024,0.0589,"md1",0.2735,0.111,1.89,0.06,0.1353,1.46396396396396,1.45945945945946,1.255,1.45416666666667
"8","AT001","blue oak","2365.0",2022-03-15,11,2365,"pd3",0.182,0.074,"1.233",0.475,0.024,0.0589,"md5",0.2735,0.111,2.147,0.16,0.2872,1.46396396396396,1.45945945945946,0.795,1.45416666666667
"9","AT001","blue oak","2365.0",2022-03-15,11,2365,"pd4",0.182,0.074,"1.233",1.85,0.012,0.03,"md3",0.2735,0.111,2.318,0.049,0.1184,1.46396396396396,1.45945945945946,1.41632653061225,1.5
"10","AT001","blue oak","2365.0",2022-03-15,11,2365,"pd4",0.182,0.074,"1.233",1.85,0.012,0.03,"md2",0.2735,0.111,2.034,0.054,0.1318,1.46396396396396,1.45945945945946,1.44074074074074,1.5
"11","AT001","blue oak","2365.0",2022-03-15,11,2365,"pd4",0.182,0.074,"1.233",1.85,0.012,0.03,"md4",0.2735,0.111,2.948,0.038,0.0912,1.46396396396396,1.45945945945946,1.4,1.5
"12","AT001","blue oak","2365.0",2022-03-15,11,2365,"pd4",0.182,0.074,"1.233",1.85,0.012,0.03,"md1",0.2735,0.111,1.89,0.06,0.1353,1.46396396396396,1.45945945945946,1.255,1.5
"13","AT001","blue oak","2365.0",2022-03-15,11,2365,"pd4",0.182,0.074,"1.233",1.85,0.012,0.03,"md5",0.2735,0.111,2.147,0.16,0.2872,1.46396396396396,1.45945945945946,0.795,1.5
"14","AT001","blue oak","2365.0",2022-03-15,11,2365,"pd1",0.182,0.074,"1.233",1.54,0.032,0.08,"md3",0.2735,0.111,2.318,0.049,0.1184,1.46396396396396,1.45945945945946,1.41632653061225,1.5
"15","AT001","blue oak","2365.0",2022-03-15,11,2365,"pd1",0.182,0.074,"1.233",1.54,0.032,0.08,"md2",0.2735,0.111,2.034,0.054,0.1318,1.46396396396396,1.45945945945946,1.44074074074074,1.5
"16","AT001","blue oak","2365.0",2022-03-15,11,2365,"pd1",0.182,0.074,"1.233",1.54,0.032,0.08,"md4",0.2735,0.111,2.948,0.038,0.0912,1.46396396396396,1.45945945945946,1.4,1.5
"17","AT001","blue oak","2365.0",2022-03-15,11,2365,"pd1",0.182,0.074,"1.233",1.54,0.032,0.08,"md1",0.2735,0.111,1.89,0.06,0.1353,1.46396396396396,1.45945945945946,1.255,1.5
"18","AT001","blue oak","2365.0",2022-03-15,11,2365,"pd1",0.182,0.074,"1.233",1.54,0.032,0.08,"md5",0.2735,0.111,2.147,0.16,0.2872,1.46396396396396,1.45945945945946,0.795,1.5
"19","AT001","blue oak","2365.0",2022-03-15,11,2365,"pd2",0.182,0.074,"1.233",1.25,0.029,0.0721,"md3",0.2735,0.111,2.318,0.049,0.1184,1.46396396396396,1.45945945945946,1.41632653061225,1.48620689655172
"20","AT001","blue oak","2365.0",2022-03-15,11,2365,"pd2",0.182,0.074,"1.233",1.25,0.029,0.0721,"md2",0.2735,0.111,2.034,0.054,0.1318,1.46396396396396,1.45945945945946,1.44074074074074,1.48620689655172
"21","AT001","blue oak","2365.0",2022-03-15,11,2365,"pd2",0.182,0.074,"1.233",1.25,0.029,0.0721,"md4",0.2735,0.111,2.948,0.038,0.0912,1.46396396396396,1.45945945945946,1.4,1.48620689655172
"22","AT001","blue oak","2365.0",2022-03-15,11,2365,"pd2",0.182,0.074,"1.233",1.25,0.029,0.0721,"md1",0.2735,0.111,1.89,0.06,0.1353,1.46396396396396,1.45945945945946,1.255,1.48620689655172
"23","AT001","blue oak","2365.0",2022-03-15,11,2365,"pd2",0.182,0.074,"1.233",1.25,0.029,0.0721,"md5",0.2735,0.111,2.147,0.16,0.2872,1.46396396396396,1.45945945945946,0.795,1.48620689655172
"24","AT001","blue oak","2365.0",2022-04-11,15,2365,"pd1",0.6212,0.318,NA,1.4,0.076,0.1461,NA,NA,NA,NA,NA,NA,NA,0.953459119496855,NA,0.922368421052632
"25","AT001","blue oak","2365.0",2022-04-11,15,2365,"pd2",0.6212,0.318,NA,1.4,0.074,0.1409,NA,NA,NA,NA,NA,NA,NA,0.953459119496855,NA,0.904054054054054
"26","AT001","blue oak","2367.0",2022-03-15,11,2367,NA,NA,NA,NA,NA,NA,NA,"md1",0.1725,0.07,1.6,0.031,0.077,1.46428571428571,NA,1.48387096774194,NA
"27","AT001","blue oak","2367.0",2022-03-15,11,2367,NA,NA,NA,NA,NA,NA,NA,"md2",0.1725,0.07,2.868,0.039,0.1065,1.46428571428571,NA,1.73076923076923,NA
"28","AT001","blue oak","2367.0",2022-03-15,11,2367,NA,NA,NA,NA,NA,NA,NA,"md3",0.1725,0.07,3.32,0.033,0.0821,1.46428571428571,NA,1.48787878787879,NA
"29","AT001","blue oak","2367.0",2022-03-15,11,2367,NA,NA,NA,NA,NA,NA,NA,"md4",0.1725,0.07,2.29,0.026,0.0653,1.46428571428571,NA,1.51153846153846,NA
"30","AT001","blue oak","2367.0",2022-04-11,15,2367,"pd1",0.5864,0.306,NA,1.6,0.055,0.1053,NA,NA,NA,NA,NA,NA,NA,0.916339869281046,NA,0.914545454545455
"31","AT001","blue oak","2367.0",2022-04-11,15,2367,"pd2",0.5864,0.306,NA,1,0.045,0.0868,NA,NA,NA,NA,NA,NA,NA,0.916339869281046,NA,0.928888888888889
"32","AT001","blue oak","2367.0",2022-04-11,15,2367,"pd3",0.5864,0.306,NA,1.1,0.052,0.0993,NA,NA,NA,NA,NA,NA,NA,0.916339869281046,NA,0.909615384615385
"33","AT001","blue oak","2367.0",2022-04-11,15,2367,"pd4",0.5864,0.306,NA,1.1,0.043,0.0807,NA,NA,NA,NA,NA,NA,NA,0.916339869281046,NA,0.876744186046512
