"","tree","plot","week","site","rep","time","lwc_bulk","lwc_leaf","mpa","species","date"
"1",10,"Chamise",10,"Chamise","1","MD",NA,1.52119205298013,3.51,"ARCA",2022-03-08
"2",10,"Chamise",10,"Chamise","1","PD",NA,2.24931972789116,1.33,"ARCA",2022-03-08
"3",10,"Chamise",10,"Chamise","2","MD",NA,1.6377358490566,3.01,"ARCA",2022-03-08
"4",10,"Chamise",10,"Chamise","2","PD",NA,2.13488372093023,1.39,"ARCA",2022-03-08
"5",10,"Chamise",10,"Chamise","3","MD",NA,1.90472440944882,2.07,"ARCA",2022-03-08
"6",10,"Chamise",10,"Chamise","3","PD",NA,1.87263843648208,1.08,"ARCA",2022-03-08
"7",10,"Chamise",10,"Chamise","4","MD",NA,1.37906976744186,3.117,"ARCA",2022-03-08
"8",10,"Chamise",10,"Chamise","4","PD",NA,1.79343629343629,1.307,"ARCA",2022-03-08
"9",10,"Chamise",10,"Chamise","5","MD",NA,1.55042016806723,2.87,"ARCA",2022-03-08
"10",10,"Chamise",10,"Chamise","5","PD",NA,2.08993288590604,1.27,"ARCA",2022-03-08
"11",10,"Chamise",10,"Chamise","6","MD",NA,NA,NA,"ARCA",NA
"12",10,"Chamise",10,"Chamise","6","PD",NA,2.11432038834951,1.38,"ARCA",2022-03-08
"13",10,"Chamise",10,"Chamise","7","MD",NA,NA,NA,"ARCA",NA
"14",10,"Chamise",10,"Chamise","7","PD",NA,1.8316,1.4,"ARCA",2022-03-08
"15",10,"Chamise",11,"Chamise","1","MD",NA,NA,NA,"ARCA",NA
"16",10,"Chamise",11,"Chamise","1","PD",1.43159379407616,1.51929824561404,2.1,"ARCA",2022-03-15
"17",10,"Chamise",11,"Chamise","2","MD",NA,NA,NA,"ARCA",NA
"18",10,"Chamise",11,"Chamise","2","PD",1.43159379407616,2.05137614678899,1.76,"ARCA",2022-03-15
"19",10,"Chamise",11,"Chamise","3","MD",NA,NA,NA,"ARCA",NA
"20",10,"Chamise",11,"Chamise","3","PD",1.43159379407616,1.16531531531532,1.98,"ARCA",2022-03-15
"21",10,"Chamise",11,"Chamise","4","MD",NA,NA,NA,"ARCA",NA
"22",10,"Chamise",11,"Chamise","4","PD",1.43159379407616,1.52297297297297,2.04,"ARCA",2022-03-15
"23",10,"Chamise",11,"Chamise","5","MD",NA,NA,NA,"ARCA",NA
"24",10,"Chamise",11,"Chamise","5","PD",1.43159379407616,1.79495798319328,1.8,"ARCA",2022-03-15
"25",10,"Chamise",14,"Chamise","1","MD",NA,NA,NA,"ARCA",NA
"26",10,"Chamise",14,"Chamise","1","PD",NA,NA,0.383,"ARCA",2022-04-04
"27",10,"Chamise",14,"Chamise","2","MD",NA,NA,NA,"ARCA",NA
"28",10,"Chamise",14,"Chamise","2","PD",NA,NA,0.592,"ARCA",2022-04-04
"29",10,"Chamise",14,"Chamise","3","MD",NA,NA,NA,"ARCA",NA
"30",10,"Chamise",14,"Chamise","3","PD",NA,NA,0.571,"ARCA",2022-04-04
"31",10,"Chamise",14,"Chamise","4","MD",NA,NA,NA,"ARCA",NA
"32",10,"Chamise",14,"Chamise","4","PD",NA,NA,0.65,"ARCA",2022-04-04
"33",10,"Chamise",14,"Chamise","5","MD",NA,NA,NA,"ARCA",NA
"34",10,"Chamise",14,"Chamise","5","PD",NA,NA,0.62,"ARCA",2022-04-04
"35",10,"Chamise",14,"Chamise","6","MD",NA,NA,NA,"ARCA",NA
"36",10,"Chamise",14,"Chamise","6","PD",NA,NA,0.718,"ARCA",2022-04-04
"37",10,"Chamise",14,"Chamise","7","MD",NA,NA,NA,"ARCA",NA
"38",10,"Chamise",14,"Chamise","7","PD",NA,NA,0.428,"ARCA",2022-04-04
"39",10,"Chamise",14,"Chamise","8","MD",NA,NA,NA,"ARCA",NA
"40",10,"Chamise",14,"Chamise","8","PD",NA,NA,0.608,"ARCA",2022-04-04
"41",10,"Chamise",21,"Chamise","1","MD",NA,NA,4.89,"ARCA",2022-05-23
"42",10,"Chamise",21,"Chamise","1","PD",NA,NA,4,"ARCA",2022-05-23
"43",10,"Chamise",21,"Chamise","2","MD",NA,NA,4.93,"ARCA",2022-05-23
"44",10,"Chamise",21,"Chamise","2","PD",NA,NA,4.8,"ARCA",2022-05-23
"45",10,"Chamise",21,"Chamise","3","MD",NA,NA,4.9,"ARCA",2022-05-23
"46",10,"Chamise",21,"Chamise","3","PD",NA,NA,3.85,"ARCA",2022-05-23
"47",10,"Chamise",21,"Chamise","4","MD",NA,NA,4.89,"ARCA",2022-05-23
"48",10,"Chamise",21,"Chamise","4","PD",NA,NA,4.3,"ARCA",2022-05-23
"49",10,"Chamise",21,"Chamise","5","MD",NA,NA,4.89,"ARCA",2022-05-23
"50",10,"Chamise",21,"Chamise","5","PD",NA,NA,4.25,"ARCA",2022-05-23
"51",10,"Chamise",21,"Chamise","6","MD",NA,NA,4.82,"ARCA",2022-05-23
"52",10,"Chamise",21,"Chamise","6","PD",NA,NA,4.05,"ARCA",2022-05-23
"53",10,"Chamise",NA,"Chamise","1","MD",NA,1.30820512820513,NA,"ARCA",NA
"54",10,"Chamise",NA,"Chamise","1","PD",NA,NA,NA,"ARCA",NA
"55",10,"Chamise",NA,"Chamise","2","MD",NA,1.59153846153846,NA,"ARCA",NA
"56",10,"Chamise",NA,"Chamise","2","PD",NA,NA,NA,"ARCA",NA
"57",10,"Chamise",NA,"Chamise","3","MD",NA,1.42319587628866,NA,"ARCA",NA
"58",10,"Chamise",NA,"Chamise","3","PD",NA,NA,NA,"ARCA",NA
"59",10,"Chamise",NA,"Chamise","4","MD",NA,1.45294117647059,NA,"ARCA",NA
"60",10,"Chamise",NA,"Chamise","4","PD",NA,NA,NA,"ARCA",NA
"61",10,"Chamise",NA,"Chamise","5","MD",NA,1.27130434782609,NA,"ARCA",NA
"62",10,"Chamise",NA,"Chamise","5","PD",NA,NA,NA,"ARCA",NA
"63",10,"Chamise",NA,"Chamise","6","MD",NA,1.7203302373581,NA,"ARCA",NA
"64",10,"Chamise",NA,"Chamise","6","PD",NA,NA,NA,"ARCA",NA
"65",10,"Chamise",NA,"Chamise","7","MD",NA,1.45295055821372,NA,"ARCA",NA
"66",10,"Chamise",NA,"Chamise","7","PD",NA,NA,NA,"ARCA",NA
"67",11,"Rohan",10,"LL","1","MD",NA,NA,2.131,"ARCA",2022-03-08
"68",11,"Rohan",10,"LL","1","PD",NA,NA,NA,"ARCA",NA
"69",11,"Rohan",10,"LL","2","MD",NA,NA,2.442,"ARCA",2022-03-08
"70",11,"Rohan",10,"LL","2","PD",NA,NA,NA,"ARCA",NA
"71",11,"Rohan",10,"LL","3","MD",NA,NA,2.289,"ARCA",2022-03-08
"72",11,"Rohan",10,"LL","3","PD",NA,NA,NA,"ARCA",NA
"73",11,"Rohan",10,"LL","4","MD",NA,NA,2.436,"ARCA",2022-03-08
"74",11,"Rohan",10,"LL","4","PD",NA,NA,NA,"ARCA",NA
"75",11,"Rohan",10,"LL","5","MD",NA,NA,2.629,"ARCA",2022-03-08
"76",11,"Rohan",10,"LL","5","PD",NA,NA,NA,"ARCA",NA
"77",11,"Rohan",10,"LL","6","MD",NA,NA,2.142,"ARCA",2022-03-08
"78",11,"Rohan",10,"LL","6","PD",NA,NA,NA,"ARCA",NA
"79",11,"Rohan",10,"LL","7","MD",NA,NA,2.138,"ARCA",2022-03-08
"80",11,"Rohan",10,"LL","7","PD",NA,NA,NA,"ARCA",NA
"81",11,"Rohan",14,"LL","1","MD",NA,1.57481296758105,2.75,"ARCA",2022-04-06
"82",11,"Rohan",14,"LL","1","PD",NA,NA,0.584,"ARCA",2022-04-04
"83",11,"Rohan",14,"LL","2","MD",NA,1.53609467455621,2.45,"ARCA",2022-04-06
"84",11,"Rohan",14,"LL","2","PD",NA,NA,0.443,"ARCA",2022-04-04
