"","tree","plot","site","species","date","time","week","lwc_bulk","rep","lwc_leaf"
"1",10,"Chamise","Chamise","ARCA",2022-09-12,"PD",37,1.03055954852792,NA,NA
"2",10,"Chamise","Chamise","ARCA",2022-09-12,"PD",37,0.397378589287067,NA,NA
"3",11,"Rohan","LL","ARCA",2022-09-12,"PD",37,0.69993399339934,NA,NA
"4",11,"Rohan","LL","ARCA",2022-09-15,"MD",37,0.488980010251153,NA,NA
"5",12,"High","Cucu Mesa","ARCA",2022-09-12,"PD",37,0.930381424946025,NA,NA
"6",12,"High","Cucu Mesa","ARCA",2022-09-16,"MD",38,0.437577639751553,NA,NA
"7",20,"High","Cucu Mesa","LEU",2022-09-16,"MD",38,0.338339591155611,NA,NA
"8",21,"Rohan","LL","LEU",2022-09-15,"MD",37,0.315604616156548,NA,NA
"9",1478,"Low","Cucu Mesa","blue oak",2022-09-16,"MD",38,0.61517094017094,NA,NA
"10",1478,"Low","Cucu Mesa","blue oak",2022-09-16,"PD",38,0.725960702486524,NA,NA
"11",2004,"High","Cucu Mesa","blue oak",2022-09-16,"PD",38,0.745921498950089,NA,NA
"12",2004,"High","Cucu Mesa","blue oak",2022-09-12,"PD",37,0.671155729676787,NA,NA
"13",2004,"High","Cucu Mesa","blue oak",2022-09-16,"MD",38,0.575609756097561,NA,NA
"14",2005,"High","Cucu Mesa","blue oak",2022-09-16,"MD",38,0.639264203158066,NA,NA
"15",2005,"High","Cucu Mesa","blue oak",2022-09-12,"PD",37,0.823221892345424,NA,NA
"16",2006,"High","Cucu Mesa","blue oak",2022-09-16,"MD",38,0.683959767072525,NA,NA
"17",2006,"High","Cucu Mesa","blue oak",2022-09-16,"PD",38,0.768838924995608,NA,NA
"18",2006,"High","Cucu Mesa","blue oak",2022-09-12,"PD",37,0.627076963977137,NA,NA
"19",2006,"High","Cucu Mesa","blue oak",2022-09-12,"PD",37,0.91629314208875,NA,NA
"20",2007,"High","Cucu Mesa","blue oak",2022-09-16,"PD",38,0.790027562014533,NA,NA
"21",2007,"High","Cucu Mesa","blue oak",2022-09-12,"PD",37,0.813745828447731,NA,NA
"22",2007,"High","Cucu Mesa","blue oak",2022-09-16,"MD",38,0.627936507936508,NA,NA
"23",2009,"Hobbiton","LL","blue oak",2022-08-18,"PD",33,0.650943396226415,NA,NA
"24",2009,"Hobbiton","LL","blue oak",2022-09-16,"MD",38,0.503884372177055,NA,NA
"25",2009,"Hobbiton","LL","blue oak",2022-08-18,"MD",33,0.591337719298246,NA,NA
"26",2010,"Weathertop","LL","blue oak",2022-08-18,"PD",33,0.698709507505926,NA,NA
"27",2010,"Weathertop","LL","blue oak",2022-08-18,"MD",33,0.678798441664958,NA,NA
"28",2010,"Weathertop","LL","blue oak",2022-09-12,"PD",37,0.747028550422742,NA,NA
"29",2011,"Weathertop","LL","blue oak",2022-09-15,"MD",37,0.566715086117452,NA,NA
