"","tree","week","species","rep","date.x","mean_pd","mpa_pd","date_pd","date.y","mean_md","mpa_md","date_md"
"1",2009,12,"blue oak","1",2022-03-25,1.26666666666667,1.25,2022-03-25,2022-03-25,2.0625,2.15,2022-03-25
"2",2009,12,"blue oak","2",2022-03-25,1.26666666666667,1.1,2022-03-25,2022-03-25,2.0625,1.95,2022-03-25
"3",2009,12,"blue oak","3",2022-03-25,1.26666666666667,1.45,2022-03-25,2022-03-25,2.0625,1.9,2022-03-25
"4",2009,12,"blue oak","4",NA,NA,NA,NA,2022-03-25,2.0625,2.25,2022-03-25
"5",2009,15,"blue oak","1",2022-04-11,1.32666666666667,1.279,2022-04-11,NA,NA,NA,NA
"6",2009,15,"blue oak","2",2022-04-11,1.32666666666667,1.301,2022-04-11,NA,NA,NA,NA
"7",2009,15,"blue oak","3",2022-04-11,1.32666666666667,1.4,2022-04-11,NA,NA,NA,NA
"8",2009,13,"blue oak","1",2022-03-30,1.12333333333333,1.18,2022-03-30,NA,NA,NA,NA
"9",2009,13,"blue oak","2",2022-03-30,1.12333333333333,1.12,2022-03-30,NA,NA,NA,NA
"10",2009,13,"blue oak","3",2022-03-30,1.12333333333333,1.07,2022-03-30,NA,NA,NA,NA
"11",2010,15,"blue oak","1",2022-04-11,1.34525,1.46,2022-04-11,NA,NA,NA,NA
"12",2010,15,"blue oak","2",2022-04-11,1.34525,1.29,2022-04-11,NA,NA,NA,NA
"13",2010,15,"blue oak","3",2022-04-11,1.34525,1.215,2022-04-11,NA,NA,NA,NA
"14",2010,15,"blue oak","4",2022-04-11,1.34525,1.416,2022-04-11,NA,NA,NA,NA
"15",2010,12,NA,"1",2022-03-25,1.4875,1.65,2022-03-25,NA,NA,NA,NA
"16",2010,12,NA,"2",2022-03-25,1.4875,1.2,2022-03-25,NA,NA,NA,NA
"17",2010,12,NA,"3",2022-03-25,1.4875,1.6,2022-03-25,NA,NA,NA,NA
"18",2010,12,NA,"4",2022-03-25,1.4875,1.5,2022-03-25,NA,NA,NA,NA
"19",2010,13,"blue oak","1",2022-03-30,0.504333333333333,0.518,2022-03-30,NA,NA,NA,NA
"20",2010,13,"blue oak","2",2022-03-30,0.504333333333333,0.479,2022-03-30,NA,NA,NA,NA
"21",2010,13,"blue oak","3",2022-03-30,0.504333333333333,0.516,2022-03-30,NA,NA,NA,NA
"22",2011,15,NA,"1",2022-04-11,1.5,1.6,2022-04-11,NA,NA,NA,NA
"23",2011,15,NA,"2",2022-04-11,1.5,1.3,2022-04-11,NA,NA,NA,NA
"24",2011,15,NA,"3",2022-04-11,1.5,1.6,2022-04-11,NA,NA,NA,NA
"25",2020,11,"blue oak","1",2022-03-15,1.58275,1.64,2022-03-15,NA,NA,NA,NA
"26",2020,11,"blue oak","2",2022-03-15,1.58275,1.315,2022-03-15,NA,NA,NA,NA
"27",2020,11,"blue oak","3",2022-03-15,1.58275,1.786,2022-03-15,NA,NA,NA,NA
"28",2020,11,"blue oak","4",2022-03-15,1.58275,1.59,2022-03-15,NA,NA,NA,NA
"29",2021,11,"blue oak","1",2022-03-15,1.39666666666667,1.52,2022-03-15,NA,NA,NA,NA
"30",2021,11,"blue oak","2",2022-03-15,1.39666666666667,1.14,2022-03-15,NA,NA,NA,NA
"31",2021,11,"blue oak","3",2022-03-15,1.39666666666667,1.53,2022-03-15,NA,NA,NA,NA
"32",2022,11,"live oak","1",2022-03-15,1.0025,0.92,2022-03-15,NA,NA,NA,NA
"33",2022,11,"live oak","2",2022-03-15,1.0025,0.55,2022-03-15,NA,NA,NA,NA
"34",2022,11,"live oak","3",2022-03-15,1.0025,1.56,2022-03-15,NA,NA,NA,NA
"35",2022,11,"live oak","4",2022-03-15,1.0025,0.98,2022-03-15,NA,NA,NA,NA
"36",2023,11,"live oak","1",2022-03-15,0.70575,0.782,2022-03-15,NA,NA,NA,NA
"37",2023,11,"live oak","2",2022-03-15,0.70575,0.645,2022-03-15,NA,NA,NA,NA
"38",2023,11,"live oak","3",2022-03-15,0.70575,0.779,2022-03-15,NA,NA,NA,NA
"39",2023,11,"live oak","4",2022-03-15,0.70575,0.617,2022-03-15,NA,NA,NA,NA
"40",2024,11,"blue oak","1",2022-03-15,1.0925,0.77,2022-03-15,NA,NA,NA,NA
"41",2024,11,"blue oak","2",2022-03-15,1.0925,0.9,2022-03-15,NA,NA,NA,NA
"42",2024,11,"blue oak","3",2022-03-15,1.0925,1.26,2022-03-15,NA,NA,NA,NA
