"","tree","week","species","rep","date.x","mean_pd","mpa_pd","date_pd","date.y","mean_md","mpa_md","date_md"
"1",1475,19,"blue oak","1",NA,NA,NA,NA,2022-05-09,2.535,2.564,2022-05-09
"2",1475,19,"blue oak","2",NA,NA,NA,NA,2022-05-09,2.535,2.506,2022-05-09
"3",1478,15,"blue oak","1",NA,NA,NA,NA,2022-04-13,1.6904,1.8,2022-04-13
"4",1478,15,"blue oak","2",NA,NA,NA,NA,2022-04-13,1.6904,1.951,2022-04-13
"5",1478,15,"blue oak","3",NA,NA,NA,NA,2022-04-13,1.6904,1.295,2022-04-13
"6",1478,15,"blue oak","4",NA,NA,NA,NA,2022-04-13,1.6904,1.584,2022-04-13
"7",1478,15,"blue oak","5",NA,NA,NA,NA,2022-04-13,1.6904,1.822,2022-04-13
"8",1478,29,"blue oak","1",NA,NA,NA,NA,2022-07-19,4.13333333333333,4.3,2022-07-19
"9",1478,29,"blue oak","2",NA,NA,NA,NA,2022-07-19,4.13333333333333,4.1,2022-07-19
"10",1478,29,"blue oak","3",NA,NA,NA,NA,2022-07-19,4.13333333333333,4,2022-07-19
"11",2004,15,"blue oak","1",NA,NA,NA,NA,2022-04-13,2.2,2.2,2022-04-13
"12",2004,15,"blue oak","2",NA,NA,NA,NA,2022-04-13,2.2,2.2,2022-04-13
"13",2004,29,"blue oak","1",2022-07-19,2.138,2.52,2022-07-19,NA,NA,NA,NA
"14",2004,29,"blue oak","2",2022-07-19,2.138,2.15,2022-07-19,NA,NA,NA,NA
"15",2004,29,"blue oak","3",2022-07-19,2.138,2.08,2022-07-19,NA,NA,NA,NA
"16",2004,29,"blue oak","4",2022-07-19,2.138,1.75,2022-07-19,NA,NA,NA,NA
"17",2004,29,"blue oak","5",2022-07-19,2.138,2.19,2022-07-19,NA,NA,NA,NA
"18",2005,15,"blue oak","1",NA,NA,NA,NA,2022-04-13,1.61666666666667,1.666,2022-04-13
"19",2005,15,"blue oak","2",NA,NA,NA,NA,2022-04-13,1.61666666666667,1.561,2022-04-13
"20",2005,15,"blue oak","3",NA,NA,NA,NA,2022-04-13,1.61666666666667,1.623,2022-04-13
"21",2005,19,"blue oak","1",NA,NA,NA,NA,2022-05-09,2.49,2.681,2022-05-09
"22",2005,19,"blue oak","2",NA,NA,NA,NA,2022-05-09,2.49,2.401,2022-05-09
"23",2005,19,"blue oak","3",NA,NA,NA,NA,2022-05-09,2.49,2.388,2022-05-09
"24",2005,29,"blue oak","1",NA,NA,NA,NA,2022-07-19,4.33333333333333,4.4,2022-07-19
"25",2005,29,"blue oak","2",NA,NA,NA,NA,2022-07-19,4.33333333333333,4.4,2022-07-19
"26",2005,29,"blue oak","3",NA,NA,NA,NA,2022-07-19,4.33333333333333,4.2,2022-07-19
"27",2006,15,"blue oak","1",NA,NA,NA,NA,2022-04-13,1.727,1.94,2022-04-13
"28",2006,15,"blue oak","2",NA,NA,NA,NA,2022-04-13,1.727,1.641,2022-04-13
"29",2006,15,"blue oak","3",NA,NA,NA,NA,2022-04-13,1.727,1.6,2022-04-13
"30",2006,19,"blue oak","1",NA,NA,NA,NA,2022-05-09,2.36066666666667,2.433,2022-05-09
"31",2006,19,"blue oak","2",NA,NA,NA,NA,2022-05-09,2.36066666666667,2.278,2022-05-09
"32",2006,19,"blue oak","3",NA,NA,NA,NA,2022-05-09,2.36066666666667,2.371,2022-05-09
"33",2006,29,"blue oak","1",2022-07-19,2.775,2.75,2022-07-19,2022-07-19,4.46666666666667,4.3,2022-07-19
"34",2006,29,"blue oak","2",2022-07-19,2.775,2.58,2022-07-19,2022-07-19,4.46666666666667,4.7,2022-07-19
"35",2006,29,"blue oak","3",2022-07-19,2.775,3.17,2022-07-19,2022-07-19,4.46666666666667,4.4,2022-07-19
"36",2006,29,"blue oak","4",2022-07-19,2.775,2.6,2022-07-19,NA,NA,NA,NA
"37",2007,15,"blue oak","1",NA,NA,NA,NA,2022-04-13,1.70666666666667,1.8,2022-04-13
"38",2007,15,"blue oak","2",NA,NA,NA,NA,2022-04-13,1.70666666666667,1.72,2022-04-13
"39",2007,15,"blue oak","3",NA,NA,NA,NA,2022-04-13,1.70666666666667,1.6,2022-04-13
"40",2007,19,"blue oak","1",NA,NA,NA,NA,2022-05-09,2.23766666666667,2.266,2022-05-09
"41",2007,19,"blue oak","2",NA,NA,NA,NA,2022-05-09,2.23766666666667,2.168,2022-05-09
"42",2007,19,"blue oak","3",NA,NA,NA,NA,2022-05-09,2.23766666666667,2.279,2022-05-09
"43",2007,29,"blue oak","1",2022-07-19,2.32333333333333,2.22,2022-07-19,2022-07-19,4.23333333333333,4,2022-07-19
"44",2007,29,"blue oak","2",2022-07-19,2.32333333333333,2.35,2022-07-19,2022-07-19,4.23333333333333,4.5,2022-07-19
"45",2007,29,"blue oak","3",2022-07-19,2.32333333333333,2.4,2022-07-19,2022-07-19,4.23333333333333,4.2,2022-07-19
"46",2009,12,"blue oak","1",2022-03-25,1.26666666666667,1.25,2022-03-25,2022-03-25,2.0625,2.15,2022-03-25
"47",2009,12,"blue oak","2",2022-03-25,1.26666666666667,1.1,2022-03-25,2022-03-25,2.0625,1.95,2022-03-25
"48",2009,12,"blue oak","3",2022-03-25,1.26666666666667,1.45,2022-03-25,2022-03-25,2.0625,1.9,2022-03-25
"49",2009,12,"blue oak","4",NA,NA,NA,NA,2022-03-25,2.0625,2.25,2022-03-25
"50",2009,15,"blue oak","1",2022-04-11,1.32666666666667,1.279,2022-04-11,2022-04-13,2.088,1.888,2022-04-13
"51",2009,15,"blue oak","2",2022-04-11,1.32666666666667,1.301,2022-04-11,2022-04-13,2.088,2.091,2022-04-13
"52",2009,15,"blue oak","3",2022-04-11,1.32666666666667,1.4,2022-04-11,2022-04-13,2.088,2.285,2022-04-13
"53",2009,17,"blue oak","1",2022-04-25,1.276,1.314,2022-04-25,2022-04-25,3.03333333333333,3.134,2022-04-25
"54",2009,17,"blue oak","2",2022-04-25,1.276,1.258,2022-04-25,2022-04-25,3.03333333333333,2.924,2022-04-25
"55",2009,17,"blue oak","3",2022-04-25,1.276,1.256,2022-04-25,2022-04-25,3.03333333333333,3.042,2022-04-25
"56",2009,18,"blue oak","1",NA,NA,NA,NA,2022-05-04,2.9542,2.785,2022-05-04
"57",2009,18,"blue oak","2",NA,NA,NA,NA,2022-05-04,2.9542,2.86,2022-05-04
"58",2009,18,"blue oak","3",NA,NA,NA,NA,2022-05-04,2.9542,3.134,2022-05-04
"59",2009,18,"blue oak","4",NA,NA,NA,NA,2022-05-04,2.9542,3.071,2022-05-04
"60",2009,18,"blue oak","5",NA,NA,NA,NA,2022-05-04,2.9542,2.921,2022-05-04
"61",2009,19,"blue oak","1",2022-05-09,1.66266666666667,1.523,2022-05-09,2022-05-09,2.83966666666667,2.985,2022-05-09
"62",2009,19,"blue oak","2",2022-05-09,1.66266666666667,1.674,2022-05-09,2022-05-09,2.83966666666667,2.849,2022-05-09
"63",2009,19,"blue oak","3",2022-05-09,1.66266666666667,1.791,2022-05-09,2022-05-09,2.83966666666667,2.685,2022-05-09
"64",2009,21,"blue oak","1",2022-05-23,1.789,1.783,2022-05-23,2022-05-23,3.276,3.281,2022-05-23
"65",2009,21,"blue oak","2",2022-05-23,1.789,1.682,2022-05-23,2022-05-23,3.276,3.271,2022-05-23
"66",2009,21,"blue oak","3",2022-05-23,1.789,1.902,2022-05-23,NA,NA,NA,NA
"67",2009,29,"blue oak","1",NA,NA,NA,NA,2022-07-19,3.93333333333333,3.9,2022-07-19
"68",2009,29,"blue oak","2",NA,NA,NA,NA,2022-07-19,3.93333333333333,3.9,2022-07-19
"69",2009,29,"blue oak","3",NA,NA,NA,NA,2022-07-19,3.93333333333333,4,2022-07-19
"70",2009,13,"blue oak","1",2022-03-30,1.12333333333333,1.18,2022-03-30,NA,NA,NA,NA
"71",2009,13,"blue oak","2",2022-03-30,1.12333333333333,1.12,2022-03-30,NA,NA,NA,NA
"72",2009,13,"blue oak","3",2022-03-30,1.12333333333333,1.07,2022-03-30,NA,NA,NA,NA
"73",2010,15,"blue oak","1",2022-04-11,1.34525,1.46,2022-04-11,2022-04-13,2.616,2.681,2022-04-13
"74",2010,15,"blue oak","2",2022-04-11,1.34525,1.29,2022-04-11,2022-04-13,2.616,2.551,2022-04-13
"75",2010,15,"blue oak","3",2022-04-11,1.34525,1.215,2022-04-11,NA,NA,NA,NA
"76",2010,15,"blue oak","4",2022-04-11,1.34525,1.416,2022-04-11,NA,NA,NA,NA
"77",2010,17,"blue oak","1",2022-04-25,1.171,1.182,2022-04-25,2022-04-25,2.62666666666667,2.64,2022-04-25
"78",2010,17,"blue oak","2",2022-04-25,1.171,1.118,2022-04-25,2022-04-25,2.62666666666667,2.51,2022-04-25
"79",2010,17,"blue oak","3",2022-04-25,1.171,1.213,2022-04-25,2022-04-25,2.62666666666667,2.73,2022-04-25
