"","site","plot","plot_number","species","tag","mpa","date","week","tree","time","rep"
"1","LL","MiddleEarth","AT001","live oak","2352.0",5.6,2022-08-18,33,2352,"md",1
"2","LL","MiddleEarth","AT001","live oak","2352.0",5.7,2022-08-18,33,2352,"md",2
"3","LL","MiddleEarth","AT001","live oak","2352.0",5.5,2022-08-18,33,2352,"md",3
"4","LL","MiddleEarth","AT001","live oak","2354.0",4.7,2022-08-18,33,2354,"md",1
"5","LL","MiddleEarth","AT001","live oak","2354.0",4.2,2022-08-18,33,2354,"md",2
"6","LL","MiddleEarth","AT001","live oak","2354.0",3.2,2022-08-18,33,2354,"md",3
"7","LL","MiddleEarth","AT001","live oak","2354.0",4.3,2022-08-18,33,2354,"md",4
"8","LL","MiddleEarth","AT001","blue oak","2360.0",4.5,2022-08-18,33,2360,"md",1
"9","LL","MiddleEarth","AT001","blue oak","2360.0",4.6,2022-08-18,33,2360,"md",2
"10","LL","MiddleEarth","AT001","blue oak","2360.0",4.6,2022-08-18,33,2360,"md",3
"11","LL","MiddleEarth","AT001","blue oak","2365.0",4.1,2022-08-18,33,2365,"md",1
"12","LL","MiddleEarth","AT001","blue oak","2365.0",3.6,2022-08-18,33,2365,"md",2
"13","LL","MiddleEarth","AT001","blue oak","2365.0",4.1,2022-08-18,33,2365,"md",3
"14","LL","MiddleEarth","AT001","blue oak","2367.0",3.8,2022-08-18,33,2367,"md",1
"15","LL","MiddleEarth","AT001","blue oak","2367.0",3.85,2022-08-18,33,2367,"md",2
"16","LL","MiddleEarth","AT001","blue oak","2367.0",4,2022-08-18,33,2367,"md",3
"17","LL","MiddleEarth","near AT001","live oak","2376.0",5.1,2022-08-18,33,2376,"md",1
"18","LL","MiddleEarth","near AT001","live oak","2376.0",4.8,2022-08-18,33,2376,"md",2
"19","LL","MiddleEarth","near AT001","live oak","2376.0",5.1,2022-08-18,33,2376,"md",3
"20","LL","MiddleEarth","near AT001","blue oak","2378.0",3.7,2022-08-18,33,2378,"md",1
"21","LL","MiddleEarth","near AT001","blue oak","2378.0",3.75,2022-08-18,33,2378,"md",2
"22","LL","MiddleEarth","near AT001","blue oak","2378.0",3.8,2022-08-18,33,2378,"md",3
"23","LL","MiddleEarth","near AT001","blue oak","2378.0",3.7,2022-08-18,33,2378,"md",4
"24","LL","MiddleEarth","near AT001","blue oak","2379.0",4.6,2022-08-18,33,2379,"md",1
"25","LL","MiddleEarth","near AT001","blue oak","2379.0",4.6,2022-08-18,33,2379,"md",2
"26","LL","MiddleEarth","near AT001","blue oak","2379.0",4.7,2022-08-18,33,2379,"md",3
"27","LL","MiddleEarth","near AT001","live oak","2380.0",4.2,2022-08-18,33,2380,"md",1
"28","LL","MiddleEarth","near AT001","live oak","2380.0",3.8,2022-08-18,33,2380,"md",2
"29","LL","MiddleEarth","near AT001","live oak","2380.0",4.3,2022-08-18,33,2380,"md",3
"30","LL","Hobbiton","AT002","blue oak","2343.0",3.1,2022-08-18,33,2343,"md",1
"31","LL","Hobbiton","AT002","blue oak","2343.0",3.1,2022-08-18,33,2343,"md",2
"32","LL","Hobbiton","AT002","blue oak","2343.0",3.2,2022-08-18,33,2343,"md",3
"33","LL","Hobbiton","AT002","blue oak","2343.0",3.3,2022-08-18,33,2343,"md",4
