site,plot,species,mpa,week,tree,time,date_wp
LL,MiddleEarth,live oak,4.06,33,2352,md,2022-08-18
LL,MiddleEarth,live oak,4.482,33,2352,md,2022-08-18
LL,MiddleEarth,live oak,4.061,33,2352,md,2022-08-18
LL,MiddleEarth,live oak,3.578,33,2354,md,2022-08-18
LL,MiddleEarth,live oak,3.316,33,2354,md,2022-08-18
LL,MiddleEarth,live oak,3.601,33,2354,md,2022-08-18
LL,MiddleEarth,blue oak,5.127,33,2360,md,2022-08-18
LL,MiddleEarth,blue oak,4.848,33,2360,md,2022-08-18
LL,MiddleEarth,blue oak,4.664,33,2360,md,2022-08-18
LL,MiddleEarth,blue oak,4.884,33,2360,md,2022-08-18
LL,MiddleEarth,blue oak,5.207,33,2365,md,2022-08-18
LL,MiddleEarth,blue oak,5.128,33,2365,md,2022-08-18
LL,MiddleEarth,blue oak,5.27,33,2367,md,2022-08-18
LL,MiddleEarth,blue oak,5.267,33,2367,md,2022-08-18
LL,MiddleEarth,blue oak,4.923,33,2369,md,2022-08-18
LL,MiddleEarth,blue oak,4.929,33,2369,md,2022-08-18
LL,MiddleEarth,live oak,3.981,33,2376,md,2022-08-18
LL,MiddleEarth,live oak,3.502,33,2376,md,2022-08-18
LL,MiddleEarth,live oak,3.802,33,2376,md,2022-08-18
LL,MiddleEarth,live oak,4.051,33,2377,md,2022-08-18
LL,MiddleEarth,live oak,4.006,33,2377,md,2022-08-18
LL,MiddleEarth,blue oak,4.03,33,2378,md,2022-08-18
LL,MiddleEarth,blue oak,3.902,33,2378,md,2022-08-18
LL,MiddleEarth,blue oak,3.906,33,2378,md,2022-08-18
LL,MiddleEarth,blue oak,4.329,33,2379,md,2022-08-18
LL,MiddleEarth,blue oak,4.369,33,2379,md,2022-08-18
LL,MiddleEarth,live oak,3.165,33,2380,md,2022-08-18
LL,MiddleEarth,live oak,3.1,33,2380,md,2022-08-18
LL,Hobbiton,blue oak,4.022,33,2343,md,2022-08-18
LL,Hobbiton,blue oak,3.769,33,2343,md,2022-08-18
LL,Hobbiton,blue oak,4.216,33,2343,md,2022-08-18
LL,Hobbiton,live oak,2.502,33,2345,md,2022-08-18
LL,Hobbiton,live oak,2.567,33,2345,md,2022-08-18
LL,Hobbiton,live oak,2.264,33,2345,md,2022-08-18
LL,Hobbiton,blue oak,5.103,33,2346,md,2022-08-18
LL,Hobbiton,blue oak,5.121,33,2346,md,2022-08-18
LL,Hobbiton,blue oak,4.402,33,2347,md,2022-08-18
LL,Hobbiton,blue oak,4.511,33,2347,md,2022-08-18
LL,Hobbiton,blue oak,3.789,33,2375,md,2022-08-18
LL,Hobbiton,blue oak,4.158,33,2375,md,2022-08-18
LL,Hobbiton,blue oak,4.531,33,2375,md,2022-08-18
LL,Hobbiton,blue oak,4.128,33,2375,md,2022-08-18
LL,Ridge,live oak,4.887,33,2331,md,2022-08-18
LL,Ridge,live oak,3.816,33,2331,md,2022-08-18
LL,Ridge,live oak,3.501,33,2331,md,2022-08-18
LL,Ridge,live oak,3.275,33,2331,md,2022-08-18
LL,Hobbiton,live oak,3.416,33,2301,md,2022-08-18
LL,Hobbiton,live oak,3.711,33,2301,md,2022-08-18
LL,Hobbiton,live oak,4.02,33,2301,md,2022-08-18
LL,Hobbiton,live oak,3.816,33,2301,md,2022-08-18
