"","tree","time","week","species","plot","site","mpa","date_wp","dm_bulk_g","wm_bulk_g","pd_bulk_dry","pd_bulk_wet","dw_g_pd","ww_g_pd","md_bulk_dry","md_bulk_wet","dw_g_md","ww_g_md","dm_leaf_g","wm_leaf_g","sum_area_cm2","lwa_g_cm2_new","mpa_mean","lwc_mean","week_rwc_link","week_alas_link","timing","type"
"1",1478,"md",15,"blue oak","Low","Cucu Mesa",1.822,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.0572,0.1151,0.0572,0.1151,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"2",1478,"md",15,"blue oak","Low","Cucu Mesa",1.822,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.0786,0.1545,0.0786,0.1545,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"3",1478,"md",15,"blue oak","Low","Cucu Mesa",1.822,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.0699,0.1371,0.0699,0.1371,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"4",1478,"md",15,"blue oak","Low","Cucu Mesa",1.822,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.0554,0.1077,0.0554,0.1077,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"5",1478,"md",15,"blue oak","Low","Cucu Mesa",1.822,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.042,0.0853,0.042,0.0853,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"6",1478,"md",15,"blue oak","Low","Cucu Mesa",1.8,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.0572,0.1151,0.0572,0.1151,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"7",1478,"md",15,"blue oak","Low","Cucu Mesa",1.8,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.0786,0.1545,0.0786,0.1545,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"8",1478,"md",15,"blue oak","Low","Cucu Mesa",1.8,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.0699,0.1371,0.0699,0.1371,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"9",1478,"md",15,"blue oak","Low","Cucu Mesa",1.8,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.0554,0.1077,0.0554,0.1077,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"10",1478,"md",15,"blue oak","Low","Cucu Mesa",1.8,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.042,0.0853,0.042,0.0853,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"11",1478,"md",15,"blue oak","Low","Cucu Mesa",1.584,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.0572,0.1151,0.0572,0.1151,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"12",1478,"md",15,"blue oak","Low","Cucu Mesa",1.584,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.0786,0.1545,0.0786,0.1545,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"13",1478,"md",15,"blue oak","Low","Cucu Mesa",1.584,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.0699,0.1371,0.0699,0.1371,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"14",1478,"md",15,"blue oak","Low","Cucu Mesa",1.584,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.0554,0.1077,0.0554,0.1077,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"15",1478,"md",15,"blue oak","Low","Cucu Mesa",1.584,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.042,0.0853,0.042,0.0853,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"16",1478,"md",15,"blue oak","Low","Cucu Mesa",1.951,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.0572,0.1151,0.0572,0.1151,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"17",1478,"md",15,"blue oak","Low","Cucu Mesa",1.951,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.0786,0.1545,0.0786,0.1545,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"18",1478,"md",15,"blue oak","Low","Cucu Mesa",1.951,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.0699,0.1371,0.0699,0.1371,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"19",1478,"md",15,"blue oak","Low","Cucu Mesa",1.951,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.0554,0.1077,0.0554,0.1077,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"20",1478,"md",15,"blue oak","Low","Cucu Mesa",1.951,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.042,0.0853,0.042,0.0853,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"21",1478,"md",15,"blue oak","Low","Cucu Mesa",1.295,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.0572,0.1151,0.0572,0.1151,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"22",1478,"md",15,"blue oak","Low","Cucu Mesa",1.295,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.0786,0.1545,0.0786,0.1545,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"23",1478,"md",15,"blue oak","Low","Cucu Mesa",1.295,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.0699,0.1371,0.0699,0.1371,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"24",1478,"md",15,"blue oak","Low","Cucu Mesa",1.295,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.0554,0.1077,0.0554,0.1077,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"25",1478,"md",15,"blue oak","Low","Cucu Mesa",1.295,2022-04-13,1.2356,2.6018,NA,NA,NA,NA,1.2356,2.6018,0.042,0.0853,0.042,0.0853,651.64307756,0.0020965464792714,1.6904,1.04427438938878,15,14,"early","leaf"
"26",1478,"md",17,"blue oak","Low","Cucu Mesa",2.271,2022-04-27,0.859,1.735,0.847,1.759,NA,NA,0.859,1.735,NA,NA,NA,NA,NA,NA,2.221,1.0197904540163,17,17,"late","leaf"
"27",1478,"md",17,"blue oak","Low","Cucu Mesa",1.991,2022-04-27,0.859,1.735,0.847,1.759,NA,NA,0.859,1.735,NA,NA,NA,NA,NA,NA,2.221,1.0197904540163,17,17,"late","leaf"
"28",1478,"md",17,"blue oak","Low","Cucu Mesa",2.401,2022-04-27,0.859,1.735,0.847,1.759,NA,NA,0.859,1.735,NA,NA,NA,NA,NA,NA,2.221,1.0197904540163,17,17,"late","leaf"
"29",1478,"md",19,"blue oak","Low","Cucu Mesa",2.506,2022-05-09,1.0036,1.8414,NA,NA,NA,NA,1.0036,1.8414,NA,NA,NA,NA,NA,NA,2.535,0.834794738939816,19,21,"late","leaf"
"30",1478,"md",19,"blue oak","Low","Cucu Mesa",2.564,2022-05-09,1.0036,1.8414,NA,NA,NA,NA,1.0036,1.8414,NA,NA,NA,NA,NA,NA,2.535,0.834794738939816,19,21,"late","leaf"
"31",1478,"md",21,"blue oak","Low","Cucu Mesa",4,2022-05-25,0.584,0.974,NA,NA,NA,NA,0.584,0.974,NA,NA,NA,NA,NA,NA,3.9875,0.667808219178082,21,21,"late","leaf"
"32",1478,"md",21,"blue oak","Low","Cucu Mesa",4,2022-05-25,0.584,0.974,0.6283,1.16,NA,NA,0.584,0.974,NA,NA,NA,NA,NA,NA,3.9875,0.667808219178082,21,21,"late","leaf"
"33",1478,"md",21,"blue oak","Low","Cucu Mesa",3.85,2022-05-25,0.584,0.974,NA,NA,NA,NA,0.584,0.974,NA,NA,NA,NA,NA,NA,3.9875,0.667808219178082,21,21,"late","leaf"
"34",1478,"md",21,"blue oak","Low","Cucu Mesa",3.85,2022-05-25,0.584,0.974,0.6283,1.16,NA,NA,0.584,0.974,NA,NA,NA,NA,NA,NA,3.9875,0.667808219178082,21,21,"late","leaf"
"35",1478,"md",21,"blue oak","Low","Cucu Mesa",4.5,2022-05-25,0.584,0.974,NA,NA,NA,NA,0.584,0.974,NA,NA,NA,NA,NA,NA,3.9875,0.667808219178082,21,21,"late","leaf"
"36",1478,"md",21,"blue oak","Low","Cucu Mesa",4.5,2022-05-25,0.584,0.974,0.6283,1.16,NA,NA,0.584,0.974,NA,NA,NA,NA,NA,NA,3.9875,0.667808219178082,21,21,"late","leaf"
"37",1478,"md",21,"blue oak","Low","Cucu Mesa",3.6,2022-05-25,0.584,0.974,NA,NA,NA,NA,0.584,0.974,NA,NA,NA,NA,NA,NA,3.9875,0.667808219178082,21,21,"late","leaf"
"38",1478,"md",21,"blue oak","Low","Cucu Mesa",3.6,2022-05-25,0.584,0.974,0.6283,1.16,NA,NA,0.584,0.974,NA,NA,NA,NA,NA,NA,3.9875,0.667808219178082,21,21,"late","leaf"
"39",1478,"md",29,"blue oak","Low","Cucu Mesa",4.3,2022-07-19,0.26,0.4123,NA,NA,NA,NA,0.26,0.4123,NA,NA,NA,NA,NA,NA,4.13333333333333,0.585769230769231,30,29,"late","leaf"
"40",1478,"md",29,"blue oak","Low","Cucu Mesa",4.1,2022-07-19,0.26,0.4123,NA,NA,NA,NA,0.26,0.4123,NA,NA,NA,NA,NA,NA,4.13333333333333,0.585769230769231,30,29,"late","leaf"
"41",1478,"md",29,"blue oak","Low","Cucu Mesa",4,2022-07-19,0.26,0.4123,NA,NA,NA,NA,0.26,0.4123,NA,NA,NA,NA,NA,NA,4.13333333333333,0.585769230769231,30,29,"late","leaf"
"42",1478,"md",37,"blue oak","Low","Cucu Mesa",4.371,2022-09-15,0.468,0.7559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.073,0.61517094017094,37,37,"late","leaf"
"43",1478,"md",37,"blue oak","Low","Cucu Mesa",3.742,2022-09-15,0.468,0.7559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.073,0.61517094017094,37,37,"late","leaf"
"44",1478,"md",37,"blue oak","Low","Cucu Mesa",4.106,2022-09-15,0.468,0.7559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.073,0.61517094017094,37,37,"late","leaf"
"45",1478,"md",NA,"blue oak","Low","Cucu Mesa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151,0.3916,0.151,0.3916,NA,NA,NA,1.56168774816373,NA,NA,NA,"leaf"
"46",1478,"md",NA,"blue oak","Low","Cucu Mesa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156,0.3972,0.156,0.3972,NA,NA,NA,1.56168774816373,NA,NA,NA,"leaf"
"47",1478,"md",NA,"blue oak","Low","Cucu Mesa",NA,NA,NA,NA,NA,NA,0.8328,2.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56168774816373,NA,NA,NA,"leaf"
"48",1478,"md",NA,"blue oak","Low","Cucu Mesa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235,0.5982,0.235,0.5982,NA,NA,NA,1.56168774816373,NA,NA,NA,"leaf"
"49",1478,"pd",14,"blue oak","Low","Cucu Mesa",0.29,2022-04-04,0.8328,2.285,0.8328,2.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5714,1.74375600384246,15,14,"early","leaf"
"50",1478,"pd",14,"blue oak","Low","Cucu Mesa",0.402,2022-04-04,0.8328,2.285,0.8328,2.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5714,1.74375600384246,15,14,"early","leaf"
"51",1478,"pd",14,"blue oak","Low","Cucu Mesa",0.768,2022-04-04,0.8328,2.285,0.8328,2.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5714,1.74375600384246,15,14,"early","leaf"
"52",1478,"pd",14,"blue oak","Low","Cucu Mesa",0.519,2022-04-04,0.8328,2.285,0.8328,2.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5714,1.74375600384246,15,14,"early","leaf"
