"","tree","week","plot","site","species","time","date_wp","mpa_mean","timing","lwc_mean","mean_swc_per_dry_g_y0","mean_swc_g_y0","date_rwc"
"1",1478,14,"Low","Cucu Mesa","blue oak","md",NA,NA,NA,NA,NA,NA,NA
"2",1478,14,"Low","Cucu Mesa","blue oak","pd",2022-04-04,0.5714,"early",1.74375600384246,NA,NA,NA
"3",1478,15,"Low","Cucu Mesa","blue oak","md",2022-04-13,1.6904,"late",1.04427438938878,1.3074871404077,0.6863,"2022-04-14"
"4",1478,15,"Low","Cucu Mesa","blue oak","pd",NA,NA,NA,NA,1.3074871404077,0.6863,"2022-04-14"
"5",1478,17,"Low","Cucu Mesa","blue oak","md",2022-04-27,2.221,"late",1.0197904540163,NA,NA,NA
"6",1478,17,"Low","Cucu Mesa","blue oak","pd",2022-04-27,0.903,"late",1.0767414403778,NA,NA,NA
"7",1478,19,"Low","Cucu Mesa","blue oak","md",2022-05-09,2.535,"late",0.834794738939816,1.11212055194809,0.2477,"2022-05-09"
"8",1478,19,"Low","Cucu Mesa","blue oak","pd",NA,NA,NA,NA,1.11212055194809,0.2477,"2022-05-09"
"9",1478,21,"Low","Cucu Mesa","blue oak","md",2022-05-25,3.9875,"late",0.667808219178082,NA,NA,NA
"10",1478,21,"Low","Cucu Mesa","blue oak","pd",2022-05-25,1.55266666666667,"late",0.846251790545917,NA,NA,NA
"11",1478,21,"Low","Cucu Mesa","blue oak","pd",NA,1.55266666666667,NA,0.846251790545917,NA,NA,NA
"12",1478,29,"Low","Cucu Mesa","blue oak","md",2022-07-19,4.13333333333333,"late",0.585769230769231,NA,NA,NA
"13",1478,29,"Low","Cucu Mesa","blue oak","pd",NA,NA,NA,NA,NA,NA,NA
"14",1478,38,"Low","Cucu Mesa","blue oak","md",NA,NA,NA,0.61517094017094,NA,NA,NA
"15",1478,38,"Low","Cucu Mesa","blue oak","pd",NA,NA,NA,0.725960702486524,NA,NA,NA
"16",1478,NA,"Low","Cucu Mesa","blue oak","md",NA,NA,NA,1.56168774816373,NA,NA,NA
"17",1478,NA,"Low","Cucu Mesa","blue oak","pd",NA,NA,NA,1.74375600384246,NA,NA,NA
"18",2004,10,"High","Cucu Mesa","blue oak","md",2022-03-08,1.65333333333333,"early",1.78337099060783,NA,NA,NA
"19",2004,10,"High","Cucu Mesa","blue oak","md",NA,1.65333333333333,NA,1.78337099060783,NA,NA,NA
"20",2004,10,"High","Cucu Mesa","blue oak","pd",2022-03-08,0.3335,"early",2.02494061085973,NA,NA,NA
"21",2004,14,"High","Cucu Mesa","blue oak","md",2022-04-04,2.38333333333333,"early",0.794647749168171,NA,NA,NA
"22",2004,14,"High","Cucu Mesa","blue oak","md",NA,2.38333333333333,NA,0.794647749168171,NA,NA,NA
"23",2004,14,"High","Cucu Mesa","blue oak","pd",2022-04-04,0.38925,"early",1.01301729162619,NA,NA,NA
"24",2004,15,"High","Cucu Mesa","blue oak","md",2022-04-13,2.2,"late",0.822410202966214,0.984012348858943,0.4608,"2022-04-14"
"25",2004,15,"High","Cucu Mesa","blue oak","md",NA,2.2,NA,0.822410202966214,0.984012348858943,0.4608,"2022-04-14"
"26",2004,15,"High","Cucu Mesa","blue oak","pd",NA,NA,NA,NA,0.984012348858943,0.4608,"2022-04-14"
"27",2004,17,"High","Cucu Mesa","blue oak","md",2022-04-27,2.62066666666667,"late",0.889679715302491,NA,NA,NA
"28",2004,17,"High","Cucu Mesa","blue oak","md",NA,2.62066666666667,NA,0.889679715302491,NA,NA,NA
"29",2004,17,"High","Cucu Mesa","blue oak","pd",2022-04-27,0.9345,"late",0.957777777777778,NA,NA,NA
"30",2004,21,"High","Cucu Mesa","blue oak","md",2022-05-25,2.6858,"late",0.709677419354839,NA,NA,NA
"31",2004,21,"High","Cucu Mesa","blue oak","pd",2022-05-25,1.81766666666667,"late",0.795422935895815,NA,NA,NA
"32",2004,21,"High","Cucu Mesa","blue oak","pd",NA,1.81766666666667,NA,0.795422935895815,NA,NA,NA
"33",2004,29,"High","Cucu Mesa","blue oak","md",NA,NA,NA,NA,NA,NA,NA
"34",2004,29,"High","Cucu Mesa","blue oak","pd",2022-07-19,2.138,"late",0.57945945945946,NA,NA,NA
"35",2004,37,"High","Cucu Mesa","blue oak","pd",NA,NA,NA,0.671155729676787,0.748602341189759,0.5262,"2022-09-15"
"36",2004,38,"High","Cucu Mesa","blue oak","md",NA,NA,NA,0.575609756097561,NA,NA,NA
"37",2004,38,"High","Cucu Mesa","blue oak","pd",NA,NA,NA,0.745921498950089,NA,NA,NA
"38",2004,NA,"High","Cucu Mesa","blue oak","md",NA,NA,NA,NA,NA,NA,NA
"39",2004,NA,"High","Cucu Mesa","blue oak","pd",NA,NA,NA,1.01301729162619,NA,NA,NA
"40",2005,10,"High","Cucu Mesa","blue oak","md",2022-03-08,1.46666666666667,"early",1.62323826973427,NA,NA,NA
"41",2005,10,"High","Cucu Mesa","blue oak","pd",2022-03-08,1.045,"early",2.06130156027669,NA,NA,NA
"42",2005,10,"High","Cucu Mesa","blue oak","pd",NA,1.045,NA,2.06130156027669,NA,NA,NA
"43",2005,14,"High","Cucu Mesa","blue oak","md",2022-04-04,2.13333333333333,"early",0.8526937359215,NA,NA,NA
"44",2005,14,"High","Cucu Mesa","blue oak","pd",2022-04-04,0.4295,"early",1.03670053795577,NA,NA,NA
"45",2005,14,"High","Cucu Mesa","blue oak","pd",NA,0.4295,NA,1.03670053795577,NA,NA,NA
"46",2005,15,"High","Cucu Mesa","blue oak","md",2022-04-13,1.61666666666667,"late",0.920980879746515,1.10154433742943,1.3267,"2022-04-14"
"47",2005,15,"High","Cucu Mesa","blue oak","pd",NA,NA,NA,NA,1.10154433742943,1.3267,"2022-04-14"
"48",2005,17,"High","Cucu Mesa","blue oak","md",2022-04-27,2.733,"late",0.915650406504065,NA,NA,NA
"49",2005,17,"High","Cucu Mesa","blue oak","pd",2022-04-27,0.917666666666667,"late",1.00491883915396,NA,NA,NA
"50",2005,19,"High","Cucu Mesa","blue oak","pd",NA,NA,NA,NA,0.852600160170121,0.4218,"2022-05-09"
"51",2005,19,"High","Cucu Mesa","blue oak","md",2022-05-09,2.49,"late",0.819557254339863,0.852600160170121,0.4218,"2022-05-09"
"52",2005,21,"High","Cucu Mesa","blue oak","md",2022-05-25,3,"late",0.755717255717256,NA,NA,NA
"53",2005,21,"High","Cucu Mesa","blue oak","pd",2022-05-25,1.72933333333333,"late",0.896278003175163,NA,NA,NA
"54",2005,29,"High","Cucu Mesa","blue oak","md",2022-07-19,4.33333333333333,"late",0.634094616639478,NA,NA,NA
"55",2005,29,"High","Cucu Mesa","blue oak","pd",NA,NA,NA,NA,NA,NA,NA
"56",2005,37,"High","Cucu Mesa","blue oak","pd",NA,NA,NA,0.823221892345424,0.800741345576119,0.456533333333333,"2022-09-15"
"57",2005,38,"High","Cucu Mesa","blue oak","md",NA,NA,NA,0.639264203158066,NA,NA,NA
"58",2005,NA,"High","Cucu Mesa","blue oak","md",NA,NA,NA,NA,NA,NA,NA
"59",2005,NA,"High","Cucu Mesa","blue oak","pd",NA,NA,NA,1.03670053795577,NA,NA,NA
"60",2006,10,"High","Cucu Mesa","blue oak","md",2022-03-08,1.40666666666667,"early",1.68979659386345,NA,NA,NA
"61",2006,10,"High","Cucu Mesa","blue oak","pd",2022-03-08,0.9475,"early",2.05004467984377,NA,NA,NA
"62",2006,10,"High","Cucu Mesa","blue oak","pd",NA,0.9475,NA,2.05004467984377,NA,NA,NA
"63",2006,14,"High","Cucu Mesa","blue oak","md",2022-04-04,2.13333333333333,"early",0.818537386246364,NA,NA,NA
"64",2006,14,"High","Cucu Mesa","blue oak","pd",2022-04-04,0.540666666666667,"early",0.956377604714797,NA,NA,NA
"65",2006,15,"High","Cucu Mesa","blue oak","md",2022-04-13,1.727,"late",0.817053291275715,NA,NA,NA
"66",2006,15,"High","Cucu Mesa","blue oak","pd",NA,NA,NA,NA,NA,NA,NA
"67",2006,17,"High","Cucu Mesa","blue oak","md",2022-04-27,2.717,"late",NA,NA,NA,NA
"68",2006,17,"High","Cucu Mesa","blue oak","pd",2022-04-27,0.991333333333333,"late",0.93878954607978,NA,NA,NA
"69",2006,19,"High","Cucu Mesa","blue oak","pd",NA,NA,NA,NA,1.02403614991339,0.550833333333333,"2022-05-09"
"70",2006,19,"High","Cucu Mesa","blue oak","md",2022-05-09,2.36066666666667,"late",0.822525178088922,1.02403614991339,0.550833333333333,"2022-05-09"
"71",2006,21,"High","Cucu Mesa","blue oak","md",2022-05-25,3.19933333333333,"late",0.71007371007371,NA,NA,NA
"72",2006,21,"High","Cucu Mesa","blue oak","pd",2022-05-25,1.767,"late",0.876157500603913,NA,NA,NA
"73",2006,29,"High","Cucu Mesa","blue oak","md",2022-07-19,4.46666666666667,"late",0.637735849056604,NA,NA,NA
"74",2006,29,"High","Cucu Mesa","blue oak","md",NA,4.46666666666667,NA,0.637735849056604,NA,NA,NA
"75",2006,29,"High","Cucu Mesa","blue oak","pd",2022-07-19,2.775,"late",0.628070175438596,NA,NA,NA
"76",2006,37,"High","Cucu Mesa","blue oak","pd",NA,NA,NA,0.771685053032944,0.934980208555381,0.2309,"2022-09-15"
"77",2006,38,"High","Cucu Mesa","blue oak","md",NA,NA,NA,0.683959767072525,NA,NA,NA
"78",2006,38,"High","Cucu Mesa","blue oak","pd",NA,NA,NA,0.768838924995608,NA,NA,NA
"79",2006,NA,"High","Cucu Mesa","blue oak","md",NA,NA,NA,NA,NA,NA,NA
"80",2006,NA,"High","Cucu Mesa","blue oak","pd",NA,NA,NA,0.956377604714797,NA,NA,NA
"81",2007,10,"High","Cucu Mesa","blue oak","md",2022-03-08,1.77,"early",1.38916526753778,NA,NA,NA
"82",2007,10,"High","Cucu Mesa","blue oak","pd",2022-03-08,0.815,"early",1.57849597787833,NA,NA,NA
"83",2007,14,"High","Cucu Mesa","blue oak","md",2022-04-04,2.1,"early",0.77519292537438,NA,NA,NA
"84",2007,14,"High","Cucu Mesa","blue oak","md",NA,2.1,NA,0.77519292537438,NA,NA,NA
"85",2007,14,"High","Cucu Mesa","blue oak","pd",2022-04-04,0.36675,"early",0.871411718442784,NA,NA,NA
"86",2007,15,"High","Cucu Mesa","blue oak","pd",NA,NA,NA,NA,1.01270497455335,0.74665,"2022-04-14"
"87",2007,15,"High","Cucu Mesa","blue oak","md",2022-04-13,1.70666666666667,"late",0.858635993582386,1.01270497455335,0.74665,"2022-04-14"
