"","tree","plot","site","species","week","year","week_rwc_link","time","date_wp","mpa_mean","lwc_mean","mean_swc_per_dry_g","mean_swc_g","date_rwc","type","branch","date","lwm_g","ldm_g","l_cm","d_cm","area_cm2","lma_g_cm2","alas_cm2_per_mm2","sla_cm_g","leaf_count","lwa_g_cm2","ldmc"
"1",1478,"Low","Cucu Mesa","blue oak",14,0,15,"md",NA,NA,NA,1.84531590413943,0.1694,"2022-04-14","stem",3,2022-04-04,0.596,0.223,2.98,0.118,23.834,0.00935638163967441,5.44857643443297,106.878923766816,7,NA,0.107817185737294
"2",1478,"Low","Cucu Mesa","blue oak",14,0,15,"md",NA,NA,NA,1.3074871404077,0.6863,"2022-04-14","leaf",1,2022-04-04,0.817,0.275,6.03,0.10525,32.537,0.00845191627992747,9.34939321422199,118.316363636364,14,NA,0.17377708354025
"3",1478,"Low","Cucu Mesa","blue oak",15,0,15,"pd",NA,NA,NA,1.84531590413943,0.1694,"2022-04-14","stem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1478,"Low","Cucu Mesa","blue oak",14,0,15,"md",NA,NA,NA,1.3074871404077,0.6863,"2022-04-14","leaf",2,2022-04-04,0.73,0.249,2.65,0.09975,28.114,0.00885679732517607,8.99387731501294,112.907630522088,7,NA,0.159975623013999
"5",1478,"Low","Cucu Mesa","blue oak",14,0,15,"pd",2022-04-04,0.5714,1.74375600384246,1.3074871404077,0.6863,"2022-04-14","leaf",3,2022-04-04,0.596,0.223,2.98,0.118,23.834,0.00935638163967441,5.44857643443297,106.878923766816,7,0.0163152466584236,0.145705242541663
"6",1478,"Low","Cucu Mesa","blue oak",37,0,37,"pd",2022-09-15,1.695,0.725960702486524,0.905997260362025,0.677333333333333,"2022-09-15","leaf",1,2022-09-12,0.4967,0.3015,22.75,0.1345,12.128,0.0248598284960422,2.13400163051202,40.2255389718076,6,0.0180472585586813,0.249690007503293
"7",1478,"Low","Cucu Mesa","blue oak",14,0,15,"md",NA,NA,NA,1.84531590413943,0.1694,"2022-04-14","stem",1,2022-04-04,0.817,0.275,6.03,0.10525,32.537,0.00845191627992747,9.34939321422199,118.316363636364,14,NA,0.129697654704719
"8",1478,"Low","Cucu Mesa","blue oak",17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2022-04-27,0.9488,0.4619,4.077,0.17675,32.684,0.0141322971484518,3.33017061393533,70.759904741286,8,NA,NA
"9",1478,"Low","Cucu Mesa","blue oak",17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2022-04-27,0.8644,0.4127,3.021,0.16425,31.034,0.0132983179738352,3.66165250296524,75.1974800096923,8,NA,NA
"10",1478,"Low","Cucu Mesa","blue oak",17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2022-04-27,0.4498,0.2219,1.156,0.131,15.746,0.0140924679283628,2.92063834732823,70.9598918431726,4,NA,NA
"11",1478,"Low","Cucu Mesa","blue oak",17,NA,18,"md",2022-04-27,2.221,1.0197904540163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1478,"Low","Cucu Mesa","blue oak",17,NA,18,"pd",2022-04-27,0.903,1.0767414403778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1478,"Low","Cucu Mesa","blue oak",19,0,19,"pd",NA,NA,NA,1.11212055194809,0.2477,"2022-05-09","leaf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1478,"Low","Cucu Mesa","blue oak",19,1,19,"md",2022-05-09,2.535,0.834794738939816,1.21421965433505,0.24395,"2022-05-09","stem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1478,"Low","Cucu Mesa","blue oak",19,1,19,"pd",NA,NA,NA,1.21421965433505,0.24395,"2022-05-09","stem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1478,"Low","Cucu Mesa","blue oak",14,0,15,"md",NA,NA,NA,1.3074871404077,0.6863,"2022-04-14","leaf",3,2022-04-04,0.596,0.223,2.98,0.118,23.834,0.00935638163967441,5.44857643443297,106.878923766816,7,NA,0.145705242541663
"17",1478,"Low","Cucu Mesa","blue oak",14,0,15,"pd",2022-04-04,0.5714,1.74375600384246,1.3074871404077,0.6863,"2022-04-14","leaf",2,2022-04-04,0.73,0.249,2.65,0.09975,28.114,0.00885679732517607,8.99387731501294,112.907630522088,7,0.0154440935105916,0.159975623013999
"18",1478,"Low","Cucu Mesa","blue oak",37,0,37,"md",2022-09-15,4.073,0.61517094017094,0.905997260362025,0.677333333333333,"2022-09-15","leaf",3,2022-09-12,1.2062,0.7299,57.89,0.196,43.333,0.0168439757228902,3.59051496720174,59.3684066310453,11,0.0103619243816669,0.446177163863257
"19",1478,"Low","Cucu Mesa","blue oak",14,0,15,"md",NA,NA,NA,1.84531590413943,0.1694,"2022-04-14","stem",2,2022-04-04,0.73,0.249,2.65,0.09975,28.114,0.00885679732517607,8.99387731501294,112.907630522088,7,NA,0.118893238363826
"20",1478,"Low","Cucu Mesa","blue oak",37,0,37,"md",2022-09-15,4.073,0.61517094017094,1.11679025018372,0.265433333333333,"2022-09-15","stem",3,2022-09-12,1.2062,0.7299,57.89,0.196,43.333,0.0168439757228902,3.59051496720174,59.3684066310453,11,0.0103619243816669,0.395247659929642
"21",1478,"Low","Cucu Mesa","blue oak",37,0,37,"md",2022-09-15,4.073,0.61517094017094,1.11679025018372,0.265433333333333,"2022-09-15","stem",2,2022-09-12,0.8137,0.5128,25.98,0.1305,32.528,0.0157648794884407,6.07976041325661,63.4321372854914,6,0.00969809573658563,0.314680331415941
"22",1478,"Low","Cucu Mesa","blue oak",37,0,37,"md",2022-09-15,4.073,0.61517094017094,1.11679025018372,0.265433333333333,"2022-09-15","stem",1,2022-09-12,0.4967,0.3015,22.75,0.1345,12.128,0.0248598284960422,2.13400163051202,40.2255389718076,6,0.0152930440683986,0.212579900313737
