site,week,tree,date_wp,md,pd
LL,33,2352,2022-08-18,4.201,3.2582500000000003
LL,33,2354,2022-08-18,3.498333333333333,2.421666666666667
LL,33,2360,2022-08-18,4.88075,3.8955
LL,33,2365,2022-08-18,5.1675,3.8200000000000003
LL,33,2367,2022-08-18,5.2684999999999995,3.507
LL,33,2369,2022-08-18,4.926,3.314
LL,33,2376,2022-08-18,3.7616666666666667,2.2575000000000003
LL,33,2377,2022-08-18,4.0285,1.42
LL,33,2378,2022-08-18,3.946,3.0715000000000003
LL,33,2379,2022-08-18,4.349,2.982
LL,33,2380,2022-08-18,3.1325000000000003,1.3836666666666666
LL,33,2343,2022-08-18,4.0023333333333335,3.085
LL,33,2345,2022-08-18,2.4443333333333332,1.7123333333333333
LL,33,2346,2022-08-18,5.112,NA
LL,33,2347,2022-08-18,4.4565,3.991
LL,33,2375,2022-08-18,4.1515,3.1136666666666666
LL,33,2331,2022-08-18,3.86975,NA
LL,33,2301,2022-08-18,3.7613999999999996,2.7855
LL,33,2370,2022-08-18,4.79925,3.7439999999999998
LL,33,2371,2022-08-18,4.72,2.98575
LL,33,2372,2022-08-18,4.975666666666667,3.6174999999999997
LL,33,2381,2022-08-18,4.657,3.8306666666666667
LL,33,2382,2022-08-18,4.446666666666667,3.3343333333333334
LL,33,2383,2022-08-18,4.6335,3.1875
LL,33,2384,2022-08-18,5.094,3.884
LL,33,2011,2022-08-18,4.2785,3.607666666666667
LL,33,2010,2022-08-18,4.265499999999999,3.0616666666666665
LL,33,2009,2022-08-18,4.0635,2.851
LL,29,2352,2022-07-19,5.6,2.5425
LL,29,2354,2022-07-19,4.1,2.6500000000000004
LL,29,2360,2022-07-19,4.55,3.8333333333333335
LL,29,2365,2022-07-19,3.8499999999999996,3.9
LL,29,2367,2022-07-19,3.8833333333333333,3.3
LL,29,2376,2022-07-19,4.949999999999999,2.05
LL,29,2378,2022-07-19,3.75,2.005
LL,29,2379,2022-07-19,4.65,4.1
LL,29,2380,2022-07-19,4.1,1.8159999999999998
LL,29,2343,2022-07-19,3.2,3.15
LL,29,2345,2022-07-19,3.45,1.1166666666666667
LL,29,2346,2022-07-19,4.699999999999999,3.8
LL,29,2347,2022-07-19,4.2,3.4333333333333336
LL,29,2375,2022-07-19,4.5,2.1900000000000004
LL,29,2331,2022-07-19,3.6333333333333333,2.8449999999999998
LL,29,2301,2022-07-19,4.383333333333334,2.1133333333333333
LL,29,2370,2022-07-19,4.433333333333334,3.533333333333333
LL,29,2371,2022-07-19,3.4749999999999996,3.1
LL,29,2372,2022-07-19,3.92,2.8
LL,29,2381,2022-07-19,4.633333333333333,3.5
LL,29,2382,2022-07-19,4,2.95
LL,29,2383,2022-07-19,4.2,2.358
LL,29,2384,2022-07-19,4.85,3.85
Cucu Mesa,29,2005,2022-07-19,4.300000000000001,2.138
Cucu Mesa,29,2006,2022-07-19,4.466666666666667,2.775
Cucu Mesa,29,2007,2022-07-19,4.233333333333333,2.3233333333333333
PineNeedle,29,2092,2022-07-19,3.2,1.4333333333333333
PineNeedle,29,2091,2022-07-19,2.8225000000000002,0.2925
PineNeedle,29,2090,2022-07-19,4,0.9430000000000001
PineNeedle,29,2089,2022-07-19,2.45,NA
PineNeedle,29,2088,2022-07-19,3.533333333333333,2.255
PineNeedle,29,2087,2022-07-19,3.6333333333333333,1.6466666666666667
PineNeedle,29,2086,2022-07-19,4.1,2.44
PineNeedle,29,2085,2022-07-19,4.1,2.7800000000000002
Chamise,29,2020,2022-07-19,3.8666666666666667,2.8575
Chamise,29,2021,2022-07-19,4.175,3.2
