"","tree","plot","site","species","date","time","notes","week","lwc_bulk","dm_bulk_g","wm_bulk_g","rep","lwc_leaf","dm_leaf_g","wm_leaf_g"
"1",10,"Chamise","Chamise","ARCA",2022-03-08,"md",NA,10,NA,NA,NA,"1",1.52119205298013,0.151,0.3807
"2",10,"Chamise","Chamise","ARCA",2022-03-08,"md",NA,10,NA,NA,NA,"2",1.6377358490566,0.159,0.4194
"3",10,"Chamise","Chamise","ARCA",2022-03-08,"md",NA,10,NA,NA,NA,"3",1.90472440944882,0.127,0.3689
"4",10,"Chamise","Chamise","ARCA",2022-03-08,"md",NA,10,NA,NA,NA,"4",1.37906976744186,0.129,0.3069
"5",10,"Chamise","Chamise","ARCA",2022-03-08,"md",NA,10,NA,NA,NA,"5",1.55042016806723,0.119,0.3035
"6",10,"Chamise","Chamise","ARCA",2022-03-08,"pd",NA,10,NA,NA,NA,"1",2.24931972789116,0.294,0.9553
"7",10,"Chamise","Chamise","ARCA",2022-03-08,"pd",NA,10,NA,NA,NA,"2",2.13488372093023,0.215,0.674
"8",10,"Chamise","Chamise","ARCA",2022-03-08,"pd",NA,10,NA,NA,NA,"3",1.87263843648208,0.307,0.8819
"9",10,"Chamise","Chamise","ARCA",2022-03-08,"pd",NA,10,NA,NA,NA,"4",1.79343629343629,0.259,0.7235
"10",10,"Chamise","Chamise","ARCA",2022-03-08,"pd",NA,10,NA,NA,NA,"5",2.08993288590604,0.298,0.9208
"11",10,"Chamise","Chamise","ARCA",2022-03-08,"pd",NA,10,NA,NA,NA,"6",2.11432038834951,0.412,1.2831
"12",10,"Chamise","Chamise","ARCA",2022-03-08,"pd",NA,10,NA,NA,NA,"7",1.8316,0.25,0.7079
"13",10,"Chamise","Chamise","ARCA",2022-03-15,"pd",NA,11,1.43159379407616,0.709,1.724,"1",1.51929824561404,0.171,0.4308
"14",10,"Chamise","Chamise","ARCA",2022-03-15,"pd",NA,11,NA,NA,NA,"2",2.05137614678899,0.218,0.6652
"15",10,"Chamise","Chamise","ARCA",2022-03-15,"pd",NA,11,NA,NA,NA,"3",1.16531531531532,0.222,0.4807
"16",10,"Chamise","Chamise","ARCA",2022-03-15,"pd",NA,11,NA,NA,NA,"4",1.52297297297297,0.148,0.3734
"17",10,"Chamise","Chamise","ARCA",2022-03-15,"pd",NA,11,NA,NA,NA,"5",1.79495798319328,0.119,0.3326
